method,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,min_cluster_count,max_cluster_count,hard_min_required_count,soft_min_required_count,min_required_count,is_valid_cluster_size,min_cluster_ratio,max_cluster_ratio,tiny_cluster_penalty,dominant_cluster_penalty,negative_silhouette_ratio,_selection_score
M0_original_fourier,3,0.42326099093422553,13721.835887522899,1.6385755682370657,916245.1048742215,2504,32821,3,10,10,true,0.05957507553948276,0.7808760200804168,0.0,0.0,0.105,0.8500000000000001
M0_original_fourier,4,0.311181959745859,11051.087711297181,1.7733497402497878,846652.5902222071,1145,29469,3,10,10,true,0.02724179772072994,0.7011253598534415,0.0,0.0,0.138375,0.43345166951851316
M0_original_fourier,5,0.15557703997861005,9698.752357168069,1.7340074378630799,787543.557022462,1036,21656,3,10,10,true,0.024648473745568746,0.5152387523494564,0.0,0.0,0.134875,0.3699109214284999
M0_original_fourier,6,0.24730010136034708,8656.86502839674,1.7170944618908406,746091.4647879461,913,24712,3,10,10,true,0.02172206228735933,0.5879469915062692,0.0,0.0,0.2295,0.2952202207326766
M1_three_date_type_curves,3,0.5043768450163343,11953.31780985008,1.6801062401785518,951292.331278979,1490,35170,3,10,10,true,0.03545002498156123,0.8367633413432942,0.0,0.0,0.06925,0.8500000000000001
M1_three_date_type_curves,4,0.30754826678922803,9751.057851167228,1.8133205290961725,879930.9737281896,1182,29163,3,10,10,true,0.02812210035450025,0.6938450191525303,0.0,0.0,0.1595,0.3492105839437443
M1_three_date_type_curves,5,0.2073808981351116,8313.097358297951,1.7807679267484893,833176.5091626355,995,25617,3,10,10,true,0.02367300325949894,0.6094787180890295,0.0,0.0,0.171375,0.274041430214371
M1_three_date_type_curves,6,0.22367546133751195,7448.730365608242,1.7742079506378776,791216.3133979987,941,25616,3,10,10,true,0.022388237253455782,0.6094549261259546,0.0,0.0,0.196625,0.22518067537405906
M2_shape_normalized_weighted_curve,3,0.4182719469380846,13521.88264587873,1.6427162752399689,922470.8262151685,2539,32749,3,10,10,true,0.06040779424710333,0.779162998739026,0.0,0.0,0.106875,0.8500000000000001
M2_shape_normalized_weighted_curve,4,0.3151477752293716,10949.35048076083,1.684704736013475,850954.074618893,1045,29930,3,10,10,true,0.02486260141324261,0.7120934548309581,0.0,0.0,0.128625,0.5459663149550404
M2_shape_normalized_weighted_curve,5,0.17455842508492458,9650.056658628626,1.7277909762962456,790237.7240490308,1055,23230,3,10,10,true,0.02510052104399134,0.552687302229307,0.0,0.0,0.172625,0.26535044406207137
M2_shape_normalized_weighted_curve,6,0.2523489271455118,8621.872374644205,1.724893022421471,748371.3233432032,908,24921,3,10,10,true,0.021603102471984964,0.5929195117889177,0.0,0.0,0.226,0.2259225078599275
M3_multiplicative_corrected_single_curve,3,0.42076427622779183,13662.470674015674,1.64183067535126,916688.0424005953,2508,32793,3,10,10,true,0.05967024339178226,0.7802098451143203,0.0,0.0,0.106375,0.8500000000000001
M3_multiplicative_corrected_single_curve,4,0.3108483917679195,11012.30898509777,1.7732637873696429,846924.5346213448,1143,29468,3,10,10,true,0.02719421379458019,0.7011015678903666,0.0,0.0,0.13875,0.4353746255220062
M3_multiplicative_corrected_single_curve,5,0.15236118714532826,9652.123712563276,1.7407853022576016,788396.8668466753,1042,21179,3,10,10,true,0.024791225524017985,0.5038899859627418,0.0,0.0,0.129625,0.3687190882485984
M3_multiplicative_corrected_single_curve,6,0.2461464545155407,8612.961114019117,1.7232718108248317,747098.5243420147,919,24722,3,10,10,true,0.02186481406580857,0.5881849111370179,0.0,0.0,0.229875,0.2851385340027872
