日期,时段,速度等级,最小平均速度,最大平均速度,平均平均速度,记录数
04-01,凌晨,3,68.1523064444,97.3593406667,81.09141477524015,2440
04-01,凌晨,4,6.16377011111,94.4009626873,59.020601411090986,45140
04-01,凌晨,5,4.93072722222,96.6162,39.020920932344744,356400
04-01,凌晨,6,7.77611099784,106.541478361,35.775650211161654,289140
04-01,凌晨,7,10.038681435,90.4190886667,28.514590141449172,209840
04-01,上午,3,3.40239437778,94.3462973333,58.95384304678563,2440
04-01,上午,4,3.65180282222,93.4559516667,53.46667272332734,45140
04-01,上午,5,2.09821437778,87.5019578216,35.84569933979853,356400
04-01,上午,6,3.60188857778,114.506,32.508421699247116,289140
04-01,上午,7,2.77718561379,81.8595483892,26.17479089926788,209840
04-01,中午,3,6.07203904444,84.6391044444,64.74793994998662,1708
04-01,中午,4,6.12619711111,81.6247773333,50.787446059812694,31598
04-01,中午,5,2.0,67.5742509119,33.52585986434084,249480
04-01,中午,6,2.26531362637,94.1092980159,30.034221866327705,202398
04-01,中午,7,3.73443313333,78.1575856843,24.238421998274386,146888
04-01,下午,3,5.15447788534,80.1659306203,62.34856149440599,1708
04-01,下午,4,4.58068,80.4722524444,47.41382328842991,31598
04-01,下午,5,2.32123017778,69.3018,33.04827235335236,249480
04-01,下午,6,2.0,105.844307407,29.60435764598944,202398
04-01,下午,7,3.46925971111,71.4751511111,24.174896561080153,146888
04-01,傍晚,3,7.57608073885,82.9522786275,60.72439467759067,1464
04-01,傍晚,4,5.20543484444,79.3532664444,45.610800915964944,27084
04-01,傍晚,5,2.76085692715,68.410431387,31.567789266779926,213840
04-01,傍晚,6,2.17031376493,92.7752575891,28.479425510509838,173484
04-01,傍晚,7,4.0,72.8055286667,23.471936694399417,125904
04-01,晚上,3,9.17322626667,88.2393971111,77.70628107553205,1952
04-01,晚上,4,8.60688248889,80.0408904444,53.13849515558574,36112
04-01,晚上,5,3.48681586667,78.7492118697,35.523881375896735,285120
04-01,晚上,6,4.93112853333,98.7841,32.487690383808015,231312
04-01,晚上,7,4.02924848889,77.3976,26.018761953782683,167872
04-02,凌晨,2,38.8490915556,85.8223544444,76.91924667629131,1220
04-02,凌晨,3,3.35062322222,101.216928441,80.61216781803033,7320
