date,day_index,slot_start,slot_end,weekday,weekday_id,is_weekend,is_holiday,is_adjusted_workday,is_effective_workday,is_festival_day,holiday_name,holiday_group,is_pre_holiday,is_post_holiday,days_to_nearest_holiday
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1
2017-04-02,2,96,191,6,6,1,1,0,0,0,清明节假期,qingming,0,0,0
2017-04-03,3,192,287,0,0,0,1,0,0,0,清明节假期,qingming,0,0,0
2017-04-04,4,288,383,1,1,0,1,0,0,1,清明节,qingming,0,0,0
2017-04-05,5,384,479,2,2,0,0,0,1,0,,none,0,1,1
2017-04-06,6,480,575,3,3,0,0,0,1,0,,none,0,0,2
2017-04-07,7,576,671,4,4,0,0,0,1,0,,none,0,0,3
2017-04-08,8,672,767,5,5,1,0,0,0,0,,none,0,0,4
2017-04-09,9,768,863,6,6,1,0,0,0,0,,none,0,0,5
2017-04-10,10,864,959,0,0,0,0,0,1,0,,none,0,0,6
2017-04-11,11,960,1055,1,1,0,0,0,1,0,,none,0,0,7
2017-04-12,12,1056,1151,2,2,0,0,0,1,0,,none,0,0,8
2017-04-13,13,1152,1247,3,3,0,0,0,1,0,,none,0,0,9
2017-04-14,14,1248,1343,4,4,0,0,0,1,0,,none,0,0,10
2017-04-15,15,1344,1439,5,5,1,0,0,0,0,,none,0,0,11
2017-04-16,16,1440,1535,6,6,1,0,0,0,0,,none,0,0,12
2017-04-17,17,1536,1631,0,0,0,0,0,1,0,,none,0,0,12
2017-04-18,18,1632,1727,1,1,0,0,0,1,0,,none,0,0,11
2017-04-19,19,1728,1823,2,2,0,0,0,1,0,,none,0,0,10
2017-04-20,20,1824,1919,3,3,0,0,0,1,0,,none,0,0,9
2017-04-21,21,1920,2015,4,4,0,0,0,1,0,,none,0,0,8
2017-04-22,22,2016,2111,5,5,1,0,0,0,0,,none,0,0,7
2017-04-23,23,2112,2207,6,6,1,0,0,0,0,,none,0,0,6
2017-04-24,24,2208,2303,0,0,0,0,0,1,0,,none,0,0,5
2017-04-25,25,2304,2399,1,1,0,0,0,1,0,,none,0,0,4
2017-04-26,26,2400,2495,2,2,0,0,0,1,0,,none,0,0,3
2017-04-27,27,2496,2591,3,3,0,0,0,1,0,,none,0,0,2
2017-04-28,28,2592,2687,4,4,0,0,0,1,0,,none,1,0,1
2017-04-29,29,2688,2783,5,5,1,1,0,0,0,劳动节连休,labor,0,0,0
2017-04-30,30,2784,2879,6,6,1,1,0,0,0,劳动节连休,labor,0,0,0
2017-05-01,31,2880,2975,0,0,0,1,0,0,1,劳动节,labor,0,0,0
2017-05-02,32,2976,3071,1,1,0,0,0,1,0,,none,0,1,1
2017-05-03,33,3072,3167,2,2,0,0,0,1,0,,none,0,0,2
2017-05-04,34,3168,3263,3,3,0,0,0,1,0,,none,0,0,3
2017-05-05,35,3264,3359,4,4,0,0,0,1,0,,none,0,0,4
2017-05-06,36,3360,3455,5,5,1,0,0,0,0,,none,0,0,5
2017-05-07,37,3456,3551,6,6,1,0,0,0,0,,none,0,0,6
2017-05-08,38,3552,3647,0,0,0,0,0,1,0,,none,0,0,7
2017-05-09,39,3648,3743,1,1,0,0,0,1,0,,none,0,0,8
2017-05-10,40,3744,3839,2,2,0,0,0,1,0,,none,0,0,9
2017-05-11,41,3840,3935,3,3,0,0,0,1,0,,none,0,0,10
2017-05-12,42,3936,4031,4,4,0,0,0,1,0,,none,0,0,11
2017-05-13,43,4032,4127,5,5,1,0,0,0,0,,none,0,0,12
2017-05-14,44,4128,4223,6,6,1,0,0,0,0,,none,0,0,13
2017-05-15,45,4224,4319,0,0,0,0,0,1,0,,none,0,0,13
2017-05-16,46,4320,4415,1,1,0,0,0,1,0,,none,0,0,12
2017-05-17,47,4416,4511,2,2,0,0,0,1,0,,none,0,0,11
2017-05-18,48,4512,4607,3,3,0,0,0,1,0,,none,0,0,10
2017-05-19,49,4608,4703,4,4,0,0,0,1,0,,none,0,0,9
2017-05-20,50,4704,4799,5,5,1,0,0,0,0,,none,0,0,8
2017-05-21,51,4800,4895,6,6,1,0,0,0,0,,none,0,0,7
2017-05-22,52,4896,4991,0,0,0,0,0,1,0,,none,0,0,6
2017-05-23,53,4992,5087,1,1,0,0,0,1,0,,none,0,0,5
2017-05-24,54,5088,5183,2,2,0,0,0,1,0,,none,0,0,4
2017-05-25,55,5184,5279,3,3,0,0,0,1,0,,none,0,0,3
2017-05-26,56,5280,5375,4,4,0,0,0,1,0,,none,0,0,2
2017-05-27,57,5376,5471,5,5,1,0,1,1,0,,none,1,0,1
2017-05-28,58,5472,5567,6,6,1,1,0,0,0,端午节假期,dragon_boat,0,0,0
2017-05-29,59,5568,5663,0,0,0,1,0,0,0,端午节假期,dragon_boat,0,0,0
2017-05-30,60,5664,5759,1,1,0,1,0,0,1,端午节,dragon_boat,0,0,0
2017-05-31,61,5760,5855,2,2,0,0,0,1,0,,none,0,1,1
