date,day_index,slot_start,slot_end,weekday,weekday_id,is_weekend,is_holiday,is_adjusted_workday,is_effective_workday,is_festival_day,holiday_name,holiday_group,is_pre_holiday,is_post_holiday,days_to_nearest_holiday,time_index,slot_of_day,hour,minute,sin_time_of_day,cos_time_of_day,sin_day_of_week,cos_day_of_week
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,0,0,0,0,0.0,1.0,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,1,1,0,15,0.06540313,0.99785892,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,2,2,0,30,0.13052619,0.99144486,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,3,3,0,45,0.19509032,0.98078528,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,4,4,1,0,0.25881905,0.96592583,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,5,5,1,15,0.32143947,0.94693013,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,6,6,1,30,0.38268343,0.92387953,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,7,7,1,45,0.44228869,0.89687274,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,8,8,2,0,0.5,0.8660254,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,9,9,2,15,0.55557023,0.83146961,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,10,10,2,30,0.60876143,0.79335334,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,11,11,2,45,0.65934582,0.75183981,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,12,12,3,0,0.70710678,0.70710678,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,13,13,3,15,0.75183981,0.65934582,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,14,14,3,30,0.79335334,0.60876143,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,15,15,3,45,0.83146961,0.55557023,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,16,16,4,0,0.8660254,0.5,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,17,17,4,15,0.89687274,0.44228869,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,18,18,4,30,0.92387953,0.38268343,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,19,19,4,45,0.94693013,0.32143947,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,20,20,5,0,0.96592583,0.25881905,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,21,21,5,15,0.98078528,0.19509032,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,22,22,5,30,0.99144486,0.13052619,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,23,23,5,45,0.99785892,0.06540313,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,24,24,6,0,1.0,0.0,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,25,25,6,15,0.99785892,-0.06540313,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,26,26,6,30,0.99144486,-0.13052619,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,27,27,6,45,0.98078528,-0.19509032,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,28,28,7,0,0.96592583,-0.25881905,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,29,29,7,15,0.94693013,-0.32143947,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,30,30,7,30,0.92387953,-0.38268343,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,31,31,7,45,0.89687274,-0.44228869,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,32,32,8,0,0.8660254,-0.5,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,33,33,8,15,0.83146961,-0.55557023,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,34,34,8,30,0.79335334,-0.60876143,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,35,35,8,45,0.75183981,-0.65934582,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,36,36,9,0,0.70710678,-0.70710678,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,37,37,9,15,0.65934582,-0.75183981,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,38,38,9,30,0.60876143,-0.79335334,-0.97492791,-0.22252093
2017-04-01,1,0,95,5,5,1,0,1,1,0,,none,1,0,1,39,39,9,45,0.55557023,-0.83146961,-0.97492791,-0.22252093
