run_name,sequence_length,prediction_horizon,method,mse,rmse,mae,mape,r2
seq96_h4,96,4,CalendarFeatureFedAvg-Full,6110487222.752672,75521.21402221633,62775.69372866894,3.461111800700409,0.0404010211234389
seq96_h4,96,4,CalendarFeatureFedAvg-HolidayOnly,8874530035.349829,91714.60689143774,81026.38993174062,4.4018762933915445,-0.5117671228137778
seq96_h4,96,4,CalendarProfileNaive,1089199636.575787,31970.080176843843,22564.48253079268,1.255051219900316,0.8262446892554772
seq96_h4,96,4,DailySeasonalNaive,2297881683.632413,46788.63937201542,30470.96501706485,1.6773350086768246,0.5831637957312428
seq96_h4,96,4,FedAvg,6874157013.560217,79984.23918247971,66741.91544368601,3.686513509103828,-0.0302548250982927
seq96_h4,96,4,Independent,3781738001.7810793,57581.35468235645,44141.51672354949,2.463955932749049,0.4059330127695278
seq96_h4,96,4,NaiveLastValue,2762197930.3168406,50706.084575860485,35320.59419795222,1.9554552784520889,0.5852926882939762
seq96_h4,96,4,WeeklySeasonalNaive,2778096639.4239974,52474.09824730251,35897.3109215017,1.994010829724143,0.3893777609017921
seq96_h12,96,12,CalendarFeatureFedAvg-Full,5950630122.855354,74976.45565866407,62294.55298634812,3.457217311204764,0.0122352051793221
seq96_h12,96,12,CalendarFeatureFedAvg-HolidayOnly,7776397278.741531,83754.0394122774,74166.64197952217,4.02836431619426,-0.0648860772903742
seq96_h12,96,12,CalendarProfileNaive,1089199636.575787,31970.080176843843,22564.48253079268,1.255051219900316,0.8262446892554772
seq96_h12,96,12,DailySeasonalNaive,2297881683.632413,46788.63937201542,30470.96501706485,1.6773350086768246,0.5831637957312428
seq96_h12,96,12,FedAvg,7499169150.724825,84811.50982711579,71320.57427474402,3.980626138561255,-0.623330096183569
seq96_h12,96,12,Independent,4129545413.421683,61199.01699593058,47148.16100682594,2.636043396278421,0.3114642480274899
seq96_h12,96,12,NaiveLastValue,9701964793.108473,94259.03463125858,69687.98920648465,3.821746901001749,-0.3731272275365432
seq96_h12,96,12,WeeklySeasonalNaive,2778096639.4239974,52474.09824730251,35897.3109215017,1.994010829724143,0.3893777609017921
seq96_h24,96,24,CalendarFeatureFedAvg-Full,7660055526.235884,83645.74892524796,73757.6191552901,4.0107816682269775,-0.0762418592066566
seq96_h24,96,24,CalendarFeatureFedAvg-HolidayOnly,10910708492.985964,104039.5843378574,91740.15529010238,5.080989376573357,-1.6813734830853064
seq96_h24,96,24,CalendarProfileNaive,1089199636.575787,31970.080176843843,22564.48253079268,1.255051219900316,0.8262446892554772
seq96_h24,96,24,DailySeasonalNaive,2297881683.632413,46788.63937201542,30470.96501706485,1.6773350086768246,0.5831637957312428
seq96_h24,96,24,FedAvg,7951552095.325132,84887.07006246349,74066.32546928327,4.025009658845552,-0.1127903139782005
seq96_h24,96,24,Independent,6827965394.689383,79193.49801866079,66363.73886518771,3.693395244225229,0.0073328092070304
seq96_h24,96,24,NaiveLastValue,16807329864.089697,123563.37003178468,97868.44675767918,5.39109180681528,-1.335881569613145
seq96_h24,96,24,WeeklySeasonalNaive,2778096639.4239974,52474.09824730251,35897.3109215017,1.994010829724143,0.3893777609017921
