rank,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,recommended_for_top3,recommended_for_top5
1,290,9,20,116.465194,39.91456970750988,667,1953917.875,True,True
2,284,9,14,116.357194,39.91456970750988,698,1914353.125,True,True
3,318,10,18,116.429194,39.93256970750988,711,1857832.25,True,True
4,288,9,18,116.429194,39.91456970750988,698,1702061.25,False,True
5,289,9,19,116.447194,39.91456970750988,663,1659179.75,False,True
6,314,10,14,116.357194,39.93256970750988,656,1609398.5,False,False
7,407,13,17,116.411194,39.98656970750988,622,1540643.625,False,False
8,258,8,18,116.429194,39.89656970750988,611,1519621.375,False,False
9,195,6,15,116.375194,39.86056970750988,562,1463634.75,False,False
10,410,13,20,116.465194,39.98656970750988,450,1370973.25,False,False
11,257,8,17,116.411194,39.89656970750988,503,1366918.5,False,False
12,371,12,11,116.303194,39.96856970750988,510,1332961.875,False,False
13,287,9,17,116.411194,39.91456970750988,546,1292549.75,False,False
14,401,13,11,116.303194,39.98656970750988,435,1276468.5,False,False
15,377,12,17,116.411194,39.96856970750988,520,1267530.0,False,False
16,348,11,18,116.429194,39.95056970750988,527,1227871.625,False,False
17,313,10,13,116.339194,39.93256970750988,470,1227163.75,False,False
18,349,11,19,116.447194,39.95056970750988,513,1212811.5,False,False
19,291,9,21,116.483194,39.91456970750988,495,1203770.625,False,False
20,440,14,20,116.465194,40.00456970750988,446,1186770.125,False,False
21,254,8,14,116.357194,39.89656970750988,514,1184289.375,False,False
22,196,6,16,116.393194,39.86056970750988,490,1161455.75,False,False
23,411,13,21,116.483194,39.98656970750988,352,1130859.25,False,False
24,259,8,19,116.447194,39.89656970750988,509,1121371.75,False,False
25,260,8,20,116.465194,39.89656970750988,449,1118163.0,False,False
26,255,8,15,116.375194,39.89656970750988,428,1112280.625,False,False
27,221,7,11,116.303194,39.87856970750988,421,1088317.75,False,False
28,374,12,14,116.357194,39.96856970750988,544,1073688.25,False,False
29,379,12,19,116.447194,39.96856970750988,456,1071945.25,False,False
30,320,10,20,116.465194,39.93256970750988,390,1063884.5,False,False
31,372,12,12,116.321194,39.96856970750988,415,1055437.5,False,False
32,345,11,15,116.375194,39.95056970750988,467,1044649.25,False,False
33,319,10,19,116.447194,39.93256970750988,479,1027168.25,False,False
34,130,4,10,116.285194,39.82456970750988,415,997239.625,False,False
35,378,12,18,116.429194,39.96856970750988,432,989240.625,False,False
36,405,13,15,116.375194,39.98656970750988,373,919505.25,False,False
37,261,8,21,116.483194,39.89656970750988,404,916879.625,False,False
38,252,8,12,116.321194,39.89656970750988,391,910447.1875,False,False
39,311,10,11,116.303194,39.93256970750988,405,882958.6875,False,False
40,312,10,12,116.321194,39.93256970750988,334,872995.5,False,False
41,350,11,20,116.465194,39.95056970750988,349,857253.4375,False,False
42,406,13,16,116.393194,39.98656970750988,328,853559.625,False,False
43,280,9,10,116.285194,39.91456970750988,314,848267.875,False,False
44,230,7,20,116.465194,39.87856970750988,340,841524.875,False,False
45,317,10,17,116.411194,39.93256970750988,343,832213.6875,False,False
46,347,11,17,116.411194,39.95056970750988,354,818298.0625,False,False
47,194,6,14,116.357194,39.86056970750988,334,804239.9375,False,False
48,315,10,15,116.375194,39.93256970750988,372,775498.0625,False,False
49,197,6,17,116.411194,39.86056970750988,356,773194.3125,False,False
50,491,16,11,116.303194,40.040569707509874,292,766734.25,False,False
51,202,6,22,116.501194,39.86056970750988,307,751051.0,False,False
52,527,17,17,116.411194,40.05856970750988,267,746403.9375,False,False
53,285,9,15,116.375194,39.91456970750988,330,742898.6875,False,False
54,343,11,13,116.339194,39.95056970750988,303,738026.6875,False,False
55,402,13,12,116.321194,39.98656970750988,334,733196.375,False,False
56,341,11,11,116.303194,39.95056970750988,320,729651.6875,False,False
57,404,13,14,116.357194,39.98656970750988,304,719191.875,False,False
58,256,8,16,116.393194,39.89656970750988,251,705750.5,False,False
59,226,7,16,116.393194,39.87856970750988,310,702182.75,False,False
60,166,5,16,116.393194,39.842569707509874,341,695413.1875,False,False
61,229,7,19,116.447194,39.87856970750988,348,694351.375,False,False
62,297,9,27,116.591194,39.91456970750988,217,667850.4375,False,False
63,279,9,9,116.267194,39.91456970750988,237,650465.9375,False,False
64,228,7,18,116.429194,39.87856970750988,246,648300.25,False,False
65,344,11,14,116.357194,39.95056970750988,293,642370.1875,False,False
66,72,2,12,116.321194,39.78856970750988,240,619953.6875,False,False
67,435,14,15,116.375194,40.00456970750988,217,599756.25,False,False
68,281,9,11,116.303194,39.91456970750988,247,596183.9375,False,False
69,227,7,17,116.411194,39.87856970750988,215,587541.8125,False,False
70,42,1,12,116.321194,39.77056970750988,193,573675.4375,False,False
71,224,7,14,116.357194,39.87856970750988,214,553433.9375,False,False
72,286,9,16,116.393194,39.91456970750988,218,542616.8125,False,False
73,376,12,16,116.393194,39.96856970750988,203,535539.0625,False,False
74,316,10,16,116.393194,39.93256970750988,255,534937.6875,False,False
75,253,8,13,116.339194,39.89656970750988,244,526901.1875,False,False
76,373,12,13,116.339194,39.96856970750988,286,523595.71875,False,False
77,231,7,21,116.483194,39.87856970750988,205,511823.78125,False,False
78,462,15,12,116.321194,40.02256970750988,185,506018.0625,False,False
79,165,5,15,116.375194,39.842569707509874,181,503429.8125,False,False
80,292,9,22,116.501194,39.91456970750988,245,499794.96875,False,False
81,441,14,21,116.483194,40.00456970750988,181,496977.125,False,False
82,275,9,5,116.195194,39.91456970750988,196,487301.34375,False,False
83,463,15,13,116.339194,40.02256970750988,215,477672.90625,False,False
84,190,6,10,116.285194,39.86056970750988,197,470460.71875,False,False
85,225,7,15,116.375194,39.87856970750988,172,463388.5,False,False
86,346,11,16,116.393194,39.95056970750988,233,462966.59375,False,False
87,283,9,13,116.339194,39.91456970750988,194,455619.59375,False,False
88,249,8,9,116.267194,39.89656970750988,166,440694.59375,False,False
89,433,14,13,116.339194,40.00456970750988,194,436816.65625,False,False
90,403,13,13,116.339194,39.98656970750988,201,436346.53125,False,False
91,380,12,20,116.465194,39.96856970750988,207,434356.28125,False,False
92,298,9,28,116.609194,39.91456970750988,127,424997.25,False,False
93,437,14,17,116.411194,40.00456970750988,174,423696.46875,False,False
94,218,7,8,116.249194,39.87856970750988,182,417496.1875,False,False
95,342,11,12,116.321194,39.95056970750988,179,416823.25,False,False
96,436,14,16,116.393194,40.00456970750988,175,416603.71875,False,False
97,81,2,21,116.483194,39.78856970750988,172,414181.9375,False,False
98,400,13,10,116.285194,39.98656970750988,179,406285.8125,False,False
99,189,6,9,116.267194,39.86056970750988,162,386043.9375,False,False
100,293,9,23,116.519194,39.91456970750988,156,385464.09375,False,False
101,73,2,13,116.339194,39.78856970750988,130,384571.375,False,False
102,262,8,22,116.501194,39.89656970750988,194,381052.5,False,False
103,12,0,12,116.321194,39.75256970750988,174,377699.0625,False,False
104,246,8,6,116.213194,39.89656970750988,147,364974.90625,False,False
105,201,6,21,116.483194,39.86056970750988,148,363482.3125,False,False
106,434,14,14,116.357194,40.00456970750988,148,362423.59375,False,False
107,339,11,9,116.267194,39.95056970750988,161,357266.59375,False,False
108,278,9,8,116.249194,39.91456970750988,118,348567.4375,False,False
109,521,17,11,116.303194,40.05856970750988,141,337449.0625,False,False
110,161,5,11,116.303194,39.842569707509874,158,335831.375,False,False
111,191,6,11,116.303194,39.86056970750988,146,332095.84375,False,False
112,381,12,21,116.483194,39.96856970750988,135,324512.75,False,False
113,490,16,10,116.285194,40.040569707509874,130,312612.90625,False,False
114,13,0,13,116.339194,39.75256970750988,138,307092.125,False,False
115,567,18,27,116.591194,40.07656970750988,104,294440.90625,False,False
116,250,8,10,116.285194,39.89656970750988,102,286998.34375,False,False
117,135,4,15,116.375194,39.82456970750988,93,278103.09375,False,False
118,461,15,11,116.303194,40.02256970750988,96,271910.15625,False,False
119,375,12,15,116.375194,39.96856970750988,119,271532.1875,False,False
120,220,7,10,116.285194,39.87856970750988,132,266126.9375,False,False
121,100,3,10,116.285194,39.80656970750988,96,254792.265625,False,False
122,295,9,25,116.555194,39.91456970750988,109,251553.265625,False,False
123,352,11,22,116.501194,39.95056970750988,120,242114.90625,False,False
124,167,5,17,116.411194,39.842569707509874,113,241196.328125,False,False
