path,type,action,reason,safe_to_delete,notes
results/real_data_missingness_experiments,directory,delete_directory,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
results/real_data_missingness_experiments_geo_func,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_medium,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample,directory,delete_directory,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
results/real_data_missingness_full_intersection_causal_history,directory,delete_directory,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_zero_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_zero_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/masks/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/miss_data/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_zero_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_zero_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/miss_data/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_zero_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_zero_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/masks/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/smoke_test/miss_data/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar,directory,delete_directory,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
results/real_data_missingness_full_intersection_causal_history_global_mcar/masks/rate_0p05__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/masks/rate_0p10__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/masks/rate_0p20__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/masks/rate_0p30__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/miss_data/rate_0p05__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/miss_data/rate_0p10__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/miss_data/rate_0p20__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_global_mcar/miss_data/rate_0p30__mechanism_mcar_point__scope_global__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest/imp_data,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest/masks/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest/miss_data/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/imp_data,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/masks/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/miss_data/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/imp_data,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/imp_data/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_function_curve_fit,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_func_hybrid,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_geo_neighbor_fill,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_historical_linear_extrapolation,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/masks/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history_smoketest/miss_data/rate_0p05__mechanism_mcar_point__seed_42,directory,delete_directory,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_inventory,directory,delete_directory,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
MISSINGNESS_OPTIMIZATION_PLAN.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
MISSINGNESS_PHASE_RUNBOOK.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/__pycache__/audit_global_mcar_missingness.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/check_full_missingness_completion.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/full_intersection_missingness_pipeline.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/inventory_missingness_cleanup_targets.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/inventory_real_missingness_assets.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/real_data_missingness_experiment.cpython-312.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/real_data_missingness_experiment.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/__pycache__/rebuild_full_missingness_manifests.cpython-39.pyc,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
analysis_scripts/audit_global_mcar_missingness.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/audit_missing_rate_scope.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/check_full_missingness_completion.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/full_intersection_missingness_pipeline.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/inventory_missingness_cleanup_targets.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
