model_type,agg_method,seed,total_comm_bytes,total_comm_mb
full,fedavg,42,5742720.0,5.4766845703125
full,loss_weighted,42,5742720.0,5.4766845703125
full,data_loss_weighted,42,5742720.0,5.4766845703125
no_attention,fedavg,42,4681888.0,4.464996337890625
no_attention,loss_weighted,42,4681888.0,4.464996337890625
no_attention,data_loss_weighted,42,4681888.0,4.464996337890625
lstm_only,fedavg,42,1962048.0,1.87115478515625
lstm_only,loss_weighted,42,1962048.0,1.87115478515625
lstm_only,data_loss_weighted,42,1962048.0,1.87115478515625
spatial_only,fedavg,42,1929344.0,1.8399658203125
spatial_only,loss_weighted,42,1929344.0,1.8399658203125
spatial_only,data_loss_weighted,42,1929344.0,1.8399658203125
weak,fedavg,42,62496.0,0.059600830078125
weak,loss_weighted,42,62496.0,0.059600830078125
weak,data_loss_weighted,42,62496.0,0.059600830078125
