model_type,agg_method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,comm_mean_mb
full,data_loss_weighted,0.02550180722028017,,0.15916751325130463,,0.12587830424308777,,5.4766845703125
full,fedavg,0.025763822719454765,,0.16001377999782562,,0.1266452595591545,,5.4766845703125
full,loss_weighted,0.02529237885028124,,0.1584855541586876,,0.12528565526008606,,5.4766845703125
lstm_only,data_loss_weighted,0.04946861229836941,,0.22174536436796188,,0.20347649604082108,,1.87115478515625
lstm_only,fedavg,0.04988543502986431,,0.22267946600914001,,0.20436502248048782,,1.87115478515625
lstm_only,loss_weighted,0.04904942959547043,,0.22080207616090775,,0.2025766372680664,,1.87115478515625
no_attention,data_loss_weighted,0.31437988579273224,,0.5605008006095886,,0.5398503839969635,,4.464996337890625
no_attention,fedavg,0.313862606883049,,0.560030996799469,,0.5392067730426788,,4.464996337890625
no_attention,loss_weighted,0.3148853927850723,,0.5609596967697144,,0.5404821336269379,,4.464996337890625
spatial_only,data_loss_weighted,0.14064954221248627,,0.37498076260089874,,0.3495647609233856,,1.8399658203125
spatial_only,fedavg,0.1405823528766632,,0.3748895227909088,,0.34944917261600494,,1.8399658203125
spatial_only,loss_weighted,0.14071989804506302,,0.37507617473602295,,0.34968265891075134,,1.8399658203125
weak,data_loss_weighted,0.052257686853408813,,0.2259271815419197,,0.1895691379904747,,0.059600830078125
weak,fedavg,0.052259206771850586,,0.22593287378549576,,0.1895577237010002,,0.059600830078125
weak,loss_weighted,0.05225622467696667,,0.2259216383099556,,0.18958055973052979,,0.059600830078125
