model_type,agg_method,seed,total_comm_bytes,total_comm_mb
full,fedavg,48,5268384.0,5.024322509765625
full,loss_weighted,48,5268384.0,5.024322509765625
full,data_loss_weighted,48,5268384.0,5.024322509765625
no_attention,fedavg,48,4207552.0,4.01263427734375
no_attention,loss_weighted,48,4207552.0,4.01263427734375
no_attention,data_loss_weighted,48,4207552.0,4.01263427734375
lstm_only,fedavg,48,1962048.0,1.87115478515625
lstm_only,loss_weighted,48,1962048.0,1.87115478515625
lstm_only,data_loss_weighted,48,1962048.0,1.87115478515625
spatial_only,fedavg,48,1455008.0,1.387603759765625
spatial_only,loss_weighted,48,1455008.0,1.387603759765625
spatial_only,data_loss_weighted,48,1455008.0,1.387603759765625
weak,fedavg,48,62496.0,0.059600830078125
weak,loss_weighted,48,62496.0,0.059600830078125
weak,data_loss_weighted,48,62496.0,0.059600830078125
