model_type,agg_method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,comm_mean_mb
full,data_loss_weighted,0.021458469331264496,,0.1464701145887375,,0.11808572709560394,,5.024322509765625
full,fedavg,0.021485050208866596,,0.14656852930784225,,0.1182708665728569,,5.024322509765625
full,loss_weighted,0.021438531577587128,,0.14639249444007874,,0.11798609793186188,,5.024322509765625
lstm_only,data_loss_weighted,0.01484322501346469,,0.12042034044861794,,0.09591679275035858,,1.87115478515625
lstm_only,fedavg,0.0148309669457376,,0.12047078087925911,,0.0958237387239933,,1.87115478515625
lstm_only,loss_weighted,0.014873911626636982,,0.12044492736458778,,0.0960647463798523,,1.87115478515625
no_attention,data_loss_weighted,0.022039499133825302,,0.14662766829133034,,0.1224961206316948,,4.01263427734375
no_attention,fedavg,0.021871840581297874,,0.14584600925445557,,0.12182324752211571,,4.01263427734375
no_attention,loss_weighted,0.022219283506274223,,0.14743946492671967,,0.12315655499696732,,4.01263427734375
spatial_only,data_loss_weighted,0.07004455476999283,,0.2607174590229988,,0.2272833213210106,,1.387603759765625
spatial_only,fedavg,0.07061997056007385,,0.2617778033018112,,0.22828015685081482,,1.387603759765625
spatial_only,loss_weighted,0.06940639764070511,,0.25953560322523117,,0.22615547478199005,,1.387603759765625
weak,data_loss_weighted,0.04940360505133867,,0.21297825127840042,,0.1629338078200817,,0.059600830078125
weak,fedavg,0.04939658101648092,,0.21293488144874573,,0.16292652115225792,,0.059600830078125
weak,loss_weighted,0.04941071756184101,,0.21302177757024765,,0.1629411205649376,,0.059600830078125
