figure_file,figure_type,scenario_scope,metric,method_scope,rate_scope,is_formal_main_figure,notes
figures\g_mcar_pt_rmse_by_method.png,line_plot,g_mcar_pt,RMSE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\g_mcar_pt_mae_by_method.png,line_plot,g_mcar_pt,MAE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\g_mcar_pt_smape_by_method.png,line_plot,g_mcar_pt,SMAPE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\g_mcar_pt_nrmse_by_method.png,line_plot,g_mcar_pt,NRMSE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\ntb_mix_rmse_by_method.png,line_plot,ntb_mix,RMSE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\ntb_mix_mae_by_method.png,line_plot,ntb_mix,MAE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\ntb_mix_smape_by_method.png,line_plot,ntb_mix,SMAPE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\ntb_mix_nrmse_by_method.png,line_plot,ntb_mix,NRMSE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\nso_mix_rmse_by_method.png,line_plot,nso_mix,RMSE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\nso_mix_mae_by_method.png,line_plot,nso_mix,MAE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\nso_mix_smape_by_method.png,line_plot,nso_mix,SMAPE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\nso_mix_nrmse_by_method.png,line_plot,nso_mix,NRMSE,six_methods,all_rates,True,Masked-position imputation error; formal six-method direct comparison.
figures\g_mcar_pt_flow_group_rmse_by_method.png,flow_group_plot,g_mcar_pt,RMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\g_mcar_pt_flow_group_mae_by_method.png,flow_group_plot,g_mcar_pt,MAE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\g_mcar_pt_flow_group_smape_by_method.png,flow_group_plot,g_mcar_pt,SMAPE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\g_mcar_pt_flow_group_nrmse_by_method.png,flow_group_plot,g_mcar_pt,NRMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\ntb_mix_flow_group_rmse_by_method.png,flow_group_plot,ntb_mix,RMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\ntb_mix_flow_group_mae_by_method.png,flow_group_plot,ntb_mix,MAE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\ntb_mix_flow_group_smape_by_method.png,flow_group_plot,ntb_mix,SMAPE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\ntb_mix_flow_group_nrmse_by_method.png,flow_group_plot,ntb_mix,NRMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\nso_mix_flow_group_rmse_by_method.png,flow_group_plot,nso_mix,RMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\nso_mix_flow_group_mae_by_method.png,flow_group_plot,nso_mix,MAE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\nso_mix_flow_group_smape_by_method.png,flow_group_plot,nso_mix,SMAPE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\nso_mix_flow_group_nrmse_by_method.png,flow_group_plot,nso_mix,NRMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as flow group.
figures\ntb_mix_length_group_rmse_by_method.png,length_group_plot,ntb_mix,RMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as length group.
figures\ntb_mix_length_group_mae_by_method.png,length_group_plot,ntb_mix,MAE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as length group.
figures\ntb_mix_length_group_smape_by_method.png,length_group_plot,ntb_mix,SMAPE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as length group.
