scenario,missing_rate,length_group,metric,best_method,best_value,mean_fill_rank,forward_fill_rank,historical_linear_extrapolation_rank,function_curve_fit_rank,road_topology_neighbor_fill_rank,topology_function_hybrid_rank,notes
nso_mix,0.05,long,MAE,mean_fill,126.26480005667128,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,long,RMSE,mean_fill,247.71069521329835,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,long,SMAPE,mean_fill,0.0663918114591764,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,mid,MAE,mean_fill,129.11673346117047,1,3,4,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,mid,RMSE,mean_fill,249.83993722115076,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,mid,SMAPE,mean_fill,0.0701791085514693,1,3,4,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,short,MAE,forward_fill,89.44859937282641,2,1,4,3,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,short,RMSE,forward_fill,187.04757424381137,2,1,4,3,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.05,short,SMAPE,forward_fill,0.0500834921167605,2,1,4,3,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,long,MAE,mean_fill,135.75444294490794,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,long,RMSE,mean_fill,263.93050481909086,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,long,SMAPE,mean_fill,0.0732842746406775,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,mid,MAE,mean_fill,129.72190908013735,1,3,4,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,mid,RMSE,mean_fill,251.6503940910536,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,mid,SMAPE,mean_fill,0.0696678462531569,1,3,4,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,short,MAE,forward_fill,90.58878344090736,2,1,4,3,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,short,RMSE,forward_fill,189.17027659670384,2,1,4,3,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.1,short,SMAPE,forward_fill,0.0505742283546585,2,1,4,3,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.2,long,MAE,mean_fill,132.76933391153537,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.2,long,RMSE,mean_fill,258.1238093901202,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.2,long,SMAPE,mean_fill,0.0709088687955491,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.2,mid,MAE,mean_fill,131.72610055767848,1,3,4,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.2,mid,RMSE,mean_fill,256.68910066846576,1,4,3,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
nso_mix,0.2,mid,SMAPE,mean_fill,0.0711024773520278,1,3,4,2,6,5,Masked-position imputation error only; current best means the lowest value under this metric.
