scenario,missing_rate,metric,rank,method,value
g_mcar_pt,0.05,RMSE,1,forward_fill,181.8150797553333
g_mcar_pt,0.05,RMSE,2,mean_fill,250.94898463954183
g_mcar_pt,0.05,RMSE,3,function_curve_fit,257.7133011300634
g_mcar_pt,0.05,RMSE,4,historical_linear_extrapolation,317.93748391074524
g_mcar_pt,0.05,RMSE,5,topology_function_hybrid,477.3679209387527
g_mcar_pt,0.05,RMSE,6,road_topology_neighbor_fill,855.2228835919649
g_mcar_pt,0.05,MAE,1,forward_fill,87.49862735458164
g_mcar_pt,0.05,MAE,2,mean_fill,129.33393891039455
g_mcar_pt,0.05,MAE,3,function_curve_fit,135.47146193621393
g_mcar_pt,0.05,MAE,4,historical_linear_extrapolation,164.09041230031286
g_mcar_pt,0.05,MAE,5,topology_function_hybrid,303.5633930135157
g_mcar_pt,0.05,MAE,6,road_topology_neighbor_fill,523.6444912620296
g_mcar_pt,0.05,SMAPE,1,forward_fill,0.0490691253680287
g_mcar_pt,0.05,SMAPE,2,mean_fill,0.0698909254896114
g_mcar_pt,0.05,SMAPE,3,function_curve_fit,0.0756037722833741
g_mcar_pt,0.05,SMAPE,4,historical_linear_extrapolation,0.0872100582499755
g_mcar_pt,0.05,SMAPE,5,topology_function_hybrid,0.1376424928324818
g_mcar_pt,0.05,SMAPE,6,road_topology_neighbor_fill,0.2076650851773302
g_mcar_pt,0.05,NRMSE,1,forward_fill,0.0174233473499867
g_mcar_pt,0.05,NRMSE,2,mean_fill,0.0240484525947192
g_mcar_pt,0.05,NRMSE,3,function_curve_fit,0.0246966773512037
g_mcar_pt,0.05,NRMSE,4,historical_linear_extrapolation,0.030467963522125
g_mcar_pt,0.05,NRMSE,5,topology_function_hybrid,0.0457461895429658
g_mcar_pt,0.05,NRMSE,6,road_topology_neighbor_fill,0.0819560477741012
g_mcar_pt,0.1,RMSE,1,forward_fill,187.7716767188052
g_mcar_pt,0.1,RMSE,2,mean_fill,251.88114078644247
g_mcar_pt,0.1,RMSE,3,function_curve_fit,257.5446386463814
g_mcar_pt,0.1,RMSE,4,historical_linear_extrapolation,320.0487051672021
g_mcar_pt,0.1,RMSE,5,topology_function_hybrid,470.0782708944832
g_mcar_pt,0.1,RMSE,6,road_topology_neighbor_fill,838.9225856261953
g_mcar_pt,0.1,MAE,1,forward_fill,90.01376564306827
g_mcar_pt,0.1,MAE,2,mean_fill,129.80101376463338
g_mcar_pt,0.1,MAE,3,function_curve_fit,135.3739132302508
g_mcar_pt,0.1,MAE,4,historical_linear_extrapolation,165.18730872127273
g_mcar_pt,0.1,MAE,5,topology_function_hybrid,299.45505460490773
