old_path,new_path,old_name,new_name,path_type,artifact_group,scenario_id_old,scenario_id_new,is_large_data,action,status,notes
results\real_data_missingness_experiments\comparison,results\rdm_exp\comparison,comparison,comparison,directory,comparison,,,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\legacy_cleanup,results\rdm_exp\legacy_cleanup,legacy_cleanup,legacy_cleanup,directory,legacy_cleanup,,,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios,results\rdm_exp\scenarios,scenarios,scenarios,directory,scenario,,,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\experiment_registry.csv,results\rdm_exp\experiment_registry.csv,experiment_registry.csv,experiment_registry.csv,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\experiment_registry.json,results\rdm_exp\experiment_registry.json,experiment_registry.json,experiment_registry.json,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\layout_migration_plan.csv,results\rdm_exp\layout_migration_plan.csv,layout_migration_plan.csv,layout_migration_plan.csv,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\layout_migration_plan_zh.md,results\rdm_exp\layout_migration_plan_zh.md,layout_migration_plan_zh.md,layout_migration_plan_zh.md,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\layout_migration_report.json,results\rdm_exp\layout_migration_report.json,layout_migration_report.json,layout_migration_report.json,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\layout_migration_report.md,results\rdm_exp\layout_migration_report.md,layout_migration_report.md,layout_migration_report.md,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\layout_validation.csv,results\rdm_exp\layout_validation.csv,layout_validation.csv,layout_validation.csv,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\layout_validation.json,results\rdm_exp\layout_validation.json,layout_validation.json,layout_validation.json,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\path_aliases.json,results\rdm_exp\path_aliases.json,path_aliases.json,path_aliases.json,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\README_zh.md,results\rdm_exp\README_zh.md,README_zh.md,README_zh.md,file,experiment_root,,,false,move_file,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point,results\rdm_exp\scenarios\g_mcar_pt,global_mcar_point,g_mcar_pt,directory,scenario,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp; scenario_id shortened
