missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_000.parquet,201900,2157,True,True,completed,recomputed,1.209743500000001,57716801,2026-06-16T07:14:39.728312492+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_001.parquet,202653,0,True,True,completed,recomputed,1.1408325999999995,57617018,2026-06-16T07:14:51.435203552+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_002.parquet,201529,0,True,True,completed,recomputed,1.1953138999999986,57497241,2026-06-16T07:15:03.453712702+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_003.parquet,202274,0,True,True,completed,recomputed,1.8922733,57489047,2026-06-16T07:15:17.142935991+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_004.parquet,201974,0,True,True,completed,recomputed,1.2278984000000008,57505779,2026-06-16T07:15:29.312791348+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_005.parquet,201147,0,True,True,completed,recomputed,1.4376826999999963,57576498,2026-06-16T07:15:43.407546043+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_006.parquet,200908,0,True,True,completed,recomputed,1.077403099999998,57594948,2026-06-16T07:15:55.214907169+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_007.parquet,202506,0,True,True,completed,recomputed,1.103364499999998,57610794,2026-06-16T07:16:07.116342068+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_008.parquet,201177,0,True,True,completed,recomputed,1.2895723000000032,57512810,2026-06-16T07:16:23.073897123+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff\node_flow_chunk_009.parquet,200987,0,True,True,completed,recomputed,1.4457292000000024,57517056,2026-06-16T07:16:37.243530750+00:00
