missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_000.parquet,201900,201900,True,True,completed,recomputed,0.8980291999999999,57716801,2026-06-18T07:25:57.118014574+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_001.parquet,202653,2029,True,True,completed,recomputed,0.7607341000000005,57785579,2026-06-18T07:37:01.330931664+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_002.parquet,201529,1997,True,True,completed,recomputed,0.7693729999999874,57665692,2026-06-18T07:37:37.451211691+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_003.parquet,202274,1943,True,True,completed,recomputed,0.7118988999999942,57647894,2026-06-18T07:38:19.165997028+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_004.parquet,201974,1865,True,True,completed,recomputed,0.7545654000000184,57668078,2026-06-18T07:38:55.851923466+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_005.parquet,201147,1808,True,True,completed,recomputed,1.08162200000001,57734722,2026-06-18T07:39:38.383392334+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_006.parquet,200908,1886,True,True,completed,recomputed,1.0325220999999942,57762421,2026-06-18T07:40:32.497941494+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_007.parquet,202506,1789,True,True,completed,recomputed,0.9167527000000176,57783008,2026-06-18T07:41:26.641564846+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_008.parquet,201177,1769,True,True,completed,recomputed,0.8532292999999953,57670429,2026-06-18T08:16:51.645683289+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_009.parquet,200987,1845,True,True,completed,recomputed,0.8564027000000038,57679366,2026-06-18T08:17:36.939672709+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_010.parquet,202117,1739,True,True,completed,recomputed,0.9293236999999976,57724569,2026-06-18T08:18:22.278337240+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_011.parquet,200960,1741,True,True,completed,recomputed,0.8330349999999953,57678802,2026-06-18T08:19:09.605648041+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_012.parquet,201190,1808,True,True,completed,recomputed,0.9464024999999764,57678903,2026-06-18T08:19:56.580666304+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_013.parquet,202581,1852,True,True,completed,recomputed,0.8708886000000007,57718211,2026-06-18T08:20:43.227134705+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_014.parquet,201384,1870,True,True,completed,recomputed,0.8208614000000125,57739849,2026-06-18T08:21:30.713057041+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_015.parquet,201115,1749,True,True,completed,recomputed,0.897630099999958,57658441,2026-06-18T08:22:18.600752592+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_016.parquet,201890,1751,True,True,completed,recomputed,0.8197811000000002,57705970,2026-06-18T08:23:07.481926680+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ctn\node_flow_chunk_017.parquet,202037,1812,True,True,completed,recomputed,0.9607611000000134,57842474,2026-06-18T08:23:56.096326113+00:00
