missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,high_flow,54,3639550,3639550,21842,216326741.5,60338863232.0,55001.309020996094,3639550,55608.16284179688,3639550,2911.8896484375,10435.140625,59.43777156516602,128.7581466847015,0.0151121179873874,0.0152788566833253,0.0171146951079828,True
0.05,correlation_topology_neighbor_fill,low_flow,54,3624883,3624883,42834,107679561.125,29508057696.0,204257.93994140625,3562745,211043.56909179688,3615803,0.0,1488.593017578125,29.70566529319705,90.2242571935914,0.0573316192827177,0.0583669987252615,0.0606104261730196,True
0.05,correlation_topology_neighbor_fill,mid_flow,54,3629859,3629859,30327,167927397.75,43883142080.0,75547.81359863281,3629859,75680.70288085938,3629859,1488.5931396484375,2911.889404296875,46.26278810003364,109.9522143864698,0.0208128782959979,0.020849488335734,0.0772518112479053,True
0.05,forward_fill,high_flow,54,3639550,3639550,0,324688932.5,127491217024.0,85665.37829589844,3639550,87691.35571289062,3639550,2911.8896484375,10435.140625,89.21128504897584,187.16140141187267,0.0235373544245575,0.024094010444393,0.024877729321399,True
0.05,forward_fill,low_flow,54,3624883,3624883,0,240149444.25,86833569792.0,397053.482421875,3562745,269484.7509765625,3577400,0.0,1488.593017578125,66.25026083600491,154.77358102171252,0.1114459447481857,0.0753297788831448,0.1039730666435089,True
0.05,forward_fill,mid_flow,54,3629859,3629859,0,388397226.0,145804811008.0,172561.55029296875,3629859,175067.32836914062,3629859,1488.5931396484375,2911.889404296875,107.00063721483396,200.41999614353543,0.0475394637348086,0.04822978753972,0.1408139690390042,True
0.05,function_curve_fit,high_flow,54,3639550,3639550,0,554543709.0,271029136640.0,147794.23608398438,3639550,153217.3662109375,3639550,2911.8896484375,10435.140625,152.36600925938646,272.88781614634934,0.040607832310034,0.0420978874341436,0.0362725923934331,True
0.05,function_curve_fit,low_flow,54,3624883,3624883,0,368659864.0,198124363776.0,792166.4223632812,3562745,424660.6215820313,3624868,0.0,1488.593017578125,101.70255536523524,233.78785468412008,0.2223472132760782,0.1171520236273517,0.1570529029247245,True
0.05,function_curve_fit,mid_flow,54,3629859,3629859,0,552662067.0,254403375104.0,251068.73022460935,3629859,245770.43896484372,3629859,1488.5931396484375,2911.889404296875,152.25441732034218,264.7381664382813,0.0691676261322022,0.067707985066319,0.1860035559804361,True
0.05,historical_linear_extrapolation,high_flow,54,3639550,3639550,0,662376878.0,435962401792.0,176281.521484375,3639550,185454.56762695312,3639550,2911.8896484375,10435.140625,181.99416905936167,346.0992619902124,0.0484349772593795,0.0509553564663085,0.0460039500301704,True
0.05,historical_linear_extrapolation,low_flow,54,3624883,3624883,0,436737867.0,261281260544.0,778496.783203125,3562745,455320.5424804688,3605955,0.0,1488.593017578125,120.48330028858862,268.4770298498526,0.2185103854480534,0.1262690583993612,0.1803562334899655,True
0.05,historical_linear_extrapolation,mid_flow,54,3629859,3629859,0,688534100.0,403997611520.0,308966.19921875,3629859,307666.01220703125,3629859,1488.5931396484375,2911.889404296875,189.68618340271615,333.61419487028115,0.0851179616670372,0.0847597695136453,0.2343954685728665,True
0.05,mean_fill,high_flow,54,3639550,3639550,0,519671146.5,255040069888.0,138296.06567382812,3639550,143268.84790039062,3639550,2911.8896484375,10435.140625,142.78445041282575,264.7161051704921,0.0379981222057199,0.0393644400819855,0.0351863982731897,True
0.05,mean_fill,low_flow,54,3624883,3624883,0,352041040.5,183402305536.0,712858.8862304688,3562745,378055.1127929688,3605031,0.0,1488.593017578125,97.1179043571889,224.93415140318285,0.2000869796267958,0.1048687550240119,0.1511052038717343,True
0.05,mean_fill,mid_flow,54,3629859,3629859,0,537289510.0,247629946880.0,242875.44091796875,3629859,238700.71606445312,3629859,1488.5931396484375,2911.889404296875,148.01938863190003,261.19009571285494,0.0669104339639552,0.0657603273472752,0.1835107013207615,True
0.05,road_topology_neighbor_fill,high_flow,54,3639550,3639550,0,2495417612.0,3685602394112.0,644466.4306640625,3639550,659948.01953125,3639550,2911.8896484375,10435.140625,685.6390520806143,1006.306772762836,0.1770731081216256,0.1813268177470429,0.1337595643024306,True
0.05,road_topology_neighbor_fill,low_flow,54,3624883,3624883,0,1456725152.0,2093030981632.0,1827426.720703125,3562745,917460.775390625,3617540,0.0,1488.593017578125,401.8681849869361,759.872682292413,0.5129266115602226,0.2536145489450359,0.5104636884087312,True
0.05,road_topology_neighbor_fill,mid_flow,54,3629859,3629859,0,1752593230.0,2189518913536.0,801158.96875,3629859,683430.4052734375,3629859,1488.5931396484375,2911.889404296875,482.8268067712823,776.6573790105175,0.2207135232387814,0.1882801522795892,0.5456751333513521,True
