missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,high_flow,61,4093100,4093100,91264,248826410.25,79462091328.0,63360.770568847656,4093100,64707.465759277344,4093100,2911.8896484375,10435.140625,60.79167629669444,139.33294538773288,0.015479898015892,0.015808913967232,0.0185203106770999,False
0.05,correlation_topology_neighbor_fill,low_flow,61,4101768,4101768,116453,126588371.0,36493721056.0,232880.1533203125,4029316,245367.39477539065,4090063,0.0,1488.593017578125,30.86190418375686,94.32428628950474,0.0577964481615024,0.0599911039940926,0.0633647243912014,False
0.05,correlation_topology_neighbor_fill,mid_flow,61,4111809,4111809,100714,196643641.75,56478624064.0,88455.76403808594,4111809,89485.25939941406,4111809,1488.5931396484375,2911.889404296875,47.8241187151446,117.1994537586628,0.0215126150164285,0.021762990304125,0.0823436811222235,False
0.05,correlation_topology_neighbor_fill,overall,61,12306677,12306677,308431,572058442.0,172434436992.0,384696.68896484375,12234225,399560.1171875,12294972,0.0,10435.140625,46.48358301757656,118.36998717146211,0.031444303906855,0.0324978468586589,0.0113434012463499,False
0.05,forward_fill,high_flow,61,4093100,4093100,610,368044596.5,153032878976.0,97132.12158203124,4093100,100029.2667236328,4093100,2911.8896484375,10435.140625,89.91830067674867,193.35980379737887,0.0237306983904696,0.0244385103524548,0.0257016287772082,False
0.05,forward_fill,low_flow,61,4101768,4101768,745,274687629.75,101181813632.0,459142.76708984375,4029316,309764.78564453125,4046282,0.0,1488.593017578125,66.96810491232074,157.06003269400983,0.1139505482046689,0.0765554120163971,0.1055090483694056,False
0.05,forward_fill,mid_flow,61,4111809,4111809,802,442511945.0,169861427968.0,196719.6584472656,4111809,200481.84130859372,4111809,1488.5931396484375,2911.889404296875,107.61977149230424,203.25017068129856,0.0478426061247654,0.0487575763632488,0.1428024338499213,False
0.05,forward_fill,overall,61,12306677,12306677,2157,1085244166.0,424076120576.0,752994.5439453125,12234225,610275.88671875,12251191,0.0,10435.140625,88.18336306380675,185.63142905013635,0.0615482013732224,0.0498135966306255,0.0177890682762252,False
0.05,function_curve_fit,high_flow,61,4093100,4093100,66914,630692299.0,320271084288.0,168140.41821289062,4093100,174938.54565429688,4093100,2911.8896484375,10435.140625,154.08670665265936,279.7259049118826,0.0410789910368402,0.0427398660316867,0.0371815197689568,False
0.05,function_curve_fit,low_flow,61,4101768,4101768,68308,422356789.0,229403316480.0,897978.9462890625,4029316,487987.16162109375,4100743,0.0,1488.593017578125,102.96944854023924,236.4908268901121,0.2228613854780966,0.1189996938655004,0.1588686928512349,False
