missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,high_flow,54,3639550,3639550,0,324688932.5,127491217024.0,85665.37829589844,3639550,87691.35571289062,3639550,2911.8896484375,10435.140625,89.21128504897584,187.16140141187267,0.023537354424557552,0.02409401044439302,0.024877729321399013,True
0.05,forward_fill,low_flow,54,3624883,3624883,0,240149444.25,86833569792.0,397053.482421875,3562745,269484.7509765625,3577400,0.0,1488.593017578125,66.25026083600491,154.77358102171252,0.11144594474818574,0.07532977888314488,0.10397306664350897,True
0.05,forward_fill,mid_flow,54,3629859,3629859,0,388397226.0,145804811008.0,172561.55029296875,3629859,175067.32836914062,3629859,1488.5931396484375,2911.889404296875,107.00063721483396,200.41999614353546,0.04753946373480864,0.048229787539720036,0.14081396903900423,True
0.05,forward_fill,overall,54,10894292,10894292,0,953235596.0,360129595392.0,655280.41015625,10832154,532243.4306640625,10846809,0.0,10435.140625,87.49862735458164,181.8150797553333,0.060494007946734325,0.049069125368028745,0.017423347349986795,True
0.05,function_curve_fit,high_flow,54,3639550,3639550,0,554543709.0,271029136640.0,147794.23608398438,3639550,153217.3662109375,3639550,2911.8896484375,10435.140625,152.36600925938646,272.88781614634934,0.04060783231003404,0.042097887434143645,0.03627259239343313,True
0.05,function_curve_fit,low_flow,54,3624883,3624883,0,368659864.0,198124363776.0,792166.4223632812,3562745,424660.62158203125,3624868,0.0,1488.593017578125,101.70255536523524,233.78785468412008,0.2223472132760782,0.11715202362735173,0.15705290292472457,True
0.05,function_curve_fit,mid_flow,54,3629859,3629859,0,552662067.0,254403375104.0,251068.73022460938,3629859,245770.43896484375,3629859,1488.5931396484375,2911.889404296875,152.25441732034218,264.7381664382813,0.0691676261322022,0.06770798506631903,0.18600355598043616,True
0.05,function_curve_fit,overall,54,10894292,10894292,0,1475865664.0,723556883456.0,1191029.37890625,10832154,823648.4375,10894277,0.0,10435.140625,135.47146193621393,257.7133011300634,0.10995314310581718,0.0756037722833741,0.02469667735120373,True
0.05,historical_linear_extrapolation,high_flow,54,3639550,3639550,0,662376878.0,435962401792.0,176281.521484375,3639550,185454.56762695312,3639550,2911.8896484375,10435.140625,181.99416905936172,346.09926199021237,0.04843497725937959,0.050955356466308506,0.04600395003017046,True
0.05,historical_linear_extrapolation,low_flow,54,3624883,3624883,0,436737867.0,261281260544.0,778496.783203125,3562745,455320.54248046875,3605955,0.0,1488.593017578125,120.48330028858862,268.4770298498526,0.2185103854480534,0.12626905839936126,0.1803562334899655,True
0.05,historical_linear_extrapolation,mid_flow,54,3629859,3629859,0,688534100.0,403997611520.0,308966.19921875,3629859,307666.01220703125,3629859,1488.5931396484375,2911.889404296875,189.68618340271618,333.61419487028115,0.08511796166703721,0.08475976951364536,0.23439546857286653,True
0.05,historical_linear_extrapolation,overall,54,10894292,10894292,0,1787648866.0,1101241267200.0,1263744.4814453125,10832154,948441.1279296875,10875364,0.0,10435.140625,164.09041230031286,317.93748391074524,0.11666603719309313,0.08721005824997559,0.030467963522125056,True
0.05,mean_fill,high_flow,54,3639550,3639550,0,519671146.5,255040069888.0,138296.06567382812,3639550,143268.84790039062,3639550,2911.8896484375,10435.140625,142.78445041282575,264.7161051704921,0.03799812220571997,0.03936444008198558,0.035186398273189784,True
0.05,mean_fill,low_flow,54,3624883,3624883,0,352041040.5,183402305536.0,712858.8862304688,3562745,378055.11279296875,3605031,0.0,1488.593017578125,97.1179043571889,224.93415140318285,0.20008697962679584,0.10486875502401193,0.15110520387173437,True
0.05,mean_fill,mid_flow,54,3629859,3629859,0,537289510.0,247629946880.0,242875.44091796875,3629859,238700.71606445312,3629859,1488.5931396484375,2911.889404296875,148.01938863190003,261.19009571285494,0.06691043396395528,0.06576032734727523,0.1835107013207615,True
0.05,mean_fill,overall,54,10894292,10894292,0,1409001696.0,686072318976.0,1094030.3916015625,10832154,760024.67578125,10874440,0.0,10435.140625,129.33393891039455,250.94898463954183,0.10099841560612621,0.06989092548961141,0.024048452594719282,True
0.05,road_topology_neighbor_fill,high_flow,54,3639550,3639550,0,2495417612.0,3685602394112.0,644466.4306640625,3639550,659948.01953125,3639550,2911.8896484375,10435.140625,685.6390520806143,1006.306772762836,0.1770731081216256,0.1813268177470429,0.13375956430243066,True
0.05,road_topology_neighbor_fill,low_flow,54,3624883,3624883,0,1456725152.0,2093030981632.0,1827426.720703125,3562745,917460.775390625,3617540,0.0,1488.593017578125,401.8681849869361,759.872682292413,0.5129266115602226,0.2536145489450359,0.5104636884087312,True
0.05,road_topology_neighbor_fill,mid_flow,54,3629859,3629859,0,1752593230.0,2189518913536.0,801158.96875,3629859,683430.4052734375,3629859,1488.5931396484375,2911.889404296875,482.8268067712823,776.6573790105175,0.22071352323878146,0.18828015227958925,0.5456751333513521,True
0.05,road_topology_neighbor_fill,overall,54,10894292,10894292,0,5704735992.0,7968152502272.0,3273052.1640625,10832154,2260839.19140625,10886949,0.0,10435.140625,523.6444912620296,855.2228835919649,0.30216078575530775,0.2076650851773302,0.08195604777410126,True
0.05,topology_function_hybrid,high_flow,54,3639550,3639550,0,1384167674.0,1091532288000.0,358093.6884765625,3639550,363761.44775390625,3639550,2911.8896484375,10435.140625,380.3128612053688,547.6391004146841,0.09838955048744007,0.09994681973153446,0.0727928793178331,True
0.05,topology_function_hybrid,low_flow,54,3624883,3624883,0,869232644.0,677223780352.0,1272253.271484375,3562745,696382.265625,3624878,0.0,1488.593017578125,239.79605521060955,432.23417632473974,0.35709916693009885,0.19211191814593484,0.2903642373843494,True
0.05,topology_function_hybrid,mid_flow,54,3629859,3629859,0,1053707880.0,713836654592.0,481676.943359375,3629859,439373.11962890625,3629859,1488.5931396484375,2911.889404296875,290.2889285782175,443.4600938961533,0.13269852723187733,0.12104412860910196,0.3115725832426677,True
0.05,topology_function_hybrid,overall,54,10894292,10894292,0,3307108244.0,2482592698368.0,2112023.90625,10832154,1499516.8203125,10894287,0.0,10435.140625,303.5633930135157,477.3679209387527,0.19497727841110826,0.13764249283248184,0.04574618954296581,True
0.1,forward_fill,high_flow,54,7277532,7277532,0,669393148.0,273365384960.0,176602.56958007812,7277532,181102.76025390625,7277532,2911.8896484375,10468.935546875,91.98079074059723,193.81156953582095,0.024266821441675298,0.024885189134710262,0.025646472462988953,True
0.1,forward_fill,low_flow,54,7256286,7256286,0,494775912.0,185350780160.0,833787.0029296875,7132771,551178.283203125,7162414,0.0,1488.593017578125,68.18583391007466,159.82327043836847,0.11689524350770374,0.07695426195736871,0.10736532319518323,True
0.1,forward_fill,mid_flow,54,7255066,7255066,0,797130412.0,309520731136.0,354344.6171875,7255066,359539.8486328125,7255066,1488.5931396484375,2911.889404296875,109.87224816424826,206.5495187780663,0.048840991548181646,0.04955707482644713,0.14512053738094033,True
0.1,forward_fill,overall,54,21788884,21788884,0,1961299498.0,768236886016.0,1364734.1875,21665369,1091820.865234375,21695012,0.0,10468.935546875,90.01376564306827,187.77167671880522,0.06299150443733499,0.05032589358486527,0.01793608107319521,True
0.1,function_curve_fit,high_flow,54,7277532,7277532,0,1109453348.0,543166263296.0,295616.29443359375,7277532,306506.02587890625,7277532,2911.8896484375,10468.935546875,152.4491198389784,273.19599721601895,0.0406204046143107,0.0421167541247371,0.036151162886612236,True
0.1,function_curve_fit,low_flow,54,7256286,7256286,0,736965499.0,395473026560.0,1567048.92578125,7132771,848146.2001953125,7256271,0.0,1488.593017578125,101.56235559072506,233.45395613306545,0.2196970750611859,0.11688458165293338,0.15682859813012204,True
0.1,function_curve_fit,mid_flow,54,7255066,7255066,0,1103227644.0,506600846848.0,501204.93505859375,7255066,490808.23291015625,7255066,1488.5931396484375,2911.889404296875,152.06307482247578,264.2483425246825,0.0690834425294813,0.06765041598658872,0.18565940843662188,True
0.1,function_curve_fit,overall,54,21788884,21788884,0,2949646492.0,1445240135680.0,2363870.16796875,21665369,1645460.474609375,21788869,0.0,10468.935546875,135.3739132302508,257.5446386463814,0.1091082348040668,0.0755183977015684,0.024600842893073214,True
0.1,historical_linear_extrapolation,high_flow,54,7277532,7277532,0,1333350426.0,884034383872.0,354725.86083984375,7277532,373256.7021484375,7277532,2911.8896484375,10468.935546875,183.21464282122017,348.5318861597151,0.048742604064103565,0.05128891252535028,0.0461201229744784,True
0.1,historical_linear_extrapolation,low_flow,54,7256286,7256286,0,879885596.0,528367840256.0,1667701.3359375,7132771,918105.7470703125,7219653,0.0,1488.593017578125,121.25839527273318,269.84289783826813,0.23380833843361856,0.12716757260637215,0.18127378984841042,True
0.1,historical_linear_extrapolation,mid_flow,54,7255066,7255066,0,1386011018.0,819458752512.0,621907.666015625,7255066,620347.806640625,7255066,1488.5931396484375,2911.889404296875,191.0404423612411,336.08015227834034,0.08572046980904446,0.08550546702685062,0.2361280364642523,True
0.1,historical_linear_extrapolation,overall,54,21788884,21788884,0,3599247108.0,2231860961280.0,2644334.87109375,21665369,1911710.306640625,21752251,0.0,10468.935546875,165.18730872127273,320.0487051672021,0.12205353488757796,0.08788563108437031,0.030571274771362726,True
0.1,mean_fill,high_flow,54,7277532,7277532,2,1043270096.0,515566926336.0,277542.48876953125,7277532,287610.21044921875,7277532,2911.8896484375,10468.935546875,143.35493076499012,266.1647037346396,0.03813689706476471,0.0395202948539723,0.035220734042342126,True
0.1,mean_fill,low_flow,54,7256286,7256286,1,706962553.0,368608289792.0,1463057.138671875,7132771,755538.6494140625,7215337,0.0,1488.593017578125,97.42760318432873,225.38517852163406,0.2051176378257307,0.10471287057195838,0.15140819274318898,True
0.1,mean_fill,mid_flow,54,7255066,7255066,1,1077986559.0,498201141248.0,487161.8271484375,7255066,479139.4755859375,7255066,1488.5931396484375,2911.889404296875,148.58397690661945,262.048498272374,0.06714781466473738,0.06604205607308569,0.18411381016102188,True
0.1,mean_fill,overall,54,21788884,21788884,4,2828219232.0,1382376333312.0,2227761.4453125,21665369,1522288.31640625,21747935,0.0,10468.935546875,129.80101376463338,251.88114078644247,0.10282591749591248,0.06999691310491088,0.024059861641007957,True
0.1,road_topology_neighbor_fill,high_flow,54,7277532,7277532,0,4892411296.0,7060172365824.0,1262378.71484375,7277532,1291987.25,7277532,2911.8896484375,10468.935546875,672.2624230302251,984.953187759865,0.17346247530670425,0.17753096104558524,0.13033574243124746,True
0.1,road_topology_neighbor_fill,low_flow,54,7256286,7256286,0,2890083552.0,4057169969152.0,3577071.31640625,7132771,1839020.203125,7245778,0.0,1488.593017578125,398.28688560511534,747.7465281595993,0.5014981297459641,0.2538057615241593,0.5023176377490671,True
0.1,road_topology_neighbor_fill,mid_flow,54,7255066,7255066,0,3450413500.0,4217480527872.0,1578542.65625,7255066,1348926.1796875,7255066,1488.5931396484375,2911.889404296875,475.58678308371003,762.4403275508522,0.21757798705759535,0.18592886400861136,0.5356863124622753,True
0.1,road_topology_neighbor_fill,overall,54,21788884,21788884,0,11232908528.0,15334822739968.0,6417992.5625,21665369,4479933.6015625,21778376,0.0,10468.935546875,515.533908391086,838.9225856261953,0.29623278341116643,0.20570558619993062,0.0801344684824825,True
0.1,topology_function_hybrid,high_flow,54,7277532,7277532,0,2720470680.0,2106753703936.0,703168.091796875,7277532,714590.1259765625,7277532,2911.8896484375,10468.935546875,373.81775579963096,538.040318610662,0.09662177944348098,0.09819127225776025,0.071197174906918,True
0.1,topology_function_hybrid,low_flow,54,7256286,7256286,0,1725188434.0,1322178195456.0,2495987.46875,7132771,1386825.619140625,7256281,0.0,1488.593017578125,237.75088716183458,426.86229943996494,0.3499323711289764,0.19112071585163598,0.28675554325416025,True
0.1,topology_function_hybrid,mid_flow,54,7255066,7255066,0,2079132364.0,1385835862016.0,950864.541015625,7255066,868494.17578125,7255066,1488.5931396484375,2911.889404296875,286.5766299024709,437.05411539648657,0.13106214898880658,0.11970865265474498,0.30707177855514256,True
0.1,topology_function_hybrid,overall,54,21788884,21788884,0,6524791448.0,4814767718400.0,4150020.046875,21665369,2969909.9609375,21788879,0.0,10468.935546875,299.45505460490773,470.0782708944832,0.1915508592018442,0.13630393564246696,0.04490220316952878,True
0.2,forward_fill,high_flow,54,14555901,14555901,0,1428323332.0,631495621632.0,377006.9384765625,14555901,388305.29833984375,14555901,2911.8896484375,10465.24609375,98.1267550528133,208.2886596781232,0.025900625353014045,0.026676830128196376,0.027575642853103273,True
0.2,forward_fill,low_flow,54,14511858,14511858,0,1047953959.0,419343273984.0,1821249.501953125,14264317,1153189.716796875,14326961,0.0,1488.593017578125,72.21363101816459,169.98998310612944,0.1276787035757215,0.08049088126901965,0.11419506950442078,True
0.2,forward_fill,mid_flow,54,14509059,14509059,0,1686790518.0,697173463040.0,750537.330078125,14509059,762188.783203125,14509059,1488.5931396484375,2911.889404296875,116.25774752173797,219.2051739041437,0.05172887711588498,0.052531923896865056,0.15401232993349326,True
