missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,high_flow,61,4093100,4093100,91264,248826410.25,79462091328.0,63360.770568847656,4093100,64707.465759277344,4093100,2911.8896484375,10435.140625,60.79167629669444,139.33294538773288,0.015479898015892028,0.01580891396723201,0.01852031067709992,False
0.05,correlation_topology_neighbor_fill,low_flow,61,4101768,4101768,116453,126588371.0,36493721056.0,232880.1533203125,4029316,245367.39477539062,4090063,0.0,1488.593017578125,30.86190418375686,94.32428628950474,0.05779644816150247,0.059991103994092666,0.06336472439120142,False
0.05,correlation_topology_neighbor_fill,mid_flow,61,4111809,4111809,100714,196643641.75,56478624064.0,88455.76403808594,4111809,89485.25939941406,4111809,1488.5931396484375,2911.889404296875,47.8241187151446,117.19945375866281,0.02151261501642852,0.021762990304125037,0.08234368112222354,False
0.05,correlation_topology_neighbor_fill,overall,61,12306677,12306677,308431,572058442.0,172434436992.0,384696.68896484375,12234225,399560.1171875,12294972,0.0,10435.140625,46.48358301757656,118.36998717146213,0.03144430390685505,0.03249784685865897,0.011343401246349962,False
0.1,correlation_topology_neighbor_fill,high_flow,61,8184671,8184671,247582,515206762.0,169950706944.0,131380.91259765625,8184671,134373.2364501953,8184671,2911.8896484375,10468.935546875,62.94776686808792,144.09896927703,0.016052070095139592,0.016417671089063363,0.01906816118542088,False
0.1,correlation_topology_neighbor_fill,low_flow,61,8210938,8210938,350741,266008073.5,80427812544.0,469812.7412109375,8066675,497907.23974609375,8186147,0.0,1488.593017578125,32.396794799814586,98.97072282228085,0.0582411887439295,0.060823149125723466,0.06648608562150979,False
0.1,correlation_topology_neighbor_fill,mid_flow,61,8217745,8217745,294646,413136396.0,125196570624.0,186020.66772460938,8217745,188128.45263671875,8217745,1488.5931396484375,2911.889404296875,50.273693817464526,123.42976042550102,0.022636461428848106,0.022892953314652468,0.08672105976192447,False
0.1,correlation_topology_neighbor_fill,overall,61,24613354,24613354,892969,1194351224.0,375575097344.0,787214.2958984375,24469091,820408.9306640625,24588563,0.0,10468.935546875,48.524521444740934,123.52731318009042,0.032171783410280236,0.03336546876139376,0.011799414814141596,False
0.2,correlation_topology_neighbor_fill,high_flow,61,16371825,16371825,914161,1120900379.0,410077429248.0,286899.4357910156,16371825,294558.3376464844,16371825,2911.8896484375,10465.24609375,68.46520647514862,158.26481930566453,0.01752397400967917,0.017991783912085817,0.020952912847623035,False
0.2,correlation_topology_neighbor_fill,low_flow,61,16421153,16421153,1374750,599404487.5,204498231552.0,1078175.5615234375,16132452,1038719.0126953125,16364999,0.0,1488.593017578125,36.50197324755454,111.59454211571659,0.06683271467495688,0.06347198754459518,0.07496645543674253,False
0.2,correlation_topology_neighbor_fill,mid_flow,61,16433729,16433729,1152208,923829104.0,310767741440.0,416074.123046875,16433729,420625.3935546875,16433729,1488.5931396484375,2911.889404296875,56.21542767317144,137.5149468344427,0.025318302562180196,0.025595249474704585,0.0966172330034251,False
0.2,correlation_topology_neighbor_fill,overall,61,49226707,49226707,3441119,2644134016.0,925343375360.0,1781149.13671875,48938006,1753902.775390625,49170553,0.0,10465.24609375,53.71340431120042,137.10429744315903,0.03639603004500735,0.03566977933704803,0.013100914800755592,False
0.3,correlation_topology_neighbor_fill,high_flow,61,24556440,24556440,2340868,1847386096.0,746487592448.0,474973.27783203125,24556440,489596.8720703125,24556440,2911.8896484375,10468.935546875,75.2302082875205,174.3526664403978,0.019342106503712722,0.01993761604167023,0.02307153731545379,False
0.3,correlation_topology_neighbor_fill,low_flow,61,24632946,24632946,3464556,1024039535.0,388302520320.0,1988779.591796875,24198476,1639709.763671875,24538356,0.0,1488.593017578125,41.57194738298862,125.55295171092385,0.08218615055745143,0.0668223153854266,0.08434337003353204,False
0.3,correlation_topology_neighbor_fill,mid_flow,61,24650675,24650675,2960665,1575261802.0,585569727488.0,709448.5283203125,24650675,717161.9208984375,24650675,1488.5931396484375,2911.889404296875,63.90339420725802,154.12564262396185,0.028780085264209297,0.029092993230345112,0.10828781501933597,False
0.3,correlation_topology_neighbor_fill,overall,61,73840061,73840061,8766089,4446687380.0,1720359712768.0,3173201.5,73405591,2846468.59765625,73745471,0.0,10468.935546875,60.22052690341087,152.6383309326561,0.04322833529124505,0.03859855471878741,0.014580119463837846,False
