missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,high_flow,54,3639550,3639550,21842,216326741.5,60338863232.0,55001.309020996094,3639550,55608.162841796875,3639550,2911.8896484375,10435.140625,59.437771565166024,128.7581466847015,0.015112117987387477,0.015278856683325378,0.01711469510798286,True
0.05,correlation_topology_neighbor_fill,low_flow,54,3624883,3624883,42834,107679561.125,29508057696.0,204257.93994140625,3562745,211043.56909179688,3615803,0.0,1488.593017578125,29.70566529319705,90.22425719359141,0.05733161928271775,0.05836699872526155,0.0606104261730196,True
0.05,correlation_topology_neighbor_fill,mid_flow,54,3629859,3629859,30327,167927397.75,43883142080.0,75547.81359863281,3629859,75680.70288085938,3629859,1488.5931396484375,2911.889404296875,46.26278810003364,109.9522143864698,0.02081287829599795,0.020849488335734082,0.07725181124790532,True
0.05,correlation_topology_neighbor_fill,overall,54,10894292,10894292,95003,491933716.0,133730061184.0,334807.0634765625,10832154,342332.43017578125,10885212,0.0,10435.140625,45.15517997865304,110.79368720645536,0.03090863215908512,0.031449312165512375,0.01061736407662981,True
0.1,correlation_topology_neighbor_fill,high_flow,54,7277532,7277532,103723,447908595.5,130321985280.0,114010.64489746094,7277532,115442.46105957031,7277532,2911.8896484375,10468.935546875,61.54677100698424,133.81869235709365,0.015666113855282385,0.015862858598158044,0.017707804631008274,True
0.1,correlation_topology_neighbor_fill,low_flow,54,7256286,7256286,191496,226298056.5,64967369536.0,410180.78271484375,7132771,427817.71142578125,7237077,0.0,1488.593017578125,31.186485276352116,94.62163446076374,0.05750651222573159,0.05911471045917865,0.06356447554396631,True
0.1,correlation_topology_neighbor_fill,mid_flow,54,7255066,7255066,144382,352496486.0,97372993024.0,158725.57739257812,7255066,158908.19946289062,7255066,1488.5931396484375,2911.889404296875,48.586254901058105,115.85067696805933,0.02187789572039429,0.021903067382555944,0.08139603808815948,True
0.1,correlation_topology_neighbor_fill,overall,54,21788884,21788884,439601,1026703120.0,292662347776.0,682916.9853515625,21665369,702168.376953125,21769675,0.0,10468.935546875,47.12050052678237,115.89532901284863,0.0315211333511819,0.03225442625822963,0.011070402381782132,True
0.2,correlation_topology_neighbor_fill,high_flow,54,14555901,14555901,583651,973464019.0,315940257280.0,248685.50366210938,14555901,252647.71948242188,14555901,2911.8896484375,10465.24609375,66.87762021739499,147.32720072774072,0.01708485813843536,0.017357064978830362,0.01950486539254609,True
0.2,correlation_topology_neighbor_fill,low_flow,54,14511858,14511858,988886,510862220.5,166324887040.0,938852.5146484375,14264317,893140.2373046875,14467839,0.0,1488.593017578125,35.20308843292155,107.05750270515637,0.06581825927231129,0.061732801789174424,0.0719185844894894,True
0.2,correlation_topology_neighbor_fill,mid_flow,54,14509059,14509059,794198,789122953.0,244402987008.0,355411.2412109375,14509059,355595.265625,14509059,1488.5931396484375,2911.889404296875,54.38829306573224,129.7877284118773,0.024495816111226615,0.024508499526054724,0.09118813253116746,True
0.2,correlation_topology_neighbor_fill,overall,54,43576818,43576818,2366735,2273449208.0,726668122112.0,1542949.26953125,43329277,1501383.240234375,43532799,0.0,10465.24609375,52.17106967287056,129.13390879703064,0.03560985496091361,0.03448855287789731,0.012339309333026705,True
0.3,correlation_topology_neighbor_fill,high_flow,54,21837045,21837045,1754062,1602433658.0,575574983168.0,411269.68505859375,21837045,419243.24658203125,21837045,2911.8896484375,10468.935546875,73.38143315636341,162.3506456872296,0.01883357776011332,0.019198716977596154,0.02148334784109189,True
0.3,correlation_topology_neighbor_fill,low_flow,54,21766699,21766699,2742468,872393310.0,315878159360.0,1573153.72265625,21394476,1407899.455078125,21691631,0.0,1488.593017578125,40.07926557903888,120.46572910997024,0.07353083677563545,0.06490519108858735,0.08092589961624477,True
0.3,correlation_topology_neighbor_fill,mid_flow,54,21760834,21760834,2296443,1344459672.0,461577479168.0,605453.306640625,21760834,605454.5185546875,21760834,1488.5931396484375,2911.889404296875,61.78346252721748,145.64129687764222,0.027823074549469244,0.027823130241914785,0.1023267611213864,True
0.3,correlation_topology_neighbor_fill,overall,54,65364578,65364578,6792973,3819286532.0,1353030625280.0,2589876.7578125,64992355,2432597.31640625,65289510,0.0,10468.935546875,58.43052382285708,143.87408761717268,0.039848944661452876,0.037258624186431326,0.013742952850647687,True
