missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_000.parquet,201869,1674,True,True,completed,recomputed,1.2015645999999975,57714891,2026-06-16T07:43:39.815159559+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_001.parquet,201903,0,True,True,completed,recomputed,2.102635499999998,57614794,2026-06-16T07:43:54.282114983+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_002.parquet,201683,0,True,True,completed,recomputed,2.4689169000000035,57515177,2026-06-16T07:44:09.353303194+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_003.parquet,201423,0,True,True,completed,recomputed,1.3311894999999936,57491430,2026-06-16T07:44:30.620733023+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_004.parquet,201300,0,True,True,completed,recomputed,1.0082341999999898,57514326,2026-06-16T07:44:43.946385384+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_005.parquet,201476,0,True,True,completed,recomputed,1.157817399999999,57573325,2026-06-16T07:44:54.978292942+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_006.parquet,202319,0,True,True,completed,recomputed,1.1502623999999884,57592992,2026-06-16T07:45:06.260067700+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_007.parquet,201542,0,True,True,completed,recomputed,0.910150399999992,57618299,2026-06-16T07:45:17.198944807+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_008.parquet,201563,0,True,True,completed,recomputed,0.9648409999999928,57501337,2026-06-16T07:45:27.569955587+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_009.parquet,202239,0,True,True,completed,recomputed,0.9148020999999744,57515153,2026-06-16T07:45:38.392682791+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_010.parquet,201258,0,True,True,completed,recomputed,1.0017422000000238,57560559,2026-06-16T07:45:49.123546362+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff\node_flow_chunk_011.parquet,201819,0,True,True,completed,recomputed,0.9983100000000036,57509246,2026-06-16T07:46:00.344595194+00:00
