missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_000.parquet,201869,201869,True,True,completed,recomputed,0.8826138999999991,57714891,2026-06-18T07:25:57.071315050+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_001.parquet,201903,2025,True,True,completed,recomputed,1.1462716999999998,57783578,2026-06-18T07:40:15.965260744+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_002.parquet,201683,1949,True,True,completed,recomputed,0.9719948000000044,57670326,2026-06-18T07:41:08.682708502+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_003.parquet,201423,1926,True,True,completed,recomputed,0.8750545000000045,57651101,2026-06-18T07:41:57.904212236+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_004.parquet,201300,1837,True,True,completed,recomputed,1.1051730000000075,57674419,2026-06-18T07:42:46.573253870+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_005.parquet,201476,1697,True,True,completed,recomputed,0.9313209000000028,57735534,2026-06-18T07:43:34.193827629+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_006.parquet,202319,1834,True,True,completed,recomputed,1.0287268000000154,57755321,2026-06-18T07:44:24.840691566+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_007.parquet,201542,1761,True,True,completed,recomputed,0.8266742000000136,57777160,2026-06-18T07:45:11.650562286+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_008.parquet,201563,1888,True,True,completed,recomputed,0.9457208999999692,57683931,2026-06-18T07:45:56.538495541+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ctn\node_flow_chunk_009.parquet,202239,1906,True,True,completed,recomputed,0.7897616999999855,57684570,2026-06-18T07:46:40.360996008+00:00
