missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,long,54,988155,988155,9605,43933937.734375,11960504240.0,28046.06378173828,983166,29255.855796813965,987443,0.0,10384.48046875,44.46057322421584,110.0176105678186,0.0285262750967164,0.0296278932523841,0.0105944260667535,True
0.05,correlation_topology_neighbor_fill,mid,54,1260458,1260458,12310,56797046.96875,15244419372.0,35514.236251831055,1252978,40259.40225219727,1259343,0.0,10374.009765625,45.06064221794776,109.97431215214564,0.0283438625832465,0.0319685758782136,0.0106009455009916,True
0.05,correlation_topology_neighbor_fill,short,54,8646091,8646091,75892,390513328.5,105403835520.0,264091.2692871094,8596931,271712.52978515625,8638940,0.0,10472.572265625,45.166460600518775,110.41251596174322,0.0307192496121126,0.0314520681686823,0.0105430178146547,True
0.05,forward_fill,long,54,988155,988155,0,190149421.9375,151571759168.0,119436.69696044922,983166,95872.31692504884,985301,0.0,10384.48046875,192.4287403671489,391.6486278541093,0.1214817202389517,0.0973025673627133,0.0377148022987473,True
0.05,forward_fill,mid,54,1260458,1260458,0,206215984.75,140100974720.0,136225.07675170898,1252978,109297.64141845705,1256024,0.0,10374.009765625,163.60401120069054,333.3929323289923,0.1087210443852238,0.087018752363376,0.0321373258615692,True
0.05,forward_fill,short,54,8646091,8646091,0,773380730.0,302499013632.0,543438.2133789062,8596931,431155.11083984375,8608727,0.0,10472.572265625,89.44859937282641,187.04757424381137,0.0632130481655495,0.0500834921167605,0.0178607098141278,True
0.05,function_curve_fit,long,54,988155,988155,0,131983508.6875,64882789520.0,91945.4949951172,983166,71629.52941894531,988155,0.0,10384.48046875,133.56559313822223,256.24312400474986,0.0935198074334519,0.0724881515743434,0.0246755843757289,True
0.05,function_curve_fit,mid,54,1260458,1260458,0,170052220.75,82342714944.0,125194.98120117188,1252978,95621.6258544922,1260450,0.0,10374.009765625,134.91304014096465,255.5926739894717,0.0999179404595865,0.0758630852905646,0.0246377899928719,True
0.05,function_curve_fit,short,54,8646091,8646091,0,1170098586.0,571543556608.0,894451.943359375,8596931,653257.9794921875,8646085,0.0,10472.572265625,135.3326706832024,257.1075118027437,0.1040431688191256,0.0755553501373381,0.0245505598129572,True
0.05,historical_linear_extrapolation,long,54,988155,988155,0,157992328.3125,95948923872.0,98344.3832397461,983166,81979.05862426758,986505,0.0,10384.48046875,159.8861801159737,311.6072243458474,0.1000282589509259,0.0831004998700134,0.0300070114517107,True
