missing_rate,method,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,61,12306677,12306677,1674,1329012918.0,685975849984.0,910590.60546875,12234597,728149.8291015625,12254282,0.0,10472.572265625,107.9912081872304,236.09349000776396,0.07442751121828942,0.05942003204280451,0.022543982893554564,False
0.05,function_curve_fit,61,12306677,12306677,201869,1688337562.0,847140397056.0,1282292.369140625,12234597,945096.009765625,12305732,0.0,10472.572265625,137.1887441264608,262.3658434076899,0.10480871328582585,0.07680128331785749,0.025052664880516058,False
0.05,historical_linear_extrapolation,61,12306677,12306677,403772,2067903580.0,1337805437952.0,1438503.66015625,12234597,1103559.93359375,12282914,0.0,10472.572265625,168.0310273845653,329.70541301453903,0.11757670973193886,0.08984512417767884,0.03148275367807761,False
0.05,mean_fill,61,12306677,12306677,212618,1626737250.0,822911762432.0,1198342.2314453125,12234597,878278.5986328125,12282244,0.0,10472.572265625,132.1833058590877,258.5867297739153,0.09794701300298755,0.07150799142508588,0.02469180667510848,False
0.05,road_topology_neighbor_fill,61,12306677,12306677,201869,6378309490.0,8898103197696.0,3592200.271484375,12234597,2539322.6484375,12296729,0.0,10472.572265625,518.2804009563264,850.3120193861839,0.2936100201326104,0.20650391241748112,0.08119418971948603,False
0.05,topology_function_hybrid,61,12306677,12306677,201869,3715859694.0,2801533202432.0,2302160.044921875,12234597,1693876.16015625,12305771,0.0,10472.572265625,301.93850817730896,477.11985061549973,0.18816803241838492,0.13764892587032945,0.045558993389006264,False
0.1,forward_fill,61,24613354,24613354,4195,2453574148.0,1144851137536.0,1705576.45703125,24467748,1357942.30859375,24504851,0.0,10468.935546875,99.6846731250036,215.66968847844555,0.06970712862627365,0.05541524445889306,0.020600918547332488,False
0.1,function_curve_fit,61,24613354,24613354,404164,3381175088.0,1701356562432.0,2963800.28125,24467748,1896197.423828125,24611258,0.0,10468.935546875,137.37157024597298,262.91312745861126,0.12113089775364697,0.07704593661275361,0.025113644675851633,False
0.1,historical_linear_extrapolation,61,24613354,24613354,807263,4189359376.0,2773914079232.0,3351453.146484375,24467748,2240596.685546875,24566826,0.0,10468.935546875,170.20676564437338,335.7075460543555,0.13697432009208102,0.09120415822324279,0.0320670181367737,False
0.1,mean_fill,61,24613354,24613354,449001,3271830884.0,1667332059136.0,2769453.4375,24467748,1766974.138671875,24562930,0.0,10468.935546875,132.92909548207044,260.27092251661617,0.11318791731466255,0.07193661907076537,0.024861259423295198,False
0.1,road_topology_neighbor_fill,61,24613354,24613354,404164,12572258996.0,17159456538624.0,7849015.25390625,24467748,5038859.93359375,24596905,0.0,10468.935546875,510.79015870815493,834.9613363863571,0.3207902604647657,0.20485747835322168,0.07975608720177811,False
0.1,topology_function_hybrid,61,24613354,24613354,404164,7341761188.0,5448238424064.0,5136701.546875,24467748,3364177.1171875,24611382,0.0,10468.935546875,298.28365479974815,470.48161091822345,0.2099376512654536,0.13669192234664027,0.044940730488942905,False
0.2,forward_fill,61,49226707,49226707,10109,4943421880.0,2275758192640.0,3959071.5703125,48937686,2740143.80859375,49012527,0.0,10477.7548828125,100.42154312698592,215.0119832142569,0.08090026100360569,0.055907009418097335,0.020520806758608016,False
0.2,function_curve_fit,61,49226707,49226707,808675,6780146008.0,3418401812480.0,6799008.32421875,48937686,3799870.30078125,49222780,0.0,10477.7548828125,137.73308070352948,263.51853209767046,0.13893195367305985,0.07719739317408017,0.025150286014987904,False
0.2,historical_linear_extrapolation,61,49226707,49226707,1616672,8632225544.0,6019883636736.0,6714258.19140625,48937686,4614182.59765625,49141213,0.0,10477.7548828125,175.35655074388788,349.69840853439064,0.13720015677501077,0.09389639196851429,0.033375318705730454,False
0.2,mean_fill,61,49226707,49226707,1011846,6613052944.0,3415464546304.0,7410045.36328125,48937686,3562003.5859375,49122335,0.0,10477.7548828125,134.3387227587659,263.40529344766423,0.15141797598033652,0.07251291262798278,0.025139478485009133,False
0.2,road_topology_neighbor_fill,61,49226707,49226707,808675,24551328928.0,32221616783360.0,15439240.25390625,48937686,9942377.59375,49206105,0.0,10477.7548828125,498.7400219153396,809.0461055797542,0.3154877460676471,0.20205577323687782,0.0772155976760725,False
0.2,topology_function_hybrid,61,49226707,49226707,808675,14390842832.0,10388105854976.0,10573325.11328125,48937686,6639868.0234375,49222983,0.0,10477.7548828125,292.3381170306598,459.3754594841833,0.21605690782521367,0.13489365371126533,0.043842928625648,False
0.3,forward_fill,61,73840061,73840061,18201,7746705432.0,3715354869760.0,5632391.765625,73406012,4278090.375,73523236,0.0,10468.123046875,104.91195872657798,224.31283657443632,0.0767292979439477,0.05818691624236996,0.02142818111422557,False
0.3,function_curve_fit,61,73840061,73840061,1209135,10220640496.0,5179903950848.0,8309520.875,73406012,5721189.59375,73833705,0.0,10468.123046875,138.41592703993027,264.8590579547809,0.11319945939850268,0.07748750511368757,0.025301484971926084,False
0.3,historical_linear_extrapolation,61,73840061,73840061,2419762,13520606824.0,10230356926464.0,10061248.4140625,73406012,7200027.7734375,73719813,0.0,10468.123046875,183.1066583761354,372.2197127495983,0.13706300260614213,0.0976674720191911,0.03555744531114537,False
0.3,mean_fill,61,73840061,73840061,1742630,10066602304.0,5300548829184.0,7947151.4765625,73406012,5403763.6953125,73675263,0.0,10468.123046875,136.32982107097664,267.9257137979589,0.10826295094961023,0.07334569942848389,0.025594436805740597,False
0.3,road_topology_neighbor_fill,61,73840061,73840061,1209135,36190625584.0,45884453535744.0,21716457.3203125,73406012,14784878.7578125,73816607,0.0,10468.123046875,490.1218267411778,788.2913454186843,0.2958403096508294,0.20029203940263063,0.0753039816105342,False
0.3,topology_function_hybrid,61,73840061,73840061,1209135,21280810416.0,15009372192768.0,14184808.1484375,73406012,9882205.8828125,73834437,0.0,10468.123046875,288.2014197685996,450.85328684527065,0.19323768942028208,0.1338427742438464,0.04306916195256816,False
