missing_rate,method,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,54,10894704,10894704,97807,491244315.5,132608757120.0,327651.56591796875,10833075,341227.7978515625,10885726,0.0,10472.572265625,45.09019386850712,110.32613007962097,0.0302454811692865,0.0313463518971139,0.0105347690406256,True
0.05,forward_fill,54,10894704,10894704,0,1169746134.0,594171747840.0,799099.9736328125,10833075,636325.0556640625,10850052,0.0,10472.572265625,107.36832629872276,233.5330122880532,0.0737648334967507,0.0586471894940284,0.0222994892147555,True
0.05,function_curve_fit,54,10894704,10894704,0,1472134320.0,718769061888.0,1111592.39453125,10833075,820509.1240234375,10894690,0.0,10472.572265625,135.12384732985862,256.8543765303125,0.102610975603072,0.0753127554821144,0.0245263885524483,True
0.05,historical_linear_extrapolation,54,10894704,10894704,0,1782328298.0,1092719031296.0,1246798.75390625,10833075,944929.5986328124,10875753,0.0,10472.572265625,163.5958441826414,316.6988860854788,0.1150918602433981,0.0868840620629038,0.0302407926202625,True
0.05,mean_fill,54,10894704,10894704,0,1404549412.0,681258792960.0,1035578.0849609376,10833075,756589.8125,10874845,0.0,10472.572265625,128.9203829677245,250.06236985963235,0.0955941027788451,0.0695724686190929,0.0238778366495911,True
0.05,road_topology_neighbor_fill,54,10894704,10894704,0,5698276744.0,7956570963968.0,3192322.48828125,10833075,2257332.375,10887410,0.0,10472.572265625,523.0318092166616,854.5849743686517,0.2946829490501312,0.2073341938073426,0.0816022036127387,True
0.1,correlation_topology_neighbor_fill,54,21787929,21787929,444758,1028235703.0,294420862464.0,726632.5908203125,21663303,704419.822265625,21768480,0.0,10468.935546875,47.19290681551239,116.24554410068512,0.033542096088501,0.0323596237433952,0.0111038551703935,True
0.1,forward_fill,54,21787929,21787929,0,2159988356.0,990355417088.0,1511772.99609375,21663303,1186917.8046875,21695449,0.0,10468.935546875,99.13692834229448,213.2001790260041,0.0697849721297694,0.0547081466111856,0.0203650292879723,True
0.1,function_curve_fit,54,21787929,21787929,0,2953676968.0,1451066195968.0,2613401.046875,21663303,1648561.61328125,21787806,0.0,10468.935546875,135.56483353695526,258.068879851018,0.1206372383230295,0.0756644158333909,0.0246509187773204,True
0.1,historical_linear_extrapolation,54,21787929,21787929,0,3604507716.0,2240083931136.0,2966265.765625,21663303,1916006.94140625,21751412,0.0,10468.935546875,165.43599513290135,320.6447767109664,0.1369258310067029,0.0880865546294764,0.0306282119395299,True
