missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,high_flow,54,3642539,3642539,22599,215997181.75,59542456384.0,54879.57629394531,3642539,55486.39532470703,3642539,2911.8896484375,10472.572265625,59.2985227474572,127.85310169856658,0.01506629751773291,0.01523288983994599,0.0169102590562288,True
0.05,correlation_topology_neighbor_fill,low_flow,54,3625819,3625819,44361,107427023.875,29161338432.0,197229.11791992188,3564190,210042.84008789062,3616841,0.0,1488.593017578125,29.628347105853877,89.68104627160528,0.05533630864794578,0.05807356200836327,0.060245510500588254,True
0.05,correlation_topology_neighbor_fill,mid_flow,54,3626346,3626346,30847,167820105.75,43904965248.0,75542.87109375,3626346,75698.55395507812,3626346,1488.5931396484375,2911.889404296875,46.27801807935592,110.03280881402993,0.020831677698087827,0.02087460875357126,0.07730843644222496,True
0.1,correlation_topology_neighbor_fill,high_flow,54,7277947,7277947,104714,448542059.0,131304145664.0,114220.4853515625,7277947,115686.7685546875,7277947,2911.8896484375,10468.935546875,61.630300275613436,134.31817267573828,0.015694052917885015,0.015895522261248605,0.01777389928298702,True
0.1,correlation_topology_neighbor_fill,low_flow,54,7258806,7258806,193795,227002782.75,65290723712.0,453613.81494140625,7134180,429642.244140625,7239357,0.0,1488.593017578125,31.272744133126025,94.8403496662427,0.06358317493270513,0.059348122235251696,0.0637114030136617,True
0.1,correlation_topology_neighbor_fill,mid_flow,54,7251176,7251176,146249,352690837.5,97825985408.0,158798.2958984375,7251176,159090.81030273438,7251176,1488.5931396484375,2911.889404296875,48.639122467859,116.15098374573797,0.02189966095133224,0.021940001222247863,0.08160703195158595,True
0.2,correlation_topology_neighbor_fill,high_flow,54,14560538,14560538,585702,973876021.0,316246113280.0,248855.47534179688,14560538,252776.17407226562,14560538,2911.8896484375,10477.7548828125,66.88461793101327,147.37502347493992,0.017091090682349572,0.017360359491679883,0.01947893848351295,True
0.2,correlation_topology_neighbor_fill,low_flow,54,14507733,14507733,988018,510271222.0,165228572416.0,920460.0966796875,14260348,892210.0556640625,14463850,0.0,1488.593017578125,35.17236097466089,106.71925828152986,0.06454681868070032,0.06168551635035364,0.07169136024509733,True
0.2,correlation_topology_neighbor_fill,mid_flow,54,14507519,14507519,795970,789736633.0,245033930240.0,355753.8798828125,14507519,355928.14892578125,14507519,1488.5931396484375,2911.889404296875,54.436367307187396,129.9620457400119,0.024522034393531553,0.024534046719206865,0.09131060691156473,True
0.3,correlation_topology_neighbor_fill,high_flow,54,21836095,21836095,1754340,1603827658.0,578177763328.0,411605.61572265625,21836095,419595.1689453125,21836095,2911.8896484375,10465.818359375,73.44846493844251,162.72085023514546,0.018849781324117534,0.019215668778932885,0.02154122132494292,True
0.3,correlation_topology_neighbor_fill,low_flow,54,21768181,21768181,2744619,873257566.0,316399621632.0,1564586.466796875,21396354,1408937.09765625,21693095,0.0,1488.593017578125,40.11623966191755,120.56101837347447,0.07312397555195034,0.06494864368852163,0.0809899125884803,True
0.3,correlation_topology_neighbor_fill,mid_flow,54,21763036,21763036,2300281,1346279880.0,464579729920.0,606514.4765625,21763036,606258.794921875,21763036,1488.5931396484375,2911.889404296875,61.86084882642293,146.10678631551036,0.02786901958727174,0.02785727115104138,0.10265381139857034,True
