scenario,节点ID,missing_count
nso_r05_mix_s42,1520469545,440
nso_r05_mix_s42,1552898162,437
nso_r05_mix_s42,1520421958,436
nso_r05_mix_s42,1520413040,435
nso_r05_mix_s42,1520336062,433
nso_r05_mix_s42,1526676974,429
nso_r05_mix_s42,1554153003,429
nso_r05_mix_s42,1520459348,427
nso_r05_mix_s42,1520457229,425
nso_r05_mix_s42,1530829936,421
nso_r05_mix_s42,1553536498,419
nso_r05_mix_s42,1520464070,418
nso_r05_mix_s42,1549772014,418
nso_r05_mix_s42,1553480627,417
nso_r05_mix_s42,1530639802,415
nso_r05_mix_s42,1531399789,415
nso_r05_mix_s42,1554155301,415
nso_r05_mix_s42,1520420723,414
nso_r05_mix_s42,1530849266,412
nso_r05_mix_s42,1520469285,411
nso_r10_mix_s42,1531067909,764
nso_r10_mix_s42,1520319277,749
nso_r10_mix_s42,1520440364,729
nso_r10_mix_s42,1520500479,726
nso_r10_mix_s42,1520403049,724
nso_r10_mix_s42,1520468150,723
nso_r10_mix_s42,1520321825,719
nso_r10_mix_s42,1520466422,718
nso_r10_mix_s42,1529960419,716
nso_r10_mix_s42,1553819492,716
nso_r10_mix_s42,1531027448,714
nso_r10_mix_s42,1520484946,713
nso_r10_mix_s42,1531149024,713
nso_r10_mix_s42,1553552592,713
nso_r10_mix_s42,1520470613,712
nso_r10_mix_s42,1520487797,711
nso_r10_mix_s42,1520490596,710
nso_r10_mix_s42,1520459538,709
nso_r10_mix_s42,1531094128,709
nso_r10_mix_s42,1552897775,709
nso_r20_mix_s42,1520496835,1340
nso_r20_mix_s42,1549752378,1339
nso_r20_mix_s42,1520435265,1333
nso_r20_mix_s42,1549300201,1321
nso_r20_mix_s42,1520483508,1317
nso_r20_mix_s42,1520495845,1317
nso_r20_mix_s42,1554151940,1316
nso_r20_mix_s42,1554157575,1316
nso_r20_mix_s42,1530632849,1315
nso_r20_mix_s42,1520430691,1313
nso_r20_mix_s42,1554156287,1313
nso_r20_mix_s42,1530805871,1311
nso_r20_mix_s42,1549315169,1308
nso_r20_mix_s42,1554155967,1307
nso_r20_mix_s42,1530834986,1306
nso_r20_mix_s42,1520436343,1305
nso_r20_mix_s42,1520421296,1304
nso_r20_mix_s42,1530693849,1304
nso_r20_mix_s42,1553472006,1304
nso_r20_mix_s42,1520417578,1303
nso_r30_mix_s42,1553471206,1937
nso_r30_mix_s42,1549751605,1920
nso_r30_mix_s42,1520422639,1916
nso_r30_mix_s42,1549300036,1915
nso_r30_mix_s42,1520460778,1911
nso_r30_mix_s42,1553396637,1908
nso_r30_mix_s42,1520412192,1905
nso_r30_mix_s42,1520468485,1905
nso_r30_mix_s42,1520495014,1905
nso_r30_mix_s42,1549428209,1905
nso_r30_mix_s42,1520410441,1901
nso_r30_mix_s42,1520443074,1900
nso_r30_mix_s42,1520488242,1899
nso_r30_mix_s42,1520462909,1896
nso_r30_mix_s42,1554147203,1896
nso_r30_mix_s42,1520435906,1894
nso_r30_mix_s42,1520425069,1893
nso_r30_mix_s42,1520494791,1893
nso_r30_mix_s42,1520455791,1892
nso_r30_mix_s42,1531162960,1892
