missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_000.parquet,187774,2076,True,True,completed,recomputed,1.510917599999999,57721255,2026-06-16T07:16:40.298262119+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_001.parquet,199679,0,True,True,completed,recomputed,1.2053929999999973,57617968,2026-06-16T07:16:52.770513058+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_002.parquet,203212,0,True,True,completed,recomputed,1.3023732999999993,57508331,2026-06-16T07:17:06.245409489+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_003.parquet,200778,0,True,True,completed,recomputed,1.655613499999994,57495492,2026-06-16T07:17:21.259676933+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_004.parquet,200099,0,True,True,completed,recomputed,1.2920907999999969,57525129,2026-06-16T07:17:35.097679377+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_005.parquet,201671,0,True,True,completed,recomputed,1.3833891999999963,57576790,2026-06-16T07:17:48.490651846+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_006.parquet,203530,0,True,True,completed,recomputed,1.2303806999999978,57597476,2026-06-16T07:18:02.384579182+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_007.parquet,202976,0,True,True,completed,recomputed,1.3065928999999985,57622001,2026-06-16T07:18:15.606633663+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_008.parquet,202091,0,True,True,completed,recomputed,1.4992275000000037,57513405,2026-06-16T07:18:29.894458055+00:00
0.05,forward_fill,use_previous_slot_or_previous_day_last_slot_then_global_safe_fallback_zero,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ff\node_flow_chunk_009.parquet,202548,0,True,True,completed,recomputed,1.4096662000000038,57519775,2026-06-16T07:18:44.249658823+00:00
