missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_000.parquet,187774,187774,True,True,completed,recomputed,0.9245601999999984,57721255,2026-06-18T07:25:50.825485706+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_001.parquet,199679,2015,True,True,completed,recomputed,0.9785151999999968,57775673,2026-06-18T07:33:03.455887794+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_002.parquet,203212,1807,True,True,completed,recomputed,1.0597071999999983,57668192,2026-06-18T07:39:55.488189459+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_003.parquet,200778,1957,True,True,completed,recomputed,1.059496799999998,57648129,2026-06-18T07:40:23.181610823+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_004.parquet,200099,1644,True,True,completed,recomputed,1.1839668000000074,57668433,2026-06-18T07:40:52.004292011+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_005.parquet,201671,1889,True,True,completed,recomputed,1.0250944999999945,57730725,2026-06-18T07:41:19.924516678+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_006.parquet,203530,2001,True,True,completed,recomputed,1.000565100000017,57760748,2026-06-18T07:41:46.815945387+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_007.parquet,202976,2031,True,True,completed,recomputed,0.9431485000000066,57780248,2026-06-18T07:42:13.931991816+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_008.parquet,202091,2146,True,True,completed,recomputed,2.263286699999981,57663542,2026-06-18T07:42:44.067052603+00:00
0.05,correlation_topology_neighbor_fill,same-time positive-correlation topology neighbors -> mean_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r05_mix_s42_m_ctn\node_flow_chunk_009.parquet,202548,1973,True,True,completed,recomputed,0.8300547999999992,57679366,2026-06-18T07:43:13.420568466+00:00
