missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,long,54,4857298,4857298,43170,219044313.75,59099891008.0,251907.31762695312,4829353,152251.84448242188,4852930,0.0,10467.60546875,45.09591829655088,110.30519472564475,0.0521617114398042,0.0313731796012763,0.0105377676924249,True
0.05,correlation_topology_neighbor_fill,mid,54,4656990,4656990,41053,210503638.5,56598613440.0,127838.66918945312,4630171,146446.9052734375,4652962,0.0,10434.712890625,45.20165138855784,110.24280206859387,0.0276099239508547,0.0314739095813457,0.0105650057863729,True
0.05,correlation_topology_neighbor_fill,short,54,1395646,1395646,12587,62931450.5625,16986934848.0,36311.06103515625,1387846,43594.23797607422,1394493,0.0,10422.25390625,45.09126996566464,110.32396782487872,0.0261636096765464,0.0312617115869884,0.0105854231548436,True
0.05,forward_fill,long,54,4857298,4857298,0,964008375.0,768620822528.0,748580.3916015625,4829353,493051.265625,4842735,0.0,10467.60546875,198.4659732633246,397.79443067596605,0.1550063521141574,0.1018125636907656,0.0380024287181573,True
0.05,forward_fill,mid,54,4656990,4656990,0,761206495.0,520497860608.0,514073.9135742188,4630171,398322.119140625,4641009,0.0,10434.712890625,163.45461231396246,334.3157380812676,0.1110269822808312,0.085826620706968,0.0320388056274774,True
0.05,forward_fill,short,54,1395646,1395646,0,168288937.25,88309714432.0,106681.37561035156,1387846,91396.42724609376,1390380,0.0,10422.25390625,120.58139187874288,251.5455290356232,0.0768683093155519,0.065734854677206,0.0241354251487556,True
0.05,function_curve_fit,long,54,4857298,4857298,0,658537634.0,323112944128.0,548304.6801757812,4829353,367465.06884765625,4857298,0.0,10467.60546875,135.5769471010426,257.9169021985977,0.1135358463495588,0.0756521565791632,0.024639532218575,True
0.05,function_curve_fit,mid,54,4656990,4656990,0,630986637.0,309218436096.0,518792.7822265625,4630171,352397.029296875,4656990,0.0,10434.712890625,135.4923753325646,257.67959960784765,0.1120461387336585,0.0756705574409382,0.024694459953887,True
0.05,function_curve_fit,short,54,1395646,1395646,0,189072710.25,92890563840.0,132275.32861328125,1387846,105515.2490234375,1395646,0.0,10422.25390625,135.47325772437998,257.9872017081073,0.0953098028263087,0.0756031608469751,0.0247534942085222,True
0.05,historical_linear_extrapolation,long,54,4857298,4857298,0,795445925.0,488120837632.0,546968.21875,4829353,421448.5283203125,4848506,0.0,10467.60546875,163.7630478920585,317.00513675710044,0.1132591091912312,0.0869233797628202,0.0302843986338124,True
0.05,historical_linear_extrapolation,mid,54,4656990,4656990,0,762668051.0,467547899904.0,517614.064453125,4630171,404484.3950195313,4648514,0.0,10434.712890625,163.76845365783478,316.85488173257954,0.1117915654633759,0.0870136983602784,0.0303654623805946,True
0.05,historical_linear_extrapolation,short,54,1395646,1395646,0,228976303.75,141096180480.0,152086.58349609375,1387846,121922.837890625,1393353,0.0,10422.25390625,164.06474403251255,317.95817172693194,0.1095846250204228,0.0875031940151741,0.0305076209605927,True
0.05,mean_fill,long,54,4857298,4857298,0,627557452.0,305236214272.0,459585.7348632813,4829353,337882.52392578125,4848114,0.0,10467.60546875,129.1988780593655,250.68055925803557,0.0951650738439044,0.0696936012490179,0.0239482238804679,True
0.05,mean_fill,mid,54,4656990,4656990,0,601765140.0,292420515072.0,495419.6870117188,4630171,324253.81494140625,4648153,0.0,10434.712890625,129.21761481128368,250.58280488968515,0.1069981404599784,0.0697597120708819,0.0240143459160069,True
