missing_rate,method,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,61,12306677,12306677,2076,2141199534.0,1564047671296.0,1565609.013671875,12234220,1118112.994140625,12264864,0.0,10467.60546875,173.9868149623168,356.4959429930088,0.1279696632618896,0.09116391295823786,0.03405706721153105,False
0.05,function_curve_fit,61,12306677,12306677,187774,1705510984.0,866603979776.0,1413724.22265625,12234220,954827.73046875,12305916,0.0,10467.60546875,138.58419978033064,265.36273730638084,0.11555491258586571,0.07759095141464886,0.02535085393680484,False
0.05,historical_linear_extrapolation,61,12306677,12306677,387453,2097124180.0,1370689451008.0,1452506.626953125,12234220,1119029.28125,12283019,0.0,10467.60546875,170.40539700521919,333.73298587197326,0.1187249066105665,0.09110376538943724,0.03188245744151325,False
0.05,mean_fill,61,12306677,12306677,197149,1641681392.0,838441297920.0,1282658.291015625,12234220,886296.361328125,12282171,0.0,10467.60546875,133.39761756971438,261.0152786154227,0.10484185268988337,0.07216121330081832,0.024935528893848546,False
0.05,road_topology_neighbor_fill,61,12306677,12306677,187774,6398326620.0,8922706243584.0,3821716.521484375,12234220,2548936.63671875,12296965,0.0,10467.60546875,519.9069269470548,851.4867542771367,0.31237925437701586,0.20728176722620176,0.08134494147865681,False
0.05,topology_function_hybrid,61,12306677,12306677,187774,3733452468.0,2820263141376.0,2482767.650390625,12234220,1703188.796875,12305962,0.0,10467.60546875,303.3680389921666,478.7121107101058,0.20293632535548853,0.1384035475548356,0.04573272389174902,False
0.1,forward_fill,61,24613354,24613354,4257,4298281312.0,3158745653248.0,3133665.56640625,24469741,2241347.23046875,24531404,0.0,10468.935546875,174.6320843555088,358.2382293502446,0.12806288249664147,0.09136644728808632,0.034219164665425746,False
0.1,function_curve_fit,61,24613354,24613354,380101,3421198352.0,1747393925120.0,2860548.83203125,24469741,1911761.654296875,24611681,0.0,10468.935546875,138.9976494873474,266.44649509311586,0.116901475664628,0.07767700443935037,0.025451154408210174,False
0.1,historical_linear_extrapolation,61,24613354,24613354,786912,4250567264.0,2844730296320.0,3187205.0078125,24469741,2266385.28515625,24567823,0.0,10468.935546875,172.6935412378175,339.96573745542906,0.1302508681155432,0.09225014707881321,0.032473763539112584,False
0.1,mean_fill,61,24613354,24613354,421063,3301462296.0,1700817094656.0,2669645.666015625,24469741,1777891.109375,24563513,0.0,10468.935546875,134.13297090676875,262.87144178019,0.10909987424940971,0.07237935019209182,0.025109662830874693,False
0.1,road_topology_neighbor_fill,61,24613354,24613354,380101,12619248312.0,17222991347712.0,7414203.234375,24469741,5056879.72265625,24597559,0.0,10468.935546875,512.6992571593453,836.5056771006455,0.30299475725448016,0.20558461604487868,0.07990360370021996,False
0.1,topology_function_hybrid,61,24613354,24613354,380101,7382709552.0,5495828865024.0,4865440.4375,24469741,3380194.37890625,24611747,0.0,10468.935546875,299.9473193291739,472.53197498118413,0.19883497898486135,0.13734069259310402,0.04513658268936768,False
0.2,forward_fill,61,49226707,49226707,10560,8015719464.0,5630090342400.0,5895414.7734375,48943919,4221964.91015625,49052847,0.0,10468.935546875,162.83273760318764,338.1872961344597,0.12045244626686923,0.08606972211330058,0.032303885588006065,False
0.2,function_curve_fit,61,49226707,49226707,806443,6948800432.0,3625879277568.0,6764326.6328125,48943919,3847738.81640625,49223140,0.0,10468.935546875,141.15915639045284,271.3977718097882,0.13820566009053137,0.07816930850827984,0.02592410380163254,False
0.2,historical_linear_extrapolation,61,49226707,49226707,1613659,8876775112.0,6415583739904.0,6759617.59375,48943919,4698004.625,49146300,0.0,10468.935546875,180.32437375914662,361.0087236503547,0.13810944713581272,0.09559223430858478,0.03448380420663843,False
0.2,mean_fill,61,49226707,49226707,1019996,6748594968.0,3591685767168.0,5737143.57421875,48943919,3598012.03125,49126124,0.0,10468.935546875,137.09214731751203,270.11504502337107,0.11721872076117873,0.07324029942297096,0.025801576847418933,False
0.2,road_topology_neighbor_fill,61,49226707,49226707,806443,24659420544.0,32344653332480.0,14879923.921875,48943919,9962384.640625,49208384,0.0,10468.935546875,500.93581404906894,810.5892838498859,0.30401987061712404,0.2024529933887892,0.0774280518033993,False
0.2,topology_function_hybrid,61,49226707,49226707,806443,14513815408.0,10549183283200.0,10271170.0859375,48943919,6667356.0546875,49223566,0.0,10468.935546875,294.8362036079318,462.9232852600182,0.20985589825648207,0.13545048838370427,0.04421875396856386,False
0.3,forward_fill,61,73840061,73840061,17524,12322665440.0,8861724123136.0,10338580.2109375,73416404,6475331.3828125,73581755,0.0,10468.935546875,166.88319691393536,346.4280820991317,0.14082111963611701,0.08800186109739432,0.033091051191211245,False
0.3,function_curve_fit,61,73840061,73840061,1209847,10508281472.0,5531379470336.0,9641653.9140625,73416404,5807492.484375,73834558,0.0,10468.935546875,142.31138666042,273.69741986043505,0.13132833248087852,0.07865547843294464,0.026143767781829006,False
0.3,historical_linear_extrapolation,61,73840061,73840061,2421400,13982704336.0,11079566000128.0,11466770.2421875,73416404,7364650.65625,73728655,0.0,10468.935546875,189.36474518892936,387.36051638385175,0.15618812169263288,0.09988858004055547,0.03700094576467994,False
