missing_rate,method,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,54,10909934,10909934,0,1893503808.0,1377428406272.0,1369335.701171875,10847370,982769.806640625,10874124,0.0,10467.60546875,173.55776927706438,355.32311099238177,0.12623665470725853,0.09037691740876093,0.033945023248455795,True
0.05,function_curve_fit,54,10909934,10909934,0,1478596976.0,725221943296.0,1199372.8125,10847370,825377.365234375,10909934,0.0,10467.60546875,135.52758211002927,257.82463194708953,0.11056807433506924,0.07565374503955523,0.02463071738009227,True
0.05,historical_linear_extrapolation,54,10909934,10909934,0,1787090254.0,1096764945408.0,1216668.845703125,10847370,947855.765625,10890373,0.0,10467.60546875,163.80394730160603,317.0631127154894,0.11216256527647946,0.08703611580843007,0.0302899372413347,True
0.05,mean_fill,54,10909934,10909934,0,1409586660.0,685140246528.0,1078873.21484375,10847370,759648.4208984375,10889516,0.0,10467.60546875,129.20212532908081,250.59862176522364,0.09945942793909952,0.06975961290643565,0.02394039615969106,True
0.05,road_topology_neighbor_fill,54,10909934,10909934,0,5710814416.0,7978917355520.0,3371230.06640625,10847370,2262178.234375,10902628,0.0,10467.60546875,523.4508674387947,855.1866678502969,0.3107877823293803,0.20748926170598503,0.0816984047023335,True
0.05,topology_function_hybrid,54,10909934,10909934,0,3310230084.0,2485411659776.0,2164903.67578125,10847370,1500219.337890625,10909934,0.0,10467.60546875,303.4143088308325,477.2963399096611,0.19957866983252623,0.13750947878242206,0.04559747129700122,True
0.1,forward_fill,54,21800657,21800657,0,3797150060.0,2775487246336.0,2795360.95703125,21677877,1966956.3203125,21731215,0.0,10468.935546875,174.17594616529217,356.80820036574426,0.12894994085588962,0.09051294740365415,0.03408256730286703,True
0.1,function_curve_fit,54,21800657,21800657,0,2958764784.0,1451502997504.0,2528944.2421875,21677877,1647430.298828125,21800650,0.0,10468.935546875,135.71906498047284,258.0323617766764,0.1166601435273159,0.07556794402130786,0.024647430545476957,True
0.1,historical_linear_extrapolation,54,21800657,21800657,0,3603176264.0,2235137947648.0,2778214.671875,21677877,1911745.01171875,21764241,0.0,10468.935546875,165.27833376764747,320.1970858069428,0.12815898309022605,0.08783880916034471,0.030585448193204547,True
0.1,mean_fill,54,21800657,21800657,1,2831188056.0,1384293402624.0,2342955.083984375,21677877,1521789.55859375,21759948,0.0,10468.935546875,129.86709785856453,251.9876657623055,0.10808046765762049,0.06993534904558366,0.02407003698074389,True
0.1,road_topology_neighbor_fill,54,21800657,21800657,0,11244418288.0,15352229969920.0,6653002.2109375,21677877,4481619.9921875,21789771,0.0,10468.935546875,515.7834595535355,839.1719188404072,0.3069028489707502,0.20567540577583399,0.08015828496440613,True
0.1,topology_function_hybrid,54,21800657,21800657,0,6533300576.0,4822686007296.0,4348476.3984375,21677877,2971896.21875,21800657,0.0,10468.935546875,299.6836552219504,470.33760407649913,0.20059512278058872,0.1363214062195465,0.04492697485532767,True
0.2,forward_fill,54,43578360,43578360,0,7071173072.0,4929536946176.0,4898051.5703125,43335831,3700068.73828125,43430188,0.0,10468.935546875,162.26340486424914,336.3315601288929,0.11302544470215652,0.08519577990961609,0.03212662439490217,True
0.2,function_curve_fit,54,43578360,43578360,0,5998326104.0,3003010142208.0,4858346.71875,43335831,3310031.15625,43578083,0.0,10468.935546875,137.64460397316466,262.50825094933595,0.11210923170597559,0.07595632777719938,0.025074970590271254,True
0.2,historical_linear_extrapolation,54,43578360,43578360,0,7465303992.0,4854767386624.0,5479471.59375,43335831,3941189.265625,43515593,0.0,10468.935546875,171.30759376901747,333.77113207306485,0.1264420565455408,0.09056958653016632,0.03188205052735244,True
0.2,mean_fill,54,43578360,43578360,859,5783892120.0,2917536239616.0,4552780.36328125,43335831,3076489.63671875,43495299,0.0,10468.935546875,132.7239510619491,258.74543032150154,0.1050581068419168,0.07073154357942797,0.024715543348505724,True
0.2,road_topology_neighbor_fill,54,43578360,43578360,0,21947725280.0,28733784784896.0,12800495.359375,43335831,8823805.59375,43568919,0.0,10468.935546875,503.6381653646443,812.0092493105105,0.2953790215624341,0.2025252357936629,0.07756368789116264,True
0.2,topology_function_hybrid,54,43578360,43578360,0,12825675936.0,9218454388736.0,8339501.0078125,43335831,5855670.8046875,43578324,0.0,10468.935546875,294.3129556963594,459.93198686407766,0.1924389313732671,0.13437117968757817,0.04393302306664486,True
0.3,forward_fill,54,65367474,65367474,0,10866685312.0,7745080909824.0,7685792.5546875,65004211,5673264.296875,65147167,0.0,10468.935546875,166.23994545054626,344.2168516943999,0.11823530255120702,0.08708382203135556,0.03287983292600836,True
0.3,function_curve_fit,54,65367474,65367474,0,9030312592.0,4522121195520.0,7235433.4453125,65004211,4976977.9453125,65367057,0.0,10468.935546875,138.14688008289872,263.020892644458,0.11130714970623211,0.07613893257137919,0.025123938481307232,True
