missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,high_flow,54,3645614,3645614,21950,216803307.0,59913915456.0,55032.939025878906,3645614,55648.2548828125,3645614,2911.8896484375,10467.60546875,59.46962761279718,128.19719106600525,0.015095657144689181,0.015264439647974937,0.01696691539421914,True
0.05,correlation_topology_neighbor_fill,low_flow,54,3631893,3631893,43902,107803234.625,29316576832.0,285470.55029296875,3569329,211029.23559570312,3622344,0.0,1488.593017578125,29.682381784099917,89.84421253434707,0.07997877200251609,0.05825764631843445,0.060355121563393885,True
0.05,correlation_topology_neighbor_fill,mid_flow,54,3632427,3632427,30958,167872862.0,43454945792.0,75553.51818847656,3632427,75615.49230957031,3632427,1488.5931396484375,2911.889404296875,46.21506832759474,109.37577887067107,0.02079973477470478,0.020816796128200324,0.0768468108765026,True
0.1,correlation_topology_neighbor_fill,high_flow,54,7282601,7282601,104306,448349744.5,130647480704.0,114141.55944824219,7282601,115589.83947753906,7282601,2911.8896484375,10468.935546875,61.564507584584135,133.93906459269053,0.015673185919184943,0.015872054431862882,0.01772373310851319,True
0.1,correlation_topology_neighbor_fill,low_flow,54,7256379,7256379,193115,226674312.0,64514551232.0,421280.0029296875,7133599,426504.5537109375,7237485,0.0,1488.593017578125,31.237937268712123,94.29070033200686,0.05905574492338124,0.058929939573061293,0.06334216217500044,True
0.1,correlation_topology_neighbor_fill,mid_flow,54,7261677,7261677,145464,352605902.0,97142339456.0,158706.14819335938,7261677,158849.19384765625,7261677,1488.5931396484375,2911.889404296875,48.55708977416649,115.66069972172212,0.021855302596543384,0.021875001304472265,0.08126256113676444,True
0.2,correlation_topology_neighbor_fill,high_flow,54,14717001,14717001,652301,995726657.0,330480032256.0,254348.60571289062,14717001,258559.6904296875,14717001,2911.8896484375,10468.935546875,67.65825843186394,149.85214107345783,0.01728263833867312,0.017568775760067386,0.019829460226573635,True
0.2,correlation_topology_neighbor_fill,low_flow,54,14528891,14528891,1063842,515369924.5,170966719488.0,975176.8388671875,14286362,883734.62109375,14485178,0.0,1488.593017578125,35.47207591412173,108.47747219908233,0.0682592838447736,0.06100957966092995,0.07287248490226723,True
0.2,correlation_topology_neighbor_fill,mid_flow,54,14332468,14332468,839361,793609988.0,252257291264.0,357139.2080078125,14332468,357350.560546875,14332468,1488.5931396484375,2911.889404296875,55.3714815899118,132.66653110576635,0.02491819329426115,0.024932939710514267,0.09321076321277058,True
0.3,correlation_topology_neighbor_fill,high_flow,54,22083005,22083005,1964448,1656547576.0,619885963264.0,425355.357421875,22083005,434211.79736328125,22083005,2911.8896484375,10468.935546875,75.01459045089199,167.54320375314506,0.019261661056630425,0.01966271335641509,0.02217046263908314,True
0.3,correlation_topology_neighbor_fill,low_flow,54,21781320,21781320,2963288,890915345.0,334936980992.0,1699866.072265625,21418057,1401561.150390625,21706970,0.0,1488.593017578125,40.90272513327934,124.00507317505281,0.07936602616500764,0.06456733253837937,0.08330354348752998,True
0.3,correlation_topology_neighbor_fill,mid_flow,54,21503149,21503149,2437785,1365219078.0,486993907712.0,614476.2763671875,21503149,613705.41015625,21503149,1488.5931396484375,2911.889404296875,63.489262805182626,150.49107066737213,0.02857610652129079,0.028540257529548346,0.10573418507814626,True
