missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,long,54,4857298,4857298,43170,219044313.75,59099891008.0,251907.31762695312,4829353,152251.84448242188,4852930,0.0,10467.60546875,45.09591829655088,110.30519472564477,0.05216171143980428,0.031373179601276314,0.010537767692424978,True
0.05,correlation_topology_neighbor_fill,mid,54,4656990,4656990,41053,210503638.5,56598613440.0,127838.66918945312,4630171,146446.9052734375,4652962,0.0,10434.712890625,45.20165138855784,110.24280206859389,0.027609923950854758,0.03147390958134571,0.010565005786372983,True
0.05,correlation_topology_neighbor_fill,short,54,1395646,1395646,12587,62931450.5625,16986934848.0,36311.06103515625,1387846,43594.23797607422,1394493,0.0,10422.25390625,45.091269965664644,110.32396782487872,0.026163609676546424,0.0312617115869884,0.010585423154843678,True
0.1,correlation_topology_neighbor_fill,long,54,9841857,9841857,199095,463916508.0,131260988160.0,296810.50830078125,9786764,315807.44921875,9833312,0.0,10468.935546875,47.13709089656556,115.48599206063302,0.03032774758855749,0.032116081460524186,0.011031302231591811,True
0.1,correlation_topology_neighbor_fill,mid,54,9220267,9220267,188134,435179629.5,124478179840.0,319503.3645019531,9168559,296529.7880859375,9212411,0.0,10447.3779296875,47.198159174783115,116.19163578507188,0.03484771865480204,0.03218807629033675,0.011121607408773751,True
0.1,correlation_topology_neighbor_fill,short,54,2738533,2738533,55656,128533833.75,36565208320.0,77813.82470703125,2722554,88606.35180664062,2736040,0.0,10434.4677734375,46.93528752437893,115.55135344149022,0.028581186895478013,0.03238488903913708,0.011074005493183227,True
0.2,correlation_topology_neighbor_fill,long,54,12297951,12297951,740599,653814392.0,216564406272.0,441734.56591796875,12229524,422827.8515625,12285358,0.0,10448.474609375,53.164498053374906,132.70190591253015,0.036120340081753695,0.03441721857535613,0.012700600889000775,True
0.2,correlation_topology_neighbor_fill,mid,54,22885609,22885609,1343004,1210547758.0,394972778496.0,853911.6875,22758714,787645.1416015625,22862780,0.0,10468.935546875,52.89558857708353,131.3718590481973,0.03752020819366156,0.03445097847250258,0.012548731287911319,True
0.2,correlation_topology_neighbor_fill,short,54,8394800,8394800,471901,440344466.0,142166848000.0,291018.4162597656,8347593,289171.89599609375,8386509,0.0,10413.841796875,52.4544320293515,130.1349622524184,0.034862554542341204,0.03448060402678799,0.012496345228853917,True
0.3,correlation_topology_neighbor_fill,long,54,22337482,22337482,2587302,1347954182.0,503435905536.0,910418.8427734375,22216213,834896.7041015625,22312660,0.0,10453.1396484375,60.3449476534553,150.12567929681168,0.040979929512443794,0.03741807135955832,0.014361778790475833,True
0.3,correlation_topology_neighbor_fill,mid,54,31876193,31876193,3578046,1906464232.0,701242461184.0,1386559.76953125,31697853,1196073.0859375,31839509,0.0,10468.935546875,59.80840409643648,148.32039685718343,0.04374301847924053,0.037565688777973935,0.014167667399715474,True
0.3,correlation_topology_neighbor_fill,short,54,11153799,11153799,1200173,658263515.0,237138492416.0,442719.11962890625,11090145,418508.501953125,11140955,0.0,10440.09375,59.01697843039847,145.81077568305255,0.03992004790098833,0.03756486781906264,0.013966423978046419,True
