scenario,time_slot_within_day,missing_count,missing_ratio_within_scenario
ntb_r05_mix_s42,0,127222,0.010337640290713731
ntb_r05_mix_s42,1,126978,0.010317813655140213
ntb_r05_mix_s42,2,127325,0.010346009731140257
ntb_r05_mix_s42,3,127512,0.010361204734633077
ntb_r05_mix_s42,4,127762,0.010381518910425616
ntb_r05_mix_s42,5,127797,0.010384362895036572
ntb_r05_mix_s42,6,128063,0.010405977178079834
ntb_r05_mix_s42,7,127772,0.010382331477457318
ntb_r05_mix_s42,8,127895,0.010392326051947247
ntb_r05_mix_s42,9,127786,0.0103834690713017
ntb_r05_mix_s42,10,127951,0.010396876427324777
ntb_r05_mix_s42,11,128217,0.010418490710368038
ntb_r05_mix_s42,12,128221,0.010418815737180719
ntb_r05_mix_s42,13,128319,0.010426778894091394
ntb_r05_mix_s42,14,127980,0.01039923287171671
ntb_r05_mix_s42,15,128146,0.010412721484442958
ntb_r05_mix_s42,16,128239,0.010420278357837782
ntb_r05_mix_s42,17,128223,0.010418978250587059
ntb_r05_mix_s42,18,128219,0.01041865322377438
ntb_r05_mix_s42,19,128210,0.010417921913445847
ntb_r05_mix_s42,20,128014,0.010401995599624497
ntb_r05_mix_s42,21,128133,0.010411665147301746
ntb_r05_mix_s42,22,128423,0.01043522959122109
ntb_r05_mix_s42,23,128513,0.010442542694506405
ntb_r05_mix_s42,24,128634,0.010452374755589994
ntb_r05_mix_s42,25,128826,0.010467976042598665
ntb_r05_mix_s42,26,128885,0.010472770188085703
ntb_r05_mix_s42,27,128877,0.010472120134460342
ntb_r05_mix_s42,28,129024,0.010484064869826355
ntb_r05_mix_s42,29,128587,0.010448555690540996
ntb_r05_mix_s42,30,128117,0.010410365040051023
ntb_r05_mix_s42,31,128416,0.0104346607942989
ntb_r05_mix_s42,32,128436,0.010436285928362304
ntb_r05_mix_s42,33,128435,0.010436204671659132
ntb_r05_mix_s42,34,128348,0.010429135338483329
ntb_r05_mix_s42,35,128235,0.0104199533310251
ntb_r05_mix_s42,36,128064,0.010406058434783004
ntb_r05_mix_s42,37,128324,0.010427185177607245
ntb_r05_mix_s42,38,128650,0.010453674862840717
ntb_r05_mix_s42,39,128646,0.010453349836028036
ntb_r05_mix_s42,40,128490,0.01044067379033349
