scenario,节点ID,missing_count
ntb_r05_mix_s42,1520443330,368
ntb_r05_mix_s42,1520314318,364
ntb_r05_mix_s42,1520420156,361
ntb_r05_mix_s42,1520460174,361
ntb_r05_mix_s42,1526675432,361
ntb_r05_mix_s42,1520480209,359
ntb_r05_mix_s42,1520488431,359
ntb_r05_mix_s42,1520460897,355
ntb_r05_mix_s42,1520461972,355
ntb_r05_mix_s42,1520498325,354
ntb_r05_mix_s42,1549752842,354
ntb_r05_mix_s42,1520338356,353
ntb_r05_mix_s42,1520431844,353
ntb_r05_mix_s42,1555268558,353
ntb_r05_mix_s42,1520418131,352
ntb_r05_mix_s42,1520286918,351
ntb_r05_mix_s42,1553472094,351
ntb_r05_mix_s42,1520408793,350
ntb_r05_mix_s42,1520440816,350
ntb_r05_mix_s42,1520458106,350
ntb_r10_mix_s42,1520465622,699
ntb_r10_mix_s42,1549752873,679
ntb_r10_mix_s42,1520461350,677
ntb_r10_mix_s42,1530637497,677
ntb_r10_mix_s42,1549742558,677
ntb_r10_mix_s42,1520290604,676
ntb_r10_mix_s42,1520426081,676
ntb_r10_mix_s42,1532872325,676
ntb_r10_mix_s42,1520287735,675
ntb_r10_mix_s42,1520492202,675
ntb_r10_mix_s42,1520493485,675
ntb_r10_mix_s42,1556104957,675
ntb_r10_mix_s42,1520442182,674
ntb_r10_mix_s42,1520402883,673
ntb_r10_mix_s42,1520489892,673
ntb_r10_mix_s42,1520494921,673
ntb_r10_mix_s42,1520458335,672
ntb_r10_mix_s42,1520412941,670
ntb_r10_mix_s42,1520499668,670
ntb_r10_mix_s42,1530937519,670
ntb_r20_mix_s42,1520408926,1326
ntb_r20_mix_s42,1530767220,1317
ntb_r20_mix_s42,1520484172,1311
ntb_r20_mix_s42,1553398929,1310
ntb_r20_mix_s42,1520338345,1300
ntb_r20_mix_s42,1554146490,1300
ntb_r20_mix_s42,1520299082,1298
ntb_r20_mix_s42,1520463953,1298
ntb_r20_mix_s42,1520460188,1296
ntb_r20_mix_s42,1549333496,1296
ntb_r20_mix_s42,1553753012,1296
ntb_r20_mix_s42,1534879831,1295
ntb_r20_mix_s42,1549524000,1294
ntb_r20_mix_s42,1520466612,1293
ntb_r20_mix_s42,1549341681,1293
ntb_r20_mix_s42,1520497769,1291
ntb_r20_mix_s42,1531454903,1291
ntb_r20_mix_s42,1520419092,1290
ntb_r20_mix_s42,1520466837,1290
ntb_r20_mix_s42,1520471566,1289
ntb_r30_mix_s42,1549277365,1922
ntb_r30_mix_s42,1520437410,1921
ntb_r30_mix_s42,1520486981,1914
ntb_r30_mix_s42,1553942046,1913
ntb_r30_mix_s42,1531207745,1912
ntb_r30_mix_s42,1549277213,1912
ntb_r30_mix_s42,1553480354,1912
ntb_r30_mix_s42,1554155233,1909
ntb_r30_mix_s42,1520430253,1908
ntb_r30_mix_s42,1530809448,1907
ntb_r30_mix_s42,1520319362,1906
ntb_r30_mix_s42,1556077193,1903
ntb_r30_mix_s42,1520481200,1902
ntb_r30_mix_s42,1520481321,1902
ntb_r30_mix_s42,1554158370,1902
ntb_r30_mix_s42,1532158349,1900
ntb_r30_mix_s42,1520482219,1899
ntb_r30_mix_s42,1554152603,1899
ntb_r30_mix_s42,1520458123,1898
ntb_r30_mix_s42,1520484808,1898
