missing_rate,metric,rank,method,value
0.05,RMSE,1,correlation_topology_neighbor_fill,102.97069986824437
0.05,RMSE,2,mean_fill,246.88570981545203
0.05,RMSE,3,function_curve_fit,258.8848411701872
0.05,RMSE,4,historical_linear_extrapolation,274.79578983336705
0.05,RMSE,5,forward_fill,349.7997010818975
0.05,RMSE,6,road_topology_neighbor_fill,850.4278756607181
0.05,MAE,1,correlation_topology_neighbor_fill,41.99846190196803
0.05,MAE,2,mean_fill,127.06820577092496
0.05,MAE,3,function_curve_fit,135.44206112042392
0.05,MAE,4,historical_linear_extrapolation,141.79857584387324
0.05,MAE,5,forward_fill,169.4699780394174
0.05,MAE,6,road_topology_neighbor_fill,478.2629477522096
0.05,SMAPE,1,correlation_topology_neighbor_fill,0.0300924736249456
0.05,SMAPE,2,mean_fill,0.0690297074772332
0.05,SMAPE,3,function_curve_fit,0.0750884157724811
0.05,SMAPE,4,historical_linear_extrapolation,0.0763640061993301
0.05,SMAPE,5,forward_fill,0.0885665706653728
0.05,SMAPE,6,road_topology_neighbor_fill,0.177662699132481
0.05,NRMSE,1,correlation_topology_neighbor_fill,0.0099113370111382
0.05,NRMSE,2,mean_fill,0.0237637257622413
0.05,NRMSE,3,function_curve_fit,0.0249186896000114
0.05,NRMSE,4,historical_linear_extrapolation,0.0264501813211464
0.05,NRMSE,5,forward_fill,0.0336696043462291
0.05,NRMSE,6,road_topology_neighbor_fill,0.0818570456462358
0.1,RMSE,1,correlation_topology_neighbor_fill,101.78870487084652
0.1,RMSE,2,mean_fill,246.93386977205137
0.1,RMSE,3,function_curve_fit,258.71992443800747
0.1,RMSE,4,historical_linear_extrapolation,274.87243477441586
0.1,RMSE,5,forward_fill,347.1981276280772
0.1,RMSE,6,road_topology_neighbor_fill,861.2948393136512
0.1,MAE,1,correlation_topology_neighbor_fill,41.24168137743374
0.1,MAE,2,mean_fill,127.0169764984467
0.1,MAE,3,function_curve_fit,135.30700553842007
0.1,MAE,4,historical_linear_extrapolation,141.70748433743103
0.1,MAE,5,forward_fill,168.0071979585955
0.1,MAE,6,road_topology_neighbor_fill,481.3927774478285
0.1,SMAPE,1,correlation_topology_neighbor_fill,0.0302745553726854
0.1,SMAPE,2,mean_fill,0.0694034316470317
0.1,SMAPE,3,function_curve_fit,0.0753775076562651
0.1,SMAPE,4,historical_linear_extrapolation,0.0767426328710922
0.1,SMAPE,5,forward_fill,0.0882915374521184
0.1,SMAPE,6,road_topology_neighbor_fill,0.1787275703407427
0.1,NRMSE,1,correlation_topology_neighbor_fill,0.0097548160584559
0.1,NRMSE,2,mean_fill,0.0236646539641648
0.1,NRMSE,3,function_curve_fit,0.0247941584162275
0.1,NRMSE,4,historical_linear_extrapolation,0.0263421176658701
0.1,NRMSE,5,forward_fill,0.0332733762076017
0.1,NRMSE,6,road_topology_neighbor_fill,0.0825413069187055
0.2,RMSE,1,correlation_topology_neighbor_fill,99.69254814026172
0.2,RMSE,2,mean_fill,246.1499133257269
0.2,RMSE,3,function_curve_fit,257.6178052286223
0.2,RMSE,4,historical_linear_extrapolation,274.19016954118626
0.2,RMSE,5,forward_fill,341.28026620181754
0.2,RMSE,6,road_topology_neighbor_fill,883.0813547618262
0.2,MAE,1,correlation_topology_neighbor_fill,39.980627278726224
0.2,MAE,2,mean_fill,126.74015280553084
0.2,MAE,3,function_curve_fit,134.89347364533023
0.2,MAE,4,historical_linear_extrapolation,141.4084052358656
0.2,MAE,5,forward_fill,164.7412879721946
0.2,MAE,6,road_topology_neighbor_fill,489.4620737347979
0.2,SMAPE,1,correlation_topology_neighbor_fill,0.0306910160301944
0.2,SMAPE,2,mean_fill,0.0698183198975638
0.2,SMAPE,3,function_curve_fit,0.0757764978386367
0.2,SMAPE,4,historical_linear_extrapolation,0.0771881591371762
0.2,SMAPE,5,forward_fill,0.0873141520810383
0.2,SMAPE,6,road_topology_neighbor_fill,0.1811502925586555
0.2,NRMSE,1,correlation_topology_neighbor_fill,0.0095193946254723
0.2,NRMSE,2,mean_fill,0.0235042458607505
0.2,NRMSE,3,function_curve_fit,0.0245992864689244
0.2,NRMSE,4,historical_linear_extrapolation,0.0261817405109901
0.2,NRMSE,5,forward_fill,0.0325880077545065
0.2,NRMSE,6,road_topology_neighbor_fill,0.0843232524315385
0.3,RMSE,1,correlation_topology_neighbor_fill,98.19548394876227
0.3,RMSE,2,mean_fill,245.8771661052815
0.3,RMSE,3,function_curve_fit,257.15549625278834
0.3,RMSE,4,historical_linear_extrapolation,273.78285294321023
0.3,RMSE,5,forward_fill,333.82102716136177
0.3,RMSE,6,road_topology_neighbor_fill,910.3481225970344
0.3,MAE,1,correlation_topology_neighbor_fill,39.00545918615106
0.3,MAE,2,mean_fill,126.70466518334815
0.3,MAE,3,function_curve_fit,134.76684963675137
0.3,MAE,4,historical_linear_extrapolation,141.31514733203082
0.3,MAE,5,forward_fill,160.8168279524128
