missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,neighbor_coverage_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,correlation_topology_neighbor_fill,0,0,flow_group,high_flow,overall,overall,True,68884,68884,0,165676.0,68884.0,0.0,244.4470672607422,557.5198364257812,0.06604553759098053,0.08085498213768005,0.08400978413992823,16838492.0,21411098624.0,4549.48095703125,68884,5569.61474609375,68884,2896.589111328125,9532.95703125,244.4470672607422,557.5198364257812,0.06604553759098053,0.08085498213768005,0.08400978413992823
0.05,correlation_topology_neighbor_fill,0,0,flow_group,low_flow,overall,overall,True,68520,68520,0,123948.0,68520.0,0.0,145.03231811523438,326.2435607910156,0.22970086336135864,0.14970508217811584,0.21935326590961005,9937614.0,7292917248.0,15424.642578125,67151,10131.1416015625,67674,0.0,1487.2974853515625,145.03231811523438,326.2435607910156,0.22970086336135864,0.14970508217811584,0.21935326590961005
0.05,correlation_topology_neighbor_fill,0,0,flow_group,mid_flow,overall,overall,True,64286,64286,0,129389.0,64286.0,0.0,245.44212341308594,477.802001953125,0.11093903332948685,0.12582020461559296,0.339041902163321,15778492.0,14676156416.0,7131.82666015625,64286,8088.4775390625,64286,1487.30224609375,2896.573486328125,245.44212341308594,477.802001953125,0.11093903332948685,0.12582020461559296,0.339041902163321
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,long,overall,True,81193,81193,0,166535.0,81193.0,0.0,242.7014923095703,517.5110473632812,0.1578322798013687,0.13574375212192535,0.05680337679819389,19705662.0,21744918528.0,12715.4423828125,80563,10969.181640625,80808,0.0,9110.568359375,242.7014923095703,517.5110473632812,0.1578322798013687,0.13574375212192535,0.05680337679819389
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,mid,overall,True,90967,90967,0,190438.0,90967.0,0.0,203.25514221191406,445.3683776855469,0.13027681410312653,0.11265920847654343,0.046718806790546116,18489510.0,18043576320.0,11780.671875,90428,10211.994140625,90645,0.0,9532.95703125,203.25514221191406,445.3683776855469,0.13027681410312653,0.11265920847654343,0.046718806790546116
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,short,overall,True,29530,29530,0,62040.0,29530.0,0.0,147.6269989013672,348.7522888183594,0.08898185938596725,0.08873657137155533,0.038822583279612737,4359425.5,3591679488.0,2609.837890625,29330,2608.056640625,29391,0.0,8983.232421875,147.6269989013672,348.7522888183594,0.08898185938596725,0.08873657137155533,0.038822583279612737
0.05,correlation_topology_neighbor_fill,0,0,overall,overall,overall,overall,True,201690,201690,0,419013.0,201690.0,0.0,210.99009704589844,463.7708740234375,0.13531258702278137,0.11844633519649506,0.04864921477178063,42554592.0,43380178944.0,27105.953125,200321,23789.236328125,200844,0.0,9532.95703125,210.99009704589844,463.7708740234375,0.13531258702278137,0.11844633519649506,0.04864921477178063
0.05,correlation_topology_neighbor_fill,1,1,flow_group,high_flow,overall,overall,True,66678,61961,0,148950.0,61961.0,0.0,57.698028564453125,129.43954467773438,0.015101466327905655,0.01540775503963232,0.017406931485487026,3575027.5,1038131584.0,935.7019653320312,61961,954.679931640625,61961,2896.591552734375,10332.68359375,57.698028564453125,129.43954467773438,0.015101466327905655,0.01540775503963232,0.017406931485487026
0.05,correlation_topology_neighbor_fill,1,1,flow_group,low_flow,overall,overall,True,67051,64176,0,116823.0,64176.0,0.0,31.536571502685547,92.9697036743164,2.005164623260498,0.06555960327386856,0.06250900773795469,2023891.0,554696640.0,126042.6484375,62859,4191.75,63938,0.0,1487.3009033203125,31.536571502685547,92.9697036743164,2.005164623260498,0.06555960327386856,0.06250900773795469
0.05,correlation_topology_neighbor_fill,1,1,flow_group,mid_flow,overall,overall,True,68192,64464,0,129506.0,64464.0,0.0,45.794761657714844,109.20770263671875,0.020745137706398964,0.02075728215277195,0.07749205485764574,2952113.5,768818432.0,1337.3145751953125,64464,1338.097412109375,64464,1487.3037109375,2896.579833984375,45.794761657714844,109.20770263671875,0.020745137706398964,0.02075728215277195,0.07749205485764574
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,long,overall,True,80454,75702,0,154982.0,75702.0,0.0,44.67851638793945,109.81680297851562,1.668383002281189,0.03447043523192406,0.010628100820288474,3382253.0,912945728.0,125419.0234375,75174,2605.96484375,75600,0.0,10332.68359375,44.67851638793945,109.81680297851562,1.668383002281189,0.03447043523192406,0.010628100820288474
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,mid,overall,True,92061,87021,0,181274.0,87021.0,0.0,44.77922439575195,112.50991821289062,0.02538224495947361,0.03396695479750633,0.012613686290898079,3896733.0,1101553792.0,2193.20361328125,86407,2952.305908203125,86917,0.0,8919.669921875,44.77922439575195,112.50991821289062,0.02538224495947361,0.03396695479750633,0.012613686290898079
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,short,overall,True,29406,27878,0,59023.0,27878.0,0.0,45.629032135009766,111.59015655517578,0.025391818955540657,0.033263545483350754,0.011048113740344723,1272046.125,347146944.0,703.4295654296875,27703,926.2566528320312,27846,0.0,10100.380859375,45.629032135009766,111.59015655517578,0.025391818955540657,0.033263545483350754,0.011048113740344723
0.05,correlation_topology_neighbor_fill,1,1,overall,overall,overall,overall,True,201921,190601,0,395279.0,190601.0,0.0,44.86351776123047,111.31273651123047,0.6779003739356995,0.03406400978565216,0.010772877684802132,8551031.0,2361646592.0,128315.6953125,189284,6484.52734375,190363,0.0,10332.68359375,44.86351776123047,111.31273651123047,0.6779003739356995,0.03406400978565216,0.010772877684802132
0.05,correlation_topology_neighbor_fill,2,2,flow_group,high_flow,overall,overall,True,65221,60712,0,146425.0,60712.0,0.0,55.01771926879883,119.25444793701172,0.014340982772409916,0.014538049697875977,0.01619205854545016,3340235.75,863423232.0,870.6697387695312,60712,882.6340942382812,60712,2896.583984375,10261.580078125,55.01771926879883,119.25444793701172,0.014340982772409916,0.014538049697875977,0.01619205854545016
0.05,correlation_topology_neighbor_fill,2,2,flow_group,low_flow,overall,overall,True,66623,63806,0,116777.0,63806.0,0.0,30.586149215698242,89.66132354736328,0.042587488889694214,0.06436615437269211,0.060284554278504814,1951579.875,512946176.0,2662.910400390625,62528,4092.20703125,63577,0.0,1487.3017578125,30.586149215698242,89.66132354736328,0.042587488889694214,0.06436615437269211,0.060284554278504814
0.05,correlation_topology_neighbor_fill,2,2,flow_group,mid_flow,overall,overall,True,70183,66197,0,133189.0,66197.0,0.0,43.686744689941406,107.17005920410156,0.019904809072613716,0.020061960443854332,0.07604668916816634,2891931.5,760300416.0,1317.638671875,66197,1328.0416259765625,66197,1487.3056640625,2896.572265625,43.686744689941406,107.17005920410156,0.019904809072613716,0.020061960443854332,0.07604668916816634
0.05,correlation_topology_neighbor_fill,2,2,length_group,overall,long,overall,True,79127,74585,0,152256.0,74585.0,0.0,41.686485290527344,102.81590270996094,0.02532600425183773,0.0337129607796669,0.011433272520971618,3109186.5,788446272.0,1876.631591796875,74099,2512.6943359375,74532,0.0,8992.6923828125,41.686485290527344,102.81590270996094,0.02532600425183773,0.0337129607796669,0.011433272520971618
0.05,correlation_topology_neighbor_fill,2,2,length_group,overall,mid,overall,True,93369,88263,0,185310.0,88263.0,0.0,43.797019958496094,107.48464965820312,0.025571998208761215,0.03144210949540138,0.010931982417932124,3865656.5,1019697920.0,2242.638671875,87699,2770.58447265625,88117,0.0,9832.1279296875,43.797019958496094,107.48464965820312,0.025571998208761215,0.03144210949540138,0.010931982417932124
0.05,correlation_topology_neighbor_fill,2,2,length_group,overall,short,overall,True,29531,27867,0,58825.0,27867.0,0.0,43.38119888305664,108.57743072509766,0.026482461020350456,0.03662765026092529,0.010580966079147625,1208903.875,328525696.0,731.94873046875,27639,1019.6038818359375,27837,0.0,10261.580078125,43.38119888305664,108.57743072509766,0.026482461020350456,0.03662765026092529,0.010580966079147625
0.05,correlation_topology_neighbor_fill,2,2,overall,overall,overall,overall,True,202027,190715,0,396391.0,190715.0,0.0,42.9108772277832,105.84645080566406,0.025608617812395096,0.033088430762290955,0.01031482968507949,8183748.0,2136669824.0,4851.2197265625,189437,6302.8828125,190486,0.0,10261.580078125,42.9108772277832,105.84645080566406,0.025608617812395096,0.033088430762290955,0.01031482968507949
0.05,correlation_topology_neighbor_fill,3,3,flow_group,high_flow,overall,overall,True,65475,60976,0,148108.0,60976.0,0.0,50.517173767089844,109.82057189941406,0.013111824169754982,0.013270873576402664,0.016275719441334675,3080335.25,735404608.0,799.506591796875,60976,809.2047729492188,60976,2896.594970703125,9644.1044921875,50.517173767089844,109.82057189941406,0.013111824169754982,0.013270873576402664,0.016275719441334675
0.05,correlation_topology_neighbor_fill,3,3,flow_group,low_flow,overall,overall,True,66722,63777,0,116150.0,63777.0,0.0,30.717687606811523,94.79059600830078,0.0524660162627697,0.07196947187185287,0.0637333061363917,1959082.0,573052800.0,3262.126953125,62176,4567.90234375,63470,0.0,1487.30078125,30.717687606811523,94.79059600830078,0.0524660162627697,0.07196947187185287,0.0637333061363917
