missing_rate,method,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,correlation_topology_neighbor_fill,10893609,10292907,0,21387869.0,10292907.0,0.0,432286262.5,109135332992.0,271601.09619140625,10235283,309504.732421875,10285121,0.0,10389.18359375,41.99846190196803,102.97069986824437,0.02653576810640275,0.030092473624945687,0.009911337011138222,2.0779230784850187,1.0,0.0,41.99846190196803,102.97069986824437,0.02653576810640275,0.030092473624945687,0.009911337011138222
0.05,forward_fill,10893609,10893609,0,22566627.0,10893609.0,0.0,1846139678.0,1332940154880.0,1229627.517578125,10833252,961649.8017578125,10857932,0.0,10389.18359375,169.4699780394174,349.7997010818975,0.11350493070576823,0.0885665706653728,0.03366960434622914,2.071547363229211,1.0,0.0,169.4699780394174,349.7997010818975,0.11350493070576823,0.0885665706653728,0.03366960434622914
0.05,function_curve_fit,10893609,10893609,0,22566627.0,10893609.0,0.0,1475452856.0,730104501248.0,1218317.6943359375,10833252,817981.138671875,10893573,0.0,10389.18359375,135.44206112042392,258.8848411701872,0.11246093918390687,0.07508841577248117,0.024918689600011402,2.071547363229211,1.0,0.0,135.44206112042392,258.8848411701872,0.11246093918390687,0.07508841577248117,0.024918689600011402
0.05,historical_linear_extrapolation,10893609,10893609,0,22566627.0,10893609.0,0.0,1544698242.0,822606112768.0,1198094.908203125,10833252,830745.390625,10878756,0.0,10389.18359375,141.79857584387324,274.79578983336705,0.11059420644909995,0.07636400619933015,0.026450181321146418,2.071547363229211,1.0,0.0,141.79857584387324,274.79578983336705,0.11059420644909995,0.07636400619933015,0.026450181321146418
0.05,mean_fill,10893609,10893609,0,22566627.0,10893609.0,0.0,1384231350.0,663993287680.0,1069630.046875,10833252,750959.69140625,10878790,0.0,10389.18359375,127.06820577092495,246.88570981545203,0.09873582252817528,0.06902970747723322,0.02376372576224135,2.071547363229211,1.0,0.0,127.06820577092495,246.88570981545203,0.09873582252817528,0.06902970747723322,0.02376372576224135
0.05,road_topology_neighbor_fill,10893609,10893609,0,22566627.0,10893609.0,0.0,5210009552.0,7878558384128.0,2549089.03125,10833252,1929815.0546875,10862241,0.0,10389.18359375,478.2629477522096,850.4278756607181,0.23530229253875012,0.17766269913248103,0.08185704564623582,2.071547363229211,1.0,0.0,478.2629477522096,850.4278756607181,0.23530229253875012,0.17766269913248103,0.08185704564623582
0.1,correlation_topology_neighbor_fill,21786177,19409253,0,39014434.0,19409253.0,0.0,800470228.0,201098114304.0,524505.8369140625,19297528,587135.64453125,19393700,0.0,10434.712890625,41.24168137743374,101.78870487084652,0.02717994952068796,0.03027455537268546,0.009754816058455995,2.0100945667512296,1.0,0.0,41.24168137743374,101.78870487084652,0.02717994952068796,0.03027455537268546,0.009754816058455995
0.1,forward_fill,21786177,21786177,0,43559269.0,21786177.0,0.0,3660234552.0,2626248253440.0,2529718.6484375,21664604,1917138.1640625,21713725,0.0,10434.712890625,168.0071979585955,347.1981276280772,0.11676736156532101,0.08829153745211842,0.033273376207601756,1.999399389805747,1.0,0.0,168.0071979585955,347.1981276280772,0.11676736156532101,0.08829153745211842,0.033273376207601756
0.1,function_curve_fit,21786177,21786177,0,43559269.0,21786177.0,0.0,2947822372.0,1458279528448.0,2317064.94921875,21664604,1642186.517578125,21786161,0.0,10434.712890625,135.30700553842007,258.71992443800747,0.10695164099093388,0.07537750765626514,0.024794158416227504,1.999399389805747,1.0,0.0,135.30700553842007,258.71992443800747,0.10695164099093388,0.07537750765626514,0.024794158416227504
0.1,historical_linear_extrapolation,21786177,21786177,0,43559269.0,21786177.0,0.0,3087264336.0,1646051452928.0,2305816.916015625,21664604,1669706.73046875,21757225,0.0,10434.712890625,141.70748433743103,274.87243477441586,0.10643245157011062,0.07674263287109225,0.026342117665870156,1.999399389805747,1.0,0.0,141.70748433743103,274.87243477441586,0.10643245157011062,0.07674263287109225,0.026342117665870156
