missing_rate_target,chunk_index,day_index,file_name,eligible_non_null_count,allocated_missing_count,global_eligible_count,global_missing_count,remaining_eligible_before_chunk,remaining_missing_before_chunk,mask_scope,allocation_method,allocation_shortfall_policy,mechanism
0.05,0,0,node_flow_chunk_000.parquet,4034976,201690,246133536,12306677,246133536,12306677,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,1,1,node_flow_chunk_001.parquet,4034976,201921,246133536,12306677,242098560,12104987,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,2,2,node_flow_chunk_002.parquet,4034976,202027,246133536,12306677,238063584,11903066,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,3,3,node_flow_chunk_003.parquet,4034976,201453,246133536,12306677,234028608,11701039,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,4,4,node_flow_chunk_004.parquet,4034976,202605,246133536,12306677,229993632,11499586,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,5,5,node_flow_chunk_005.parquet,4034976,202105,246133536,12306677,225958656,11296981,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,6,6,node_flow_chunk_006.parquet,4034976,201267,246133536,12306677,221923680,11094876,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,7,7,node_flow_chunk_007.parquet,4034976,201148,246133536,12306677,217888704,10893609,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,8,8,node_flow_chunk_008.parquet,4034976,201863,246133536,12306677,213853728,10692461,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,9,9,node_flow_chunk_009.parquet,4034976,201599,246133536,12306677,209818752,10490598,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
