node_id,node_index,first_hop_neighbor_count,second_hop_neighbor_count,preferred_neighbor_scope,preferred_available_neighbor_count,required_anchor_count,eligible
1520263927,0,1,1,1,1,1,True
1520263943,1,1,1,1,1,1,True
1520264111,2,1,1,1,1,1,True
1520264147,3,1,1,1,1,1,True
1520264551,4,1,2,1,1,1,True
1520264567,5,1,1,1,1,1,True
1520264591,6,1,1,1,1,1,True
1520264599,7,1,1,1,1,1,True
1520264620,8,1,4,1,1,1,True
1520264624,9,1,1,1,1,1,True
1520264629,10,1,1,1,1,1,True
1520264641,11,1,1,1,1,1,True
1520264643,12,1,1,1,1,1,True
1520264680,13,1,1,1,1,1,True
1520264702,14,1,0,1,1,1,True
1520264720,15,1,2,1,1,1,True
1520265324,16,1,3,1,1,1,True
1520265336,17,1,1,1,1,1,True
1520265359,18,1,1,1,1,1,True
1520265361,19,1,1,1,1,1,True
1520265368,20,1,2,1,1,1,True
1520265381,21,1,1,1,1,1,True
1520265390,22,1,2,1,1,1,True
1520265412,23,1,2,1,1,1,True
1520265424,24,1,1,1,1,1,True
1520265427,25,1,2,1,1,1,True
1520265428,26,1,2,1,1,1,True
1520265432,27,1,2,1,1,1,True
1520265445,28,1,1,1,1,1,True
1520265446,29,1,3,1,1,1,True
1520265451,30,1,1,1,1,1,True
1520265457,31,1,0,1,1,1,True
1520265469,32,1,1,1,1,1,True
1520265471,33,1,2,1,1,1,True
1520265478,34,1,0,1,1,1,True
1520265480,35,1,1,1,1,1,True
1520265491,36,1,1,1,1,1,True
1520265494,37,1,2,1,1,1,True
1520265502,38,1,1,1,1,1,True
1520265504,39,1,1,1,1,1,True
1520265517,40,1,1,1,1,1,True
1520265526,41,1,1,1,1,1,True
1520265528,42,1,1,1,1,1,True
1520265532,43,1,1,1,1,1,True
1520265537,44,1,1,1,1,1,True
1520265552,45,1,2,1,1,1,True
1520266226,46,1,1,1,1,1,True
1520266261,47,1,1,1,1,1,True
1520266271,48,1,1,1,1,1,True
1520266294,49,1,1,1,1,1,True
1520266303,50,1,1,1,1,1,True
1520266311,51,1,1,1,1,1,True
1520266322,52,1,1,1,1,1,True
1520266334,53,1,0,1,1,1,True
1520266339,54,1,3,1,1,1,True
1520266344,55,1,1,1,1,1,True
1520266345,56,1,0,1,1,1,True
1520266352,57,1,1,1,1,1,True
1520266362,58,1,1,1,1,1,True
1520266370,59,1,2,1,1,1,True
1520266384,60,1,1,1,1,1,True
1520266392,61,1,1,1,1,1,True
1520266419,62,1,4,1,1,1,True
1520266421,63,1,4,1,1,1,True
1520266422,64,1,3,1,1,1,True
1520266425,65,1,1,1,1,1,True
1520266431,66,1,1,1,1,1,True
1520266433,67,1,1,1,1,1,True
1520266458,68,1,3,1,1,1,True
1520266472,69,1,1,1,1,1,True
1520266493,70,1,3,1,1,1,True
1520267116,71,1,1,1,1,1,True
1520267136,72,1,1,1,1,1,True
1520267145,73,1,1,1,1,1,True
1520267174,74,1,1,1,1,1,True
1520267187,75,1,1,1,1,1,True
1520267190,76,1,1,1,1,1,True
1520267193,77,1,3,1,1,1,True
1520267213,78,1,2,1,1,1,True
1520267235,79,1,1,1,1,1,True
1520267249,80,1,1,1,1,1,True
1520267251,81,1,2,1,1,1,True
1520267254,82,1,1,1,1,1,True
1520267259,83,1,1,1,1,1,True
1520267262,84,1,1,1,1,1,True
1520267290,85,1,1,1,1,1,True
1520267299,86,1,1,1,1,1,True
1520267307,87,1,3,1,1,1,True
1520267320,88,1,1,1,1,1,True
1520268161,89,1,2,1,1,1,True
1520268163,90,1,1,1,1,1,True
1520268186,91,1,2,1,1,1,True
1520269384,92,1,1,1,1,1,True
1520269434,93,1,1,1,1,1,True
1520269486,94,1,1,1,1,1,True
1520269637,95,1,1,1,1,1,True
1520269671,96,1,1,1,1,1,True
1520269684,97,1,1,1,1,1,True
1520269698,98,1,1,1,1,1,True
1520269738,99,1,0,1,1,1,True
1520270740,100,1,1,1,1,1,True
1520270750,101,1,1,1,1,1,True
1520271133,102,1,1,1,1,1,True
1520271140,103,1,1,1,1,1,True
1520271142,104,1,1,1,1,1,True
1520271148,105,1,1,1,1,1,True
1520271150,106,1,1,1,1,1,True
1520271168,107,1,3,1,1,1,True
1520271191,108,1,3,1,1,1,True
1520271192,109,1,2,1,1,1,True
1520271196,110,1,1,1,1,1,True
1520271205,111,1,2,1,1,1,True
1520271209,112,1,2,1,1,1,True
1520271212,113,1,1,1,1,1,True
1520271217,114,1,1,1,1,1,True
1520271218,115,1,1,1,1,1,True
1520271223,116,1,1,1,1,1,True
1520271224,117,1,1,1,1,1,True
1520271250,118,1,3,1,1,1,True
1520271269,119,1,1,1,1,1,True
1520271272,120,1,1,1,1,1,True
1520271273,121,1,1,1,1,1,True
1520271274,122,1,3,1,1,1,True
1520271275,123,1,1,1,1,1,True
1520271278,124,1,1,1,1,1,True
1520271284,125,1,2,1,1,1,True
1520271286,126,1,1,1,1,1,True
1520271303,127,1,0,1,1,1,True
1520271304,128,1,2,1,1,1,True
1520271311,129,1,1,1,1,1,True
1520271318,130,1,0,1,1,1,True
1520271319,131,1,1,1,1,1,True
1520271320,132,1,1,1,1,1,True
1520271321,133,1,1,1,1,1,True
1520271324,134,1,1,1,1,1,True
1520271329,135,1,1,1,1,1,True
1520271338,136,1,1,1,1,1,True
1520271343,137,1,1,1,1,1,True
1520271344,138,1,1,1,1,1,True
1520271346,139,1,3,1,1,1,True
1520271347,140,1,1,1,1,1,True
