scenario_id,scenario_dir,container_dir,dataset_dir_name,rate_tag,missing_rate,method,method_kind,imputed_dataset_dir,parquet_file_count,total_size_bytes,total_size_gb
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r05_mcar_s42_m_fcf,r05_mcar_s42,0.05,function_curve_fit,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_fcf,61,3530296717,3.287845
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r05_mcar_s42_m_ff,r05_mcar_s42,0.05,forward_fill,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff,61,3517622794,3.276042
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r05_mcar_s42_m_hle,r05_mcar_s42,0.05,historical_linear_extrapolation,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_hle,61,3529851207,3.28743
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r05_mcar_s42_m_mf,r05_mcar_s42,0.05,mean_fill,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_mf,61,3529973830,3.287544
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r05_mcar_s42_m_rtn,r05_mcar_s42,0.05,road_topology_neighbor_fill,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_rtn,61,3530270081,3.28782
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r05_mcar_s42_m_tfh,r05_mcar_s42,0.05,topology_function_hybrid,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_tfh,61,3530257015,3.287808
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r10_mcar_s42_m_fcf,r10_mcar_s42,0.1,function_curve_fit,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_fcf,61,3535864306,3.29303
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r10_mcar_s42_m_ff,r10_mcar_s42,0.1,forward_fill,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_ff,61,3500466954,3.260064
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r10_mcar_s42_m_hle,r10_mcar_s42,0.1,historical_linear_extrapolation,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_hle,61,3534760097,3.292002
g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,r10_mcar_s42_m_mf,r10_mcar_s42,0.1,mean_fill,formal,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_mf,61,3535245652,3.292454
