variant,variant_label,client_id,entity_kind,region_ids,region_count,train_samples,val_samples,test_samples,source_node_count_sum,mean_total_flow_mean,mean_total_flow_sum,std_total_flow_mean,peak_total_flow_max,pooled_row_min,pooled_row_max,pooled_col_min,pooled_col_max,sample_count_estimate,mse,rmse,mae,mape,smape,r2
full,Full,0,region_group,"4,5,12,13,34,35,42,43,50,60,71,72,73,80,81,100,101,110,111,128,129,130,131,132,135,136,158,159,161,162,164,165,166,167,189,190,191,192,193,194,195,196,197,198,199,200,201,202,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,245,246,248,249,250,251,252,253,254,255,256",75,1024,1024,1024,11529,372997.65110026044,27974823.83251953,19591.164427083335,1568055.25,0,8,0,22,438300,26553489075.675125,162952.4135312979,154112.5794418354,99.99939684903083,199.997587431888,-8.473904554693622
full,Full,1,region_group,"257,258,259,260,261,262,264,265,266,267,268,275,276,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,305,306,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,327,328,329,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,365,366,370",74,1024,1024,1024,18655,612796.7215741131,45346957.396484375,32475.204806765996,2059067.25,8,12,5,29,432456,1927790089145.114,1388448.806814682,1386337.7534814503,99.99995898474914,199.99983593906404,-328.10232088555756
full,Full,2,region_group,"371,372,373,374,375,376,377,378,379,380,381,382,395,396,400,401,402,403,404,405,406,407,408,409,410,411,412,429,430,431,432,433,434,435,436,437,439,440,441,444,445,461,462,463,464,465,471,472,475,489,490,491,492,493,501,502,508,520,521,526,527,534,535,537,538,564,565,566,567,581,597,607,608,617",74,1024,1024,1024,11808,391765.23344132706,28990627.274658203,22688.745344419738,1665470.75,12,20,5,28,432456,1684320627547.2778,1297813.7877011779,1293595.071482222,99.99995611698522,199.9998244680187,-153.06660771179065
without_attention,Without Attention,0,region_group,"4,5,12,13,34,35,42,43,50,60,71,72,73,80,81,100,101,110,111,128,129,130,131,132,135,136,158,159,161,162,164,165,166,167,189,190,191,192,193,194,195,196,197,198,199,200,201,202,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,245,246,248,249,250,251,252,253,254,255,256",75,1024,1024,1024,11529,372997.65110026044,27974823.83251953,19591.164427083335,1568055.25,0,8,0,22,438300,26553394426.45498,162952.1231112224,154112.27161512314,99.99905465255506,199.99621870203936,-8.473870785207612
without_attention,Without Attention,1,region_group,"257,258,259,260,261,262,264,265,266,267,268,275,276,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,305,306,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,327,328,329,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,365,366,370",74,1024,1024,1024,18655,612796.7215741131,45346957.396484375,32475.204806765996,2059067.25,8,12,5,29,432456,1927789238393.6846,1388448.5004470581,1386337.4463470117,99.99993674185295,199.99974696757272,-328.102175649688
without_attention,Without Attention,2,region_group,"371,372,373,374,375,376,377,378,379,380,381,382,395,396,400,401,402,403,404,405,406,407,408,409,410,411,412,429,430,431,432,433,434,435,436,437,439,440,441,444,445,461,462,463,464,465,471,472,475,489,490,491,492,493,501,502,508,520,521,526,527,534,535,537,538,564,565,566,567,581,597,607,608,617",74,1024,1024,1024,11808,391765.23344132706,28990627.274658203,22688.745344419738,1665470.75,12,20,5,28,432456,1684319797059.9358,1297813.467744859,1293594.7506686589,99.99993114151647,199.99972456625736,-153.066531746226
without_cnn,Without CNN / Spatial Encoder,0,region_group,"4,5,12,13,34,35,42,43,50,60,71,72,73,80,81,100,101,110,111,128,129,130,131,132,135,136,158,159,161,162,164,165,166,167,189,190,191,192,193,194,195,196,197,198,199,200,201,202,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,245,246,248,249,250,251,252,253,254,255,256",75,1024,1024,1024,11529,372997.65110026044,27974823.83251953,19591.164427083335,1568055.25,0,8,0,22,438300,26553528801.594852,162952.5354254878,154112.70455419473,99.99951687653153,199.99806753046897,-8.473918728332754
without_cnn,Without CNN / Spatial Encoder,1,region_group,"257,258,259,260,261,262,264,265,266,267,268,275,276,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,305,306,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,327,328,329,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,365,366,370",74,1024,1024,1024,18655,612796.7215741131,45346957.396484375,32475.204806765996,2059067.25,8,12,5,29,432456,1927790438022.2234,1388448.9324502444,1386337.8792572916,99.99996808077599,199.9998723231448,-328.10238044404736
without_cnn,Without CNN / Spatial Encoder,2,region_group,"371,372,373,374,375,376,377,378,379,380,381,382,395,396,400,401,402,403,404,405,406,407,408,409,410,411,412,429,430,431,432,433,434,435,436,437,439,440,441,444,445,461,462,463,464,465,471,472,475,489,490,491,492,493,501,502,508,520,521,526,527,534,535,537,538,564,565,566,567,581,597,607,608,617",74,1024,1024,1024,11808,391765.23344132706,28990627.274658203,22688.745344419738,1665470.75,12,20,5,28,432456,1684320943185.5898,1297813.9093050242,1293595.193527311,99.99996562941871,199.99986251772256,-153.06663658356436
without_lstm,Without LSTM,0,region_group,"4,5,12,13,34,35,42,43,50,60,71,72,73,80,81,100,101,110,111,128,129,130,131,132,135,136,158,159,161,162,164,165,166,167,189,190,191,192,193,194,195,196,197,198,199,200,201,202,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,245,246,248,249,250,251,252,253,254,255,256",75,1024,1024,1024,11529,372997.65110026044,27974823.83251953,19591.164427083335,1568055.25,0,8,0,22,438300,10396802687.341137,101964.712951791,96502.4759747982,63.453268385595486,93.33474389258245,-2.7094302768702256
