variant,variant_label,metric,mean,std,cv,min,max,count
full,Full,mse,1212888068589.3557,844733348694.5692,0.6964643898896893,26553489075.675125,1927790089145.114,3
full,Full,rmse,949738.3360157193,557570.7683258229,0.5870783006032037,162952.4135312979,1388448.806814682,3
full,Full,mae,944681.8014685026,560297.5830621854,0.5931072051893092,154112.5794418354,1386337.7534814503,3
full,Full,mape,99.99977065025507,0.0002643199733226378,2.643205795412128e-06,99.99939684903083,99.99995898474914,3
full,Full,smape,199.99908261299024,0.001057263068048097,5.286339588336822e-06,199.997587431888,199.99983593906404,3
full,Full,r2,-163.21427771734727,130.68489465491737,0.8006952362417463,-328.10232088555756,-8.473904554693622,3
without_attention,Without Attention,mse,1212887476626.6917,844732998510.2789,0.6964644410870399,26553394426.45498,1927789238393.6846,3
without_attention,Without Attention,rmse,949738.0304343798,557570.757996971,0.5870784786221059,162952.1231112224,1388448.5004470581,3
without_attention,Without Attention,mae,944681.4895435978,560297.5805483202,0.5931073983666344,154112.27161512314,1386337.4463470117,3
without_attention,Without Attention,mape,99.99964084530815,0.00041450717628049215,4.145086650078107e-06,99.99905465255506,99.99993674185295,3
without_attention,Without Attention,smape,199.9985634119565,0.001657985504824863,8.289987070605847e-06,199.99621870203936,199.99974696757272,3
without_attention,Without Attention,r2,-163.21419272704054,130.6848488672181,0.8006953726492124,-328.102175649688,-8.473870785207612,3
without_cnn,Without CNN / Spatial Encoder,mse,1212888303336.4695,844733487234.1039,0.6964643693160959,26553528801.594852,1927790438022.2234,3
without_cnn,Without CNN / Spatial Encoder,rmse,949738.4590602521,557570.7692466733,0.5870782255131364,162952.5354254878,1388448.9324502444,3
without_cnn,Without CNN / Spatial Encoder,mae,944681.9257795991,560297.5825998237,0.5931071266526433,154112.70455419473,1386337.8792572916,3
without_cnn,Without CNN / Spatial Encoder,mape,99.99981686224207,0.00021212429090316191,2.1212467938354374e-06,99.99951687653153,99.99996808077599,3
without_cnn,Without CNN / Spatial Encoder,smape,199.9992674571121,0.0008484857092769213,4.2424440852458166e-06,199.99806753046897,199.9998723231448,3
without_cnn,Without CNN / Spatial Encoder,r2,-163.21431191864815,130.68491336217355,0.8006951830750699,-328.10238044404736,-8.473918728332754,3
without_lstm,Without LSTM,mse,472500713002.15936,329124435262.62354,0.6965586002430422,10396802687.341137,751815727368.731,3
without_lstm,Without LSTM,rmse,592845.7992506465,347900.2318381255,0.5868308964622323,101964.712951791,867073.0807542874,3
without_lstm,Without LSTM,mae,589189.8025995096,349195.4876764613,0.5926706235169181,96502.4759747982,864699.0545043945,3
without_lstm,Without LSTM,mape,62.69594159795852,0.535574522195177,0.008542411335482935,62.307168516583054,63.453268385595486,3
without_lstm,Without LSTM,smape,91.48909827785705,1.3054541492876701,0.014268958530151202,90.52741672022823,93.33474389258245,3
without_lstm,Without LSTM,r2,-62.998516979409594,50.963562324619126,0.8089644767554771,-127.3460798706742,-2.7094302768702256,3
