metric,statistic,value
region_count,mean,74.33333333333333
region_count,std,0.4714045207910317
region_count,gap,1.0
region_count,cv,0.006341764853691009
source_node_count_sum,mean,13997.333333333334
source_node_count_sum,std,3295.436676510245
source_node_count_sum,gap,7126.0
source_node_count_sum,cv,0.23543317845138917
mean_total_flow_mean,mean,459186.53537190025
mean_total_flow_mean,std,108888.69704287055
mean_total_flow_mean,gap,239799.07047385268
mean_total_flow_mean,cv,0.23713390671327153
mean_total_flow_sum,mean,34104136.16788737
mean_total_flow_sum,std,7960684.059464103
mean_total_flow_sum,gap,17372133.563964844
mean_total_flow_sum,cv,0.23342283235896544
sample_count_estimate,mean,434404.0
sample_count_estimate,std,2754.888019502789
sample_count_estimate,gap,5844.0
sample_count_estimate,cv,0.006341764853691009
