method,metric,mean,std,cv,min,max,count
FedAvg,mse,95198949.79666191,4999628.540243074,0.052517685866513446,90199321.25641884,100198578.33690499,2
FedAvg,rmse,9753.628157858733,256.29583470509624,0.026276974122556897,9497.332323153636,10009.923992563829,2
FedAvg,mae,9747.015061143255,256.34652048775115,0.026300002501246113,9490.668540655503,10003.361581631005,2
FedAvg,mape,100.00324763329206,8.534418223149487e-05,8.534141065543051e-07,100.00316228910984,100.0033329774743,2
FedAvg,smape,200.0,0.0,0.0,200.0,200.0,2
FedAvg,r2,-736.8896408165184,25.031578577501136,0.033969236627841085,-761.9212193940195,-711.8580622390173,2
Independent,mse,95191974.39767396,4998782.1902688965,0.05251264323382963,90193192.20740506,100190756.58794285,2
Independent,rmse,9753.271465378428,256.26181984236155,0.026274447579155796,9497.009645536065,10009.533285220788,2
Independent,mae,9746.658114454709,256.3125767307356,0.026297483067618133,9490.345537723973,10002.970691185445,2
Independent,mape,99.99958680241826,0.0003368295847963054,3.3683097657375516e-06,99.99924997283347,99.99992363200306,2
Independent,smape,199.99834722123012,0.0013473071999641206,6.7365916702990734e-06,199.99699991403014,199.99969452843007,2
Independent,r2,-736.8356436844638,25.026020191353552,0.03396418238701612,-761.8616638758173,-711.8096234931102,2
