method,metric,mean,std,cv,min,max,count
FedAvg,mse,3742910733032.4824,70432458321.479,0.018817562946369035,3672478274711.0034,3813343191353.9614,2
FedAvg,rmse,1934574.7237805822,18203.602439258248,0.009409614534653088,1916371.121341324,1952778.3262198404,2
FedAvg,mae,1932202.3943599039,18660.431688168203,0.009657596814204339,1913541.9626717356,1950862.826048072,2
FedAvg,mape,99.99993462481658,6.935754086612178e-07,6.935758620877098e-09,99.99993393124117,99.99993531839199,2
FedAvg,smape,199.99973849943777,2.7742979398226453e-06,1.3871507836148718e-08,199.99973572513983,199.9997412737357,2
FedAvg,r2,-423.4565499267003,85.5242215028398,0.20196693502000126,-508.9807714295401,-337.9323284238605,2
Independent,mse,3742911173049.149,70432893102.97607,0.018817676895494736,3672478279946.173,3813344066152.125,2
Independent,rmse,1934574.8364575729,18203.71375034179,0.009409671524351503,1916371.122707231,1952778.5502079146,2
Independent,mae,1932202.5070750597,18660.543145970674,0.009657653935155448,1913541.963929089,1950863.0502210304,2
Independent,mape,99.99994041131971,6.42003205086894e-06,6.420035876483592e-08,99.99993399128766,99.99994683135176,2
Independent,smape,199.9997616454229,2.568009746539701e-05,1.2840064035138673e-07,199.99973596532544,199.99978732552037,2
Independent,r2,-423.4566086642237,85.5242797572104,0.201967044573925,-508.9808884214341,-337.9323289070133,2
