scenario,missing_rate,length_group,metric,best_method,best_value,forward_fill_rank,function_curve_fit_rank,road_topology_neighbor_fill_rank,topology_function_hybrid_rank
node_subset_temporal_outage,0.05,long,MAE,function_curve_fit,133.56559313822223,3,1,5,4
node_subset_temporal_outage,0.05,long,RMSE,function_curve_fit,256.24312400474986,3,1,5,4
node_subset_temporal_outage,0.05,long,SMAPE,function_curve_fit,0.0724881515743434,3,1,5,4
node_subset_temporal_outage,0.05,mid,MAE,function_curve_fit,134.91304014096465,2,1,5,4
node_subset_temporal_outage,0.05,mid,RMSE,function_curve_fit,255.5926739894717,3,1,5,4
node_subset_temporal_outage,0.05,mid,SMAPE,function_curve_fit,0.0758630852905646,2,1,5,4
node_subset_temporal_outage,0.05,short,MAE,forward_fill,89.44859937282641,1,2,5,4
node_subset_temporal_outage,0.05,short,RMSE,forward_fill,187.04757424381137,1,2,5,4
node_subset_temporal_outage,0.05,short,SMAPE,forward_fill,0.0500834921167605,1,2,5,4
node_subset_temporal_outage,0.1,long,MAE,function_curve_fit,142.15460675791118,3,1,5,4
node_subset_temporal_outage,0.1,long,RMSE,function_curve_fit,270.77933073458365,3,1,5,4
node_subset_temporal_outage,0.1,long,SMAPE,function_curve_fit,0.0792533920320165,3,1,5,4
node_subset_temporal_outage,0.1,mid,MAE,function_curve_fit,134.54245249593808,2,1,5,4
node_subset_temporal_outage,0.1,mid,RMSE,function_curve_fit,256.16553277481967,3,1,5,4
node_subset_temporal_outage,0.1,mid,SMAPE,function_curve_fit,0.0746392252341732,2,1,5,4
node_subset_temporal_outage,0.1,short,MAE,forward_fill,90.58878344090736,1,2,5,4
node_subset_temporal_outage,0.1,short,RMSE,forward_fill,189.17027659670384,1,2,5,4
node_subset_temporal_outage,0.1,short,SMAPE,forward_fill,0.0505742283546585,1,2,5,4
node_subset_temporal_outage,0.2,long,MAE,function_curve_fit,136.6822035170178,3,1,5,4
node_subset_temporal_outage,0.2,long,RMSE,function_curve_fit,260.0625238636859,3,1,5,4
node_subset_temporal_outage,0.2,long,SMAPE,function_curve_fit,0.0754861146886198,3,1,5,4
node_subset_temporal_outage,0.2,mid,MAE,function_curve_fit,136.84475931233263,2,1,5,4
node_subset_temporal_outage,0.2,mid,RMSE,function_curve_fit,260.2735877484623,3,1,5,4
node_subset_temporal_outage,0.2,mid,SMAPE,function_curve_fit,0.0761625790893466,2,1,5,4
node_subset_temporal_outage,0.2,short,MAE,forward_fill,95.52858487588334,1,2,5,4
