scenario,missing_rate,metric,rank,method,value
global_mcar_point,0.05,RMSE,1,forward_fill,181.8150797553333
global_mcar_point,0.05,RMSE,2,function_curve_fit,257.7133011300634
global_mcar_point,0.05,RMSE,3,historical_linear_extrapolation,317.93748391074524
global_mcar_point,0.05,RMSE,4,topology_function_hybrid,477.3679209387527
global_mcar_point,0.05,RMSE,5,road_topology_neighbor_fill,855.2228835919649
global_mcar_point,0.05,RMSE,6,zero_fill,2718.874813111021
global_mcar_point,0.05,MAE,1,forward_fill,87.49862735458164
global_mcar_point,0.05,MAE,2,function_curve_fit,135.47146193621393
global_mcar_point,0.05,MAE,3,historical_linear_extrapolation,164.09041230031286
global_mcar_point,0.05,MAE,4,topology_function_hybrid,303.5633930135157
global_mcar_point,0.05,MAE,5,road_topology_neighbor_fill,523.6444912620296
global_mcar_point,0.05,MAE,6,zero_fill,2439.9498041726806
global_mcar_point,0.05,SMAPE,1,forward_fill,0.0490691253680287
global_mcar_point,0.05,SMAPE,2,function_curve_fit,0.0756037722833741
global_mcar_point,0.05,SMAPE,3,historical_linear_extrapolation,0.0872100582499755
global_mcar_point,0.05,SMAPE,4,topology_function_hybrid,0.1376424928324818
global_mcar_point,0.05,SMAPE,5,road_topology_neighbor_fill,0.2076650851773302
global_mcar_point,0.05,SMAPE,6,zero_fill,2.0
global_mcar_point,0.05,NRMSE,1,forward_fill,0.0174233473499867
global_mcar_point,0.05,NRMSE,2,function_curve_fit,0.0246966773512037
global_mcar_point,0.05,NRMSE,3,historical_linear_extrapolation,0.030467963522125
global_mcar_point,0.05,NRMSE,4,topology_function_hybrid,0.0457461895429658
global_mcar_point,0.05,NRMSE,5,road_topology_neighbor_fill,0.0819560477741012
global_mcar_point,0.05,NRMSE,6,zero_fill,0.2605498968166536
global_mcar_point,0.1,RMSE,1,forward_fill,187.7716767188052
global_mcar_point,0.1,RMSE,2,function_curve_fit,257.5446386463814
global_mcar_point,0.1,RMSE,3,historical_linear_extrapolation,320.0487051672021
global_mcar_point,0.1,RMSE,4,topology_function_hybrid,470.0782708944832
global_mcar_point,0.1,RMSE,5,road_topology_neighbor_fill,838.9225856261953
global_mcar_point,0.1,RMSE,6,zero_fill,2718.815161364984
global_mcar_point,0.1,MAE,1,forward_fill,90.01376564306827
global_mcar_point,0.1,MAE,2,function_curve_fit,135.3739132302508
global_mcar_point,0.1,MAE,3,historical_linear_extrapolation,165.18730872127273
global_mcar_point,0.1,MAE,4,topology_function_hybrid,299.45505460490773
global_mcar_point,0.1,MAE,5,road_topology_neighbor_fill,515.533908391086
global_mcar_point,0.1,MAE,6,zero_fill,2439.797067899393
global_mcar_point,0.1,SMAPE,1,forward_fill,0.0503258935848652
global_mcar_point,0.1,SMAPE,2,function_curve_fit,0.0755183977015684
global_mcar_point,0.1,SMAPE,3,historical_linear_extrapolation,0.0878856310843703
global_mcar_point,0.1,SMAPE,4,topology_function_hybrid,0.1363039356424669
global_mcar_point,0.1,SMAPE,5,road_topology_neighbor_fill,0.2057055861999306
global_mcar_point,0.1,SMAPE,6,zero_fill,2.0
global_mcar_point,0.1,NRMSE,1,forward_fill,0.0179360810731952
global_mcar_point,0.1,NRMSE,2,function_curve_fit,0.0246008428930732
global_mcar_point,0.1,NRMSE,3,historical_linear_extrapolation,0.0305712747713627
global_mcar_point,0.1,NRMSE,4,topology_function_hybrid,0.0449022031695287
global_mcar_point,0.1,NRMSE,5,road_topology_neighbor_fill,0.0801344684824825
global_mcar_point,0.1,NRMSE,6,zero_fill,0.2597031139595234
global_mcar_point,0.2,RMSE,1,forward_fill,200.28318394598116
global_mcar_point,0.2,RMSE,2,function_curve_fit,257.82247813859175
global_mcar_point,0.2,RMSE,3,historical_linear_extrapolation,327.58681224035223
global_mcar_point,0.2,RMSE,4,topology_function_hybrid,458.2165165767309
global_mcar_point,0.2,RMSE,5,road_topology_neighbor_fill,811.8314467944756
global_mcar_point,0.2,RMSE,6,zero_fill,2718.9658095183995
global_mcar_point,0.2,MAE,1,forward_fill,95.53400195489262
global_mcar_point,0.2,MAE,2,function_curve_fit,135.5501314483311
global_mcar_point,0.2,MAE,3,historical_linear_extrapolation,168.79046359006753
global_mcar_point,0.2,MAE,4,topology_function_hybrid,293.1494116894905
global_mcar_point,0.2,MAE,5,road_topology_neighbor_fill,502.8226903579789
global_mcar_point,0.2,MAE,6,zero_fill,2439.8771629447565
global_mcar_point,0.2,SMAPE,1,forward_fill,0.0530901510588802
global_mcar_point,0.2,SMAPE,2,function_curve_fit,0.0756090643145058
global_mcar_point,0.2,SMAPE,3,historical_linear_extrapolation,0.0900139592555985
global_mcar_point,0.2,SMAPE,4,topology_function_hybrid,0.1344205181147598
global_mcar_point,0.2,SMAPE,5,road_topology_neighbor_fill,0.2027492140597679
global_mcar_point,0.2,SMAPE,6,zero_fill,2.0
global_mcar_point,0.2,NRMSE,1,forward_fill,0.0191379335136316
global_mcar_point,0.2,NRMSE,2,function_curve_fit,0.0246360645348385
global_mcar_point,0.2,NRMSE,3,historical_linear_extrapolation,0.0313023515458458
global_mcar_point,0.2,NRMSE,4,topology_function_hybrid,0.0437845906796577
global_mcar_point,0.2,NRMSE,5,road_topology_neighbor_fill,0.0775740426476271
global_mcar_point,0.2,NRMSE,6,zero_fill,0.259809065659928
global_mcar_point,0.3,RMSE,1,forward_fill,213.51260962082836
global_mcar_point,0.3,RMSE,2,function_curve_fit,257.8389497443943
global_mcar_point,0.3,RMSE,3,historical_linear_extrapolation,340.7383484301148
global_mcar_point,0.3,RMSE,4,topology_function_hybrid,448.4073454889147
global_mcar_point,0.3,RMSE,5,road_topology_neighbor_fill,789.3671916445994
global_mcar_point,0.3,RMSE,6,zero_fill,2718.918169054081
global_mcar_point,0.3,MAE,1,forward_fill,101.5889139221552
global_mcar_point,0.3,MAE,2,function_curve_fit,135.6966961524635
global_mcar_point,0.3,MAE,3,historical_linear_extrapolation,174.31629418612633
global_mcar_point,0.3,MAE,4,topology_function_hybrid,288.3482909045936
global_mcar_point,0.3,MAE,5,road_topology_neighbor_fill,493.2864456342088
global_mcar_point,0.3,MAE,6,zero_fill,2439.878106701768
global_mcar_point,0.3,SMAPE,1,forward_fill,0.056088853683377
global_mcar_point,0.3,SMAPE,2,function_curve_fit,0.0756790693709623
global_mcar_point,0.3,SMAPE,3,historical_linear_extrapolation,0.0929374527251733
global_mcar_point,0.3,SMAPE,4,topology_function_hybrid,0.1330815593845033
global_mcar_point,0.3,SMAPE,5,road_topology_neighbor_fill,0.2006041343039253
global_mcar_point,0.3,SMAPE,6,zero_fill,2.0
global_mcar_point,0.3,NRMSE,1,forward_fill,0.0203948728755486
global_mcar_point,0.3,NRMSE,2,function_curve_fit,0.0246289556937199
global_mcar_point,0.3,NRMSE,3,historical_linear_extrapolation,0.0325475638764273
global_mcar_point,0.3,NRMSE,4,topology_function_hybrid,0.0428321813121454
global_mcar_point,0.3,NRMSE,5,road_topology_neighbor_fill,0.0754009028052739
global_mcar_point,0.3,NRMSE,6,zero_fill,0.2597129533255827
node_temporal_block,0.05,RMSE,1,function_curve_fit,257.8246319470896
node_temporal_block,0.05,RMSE,2,historical_linear_extrapolation,317.0631127154894
node_temporal_block,0.05,RMSE,3,forward_fill,355.32311099238177
node_temporal_block,0.05,RMSE,4,topology_function_hybrid,477.2963399096611
node_temporal_block,0.05,RMSE,5,road_topology_neighbor_fill,855.1866678502969
node_temporal_block,0.05,RMSE,6,zero_fill,2720.620457035994
node_temporal_block,0.05,MAE,1,function_curve_fit,135.52758211002927
node_temporal_block,0.05,MAE,2,historical_linear_extrapolation,163.80394730160603
node_temporal_block,0.05,MAE,3,forward_fill,173.55776927706438
node_temporal_block,0.05,MAE,4,topology_function_hybrid,303.4143088308325
node_temporal_block,0.05,MAE,5,road_topology_neighbor_fill,523.4508674387947
node_temporal_block,0.05,MAE,6,zero_fill,2440.9505568044683
node_temporal_block,0.05,SMAPE,1,function_curve_fit,0.0756537450395552
node_temporal_block,0.05,SMAPE,2,historical_linear_extrapolation,0.08703611580843
node_temporal_block,0.05,SMAPE,3,forward_fill,0.0903769174087609
node_temporal_block,0.05,SMAPE,4,topology_function_hybrid,0.137509478782422
node_temporal_block,0.05,SMAPE,5,road_topology_neighbor_fill,0.207489261705985
node_temporal_block,0.05,SMAPE,6,zero_fill,2.0
node_temporal_block,0.05,NRMSE,1,function_curve_fit,0.0246307173800922
node_temporal_block,0.05,NRMSE,2,historical_linear_extrapolation,0.0302899372413347
node_temporal_block,0.05,NRMSE,3,forward_fill,0.0339450232484557
node_temporal_block,0.05,NRMSE,4,topology_function_hybrid,0.0455974712970012
node_temporal_block,0.05,NRMSE,5,road_topology_neighbor_fill,0.0816984047023335
node_temporal_block,0.05,NRMSE,6,zero_fill,0.2599085784383197
node_temporal_block,0.1,RMSE,1,function_curve_fit,258.0323617766764
node_temporal_block,0.1,RMSE,2,historical_linear_extrapolation,320.1970858069428
node_temporal_block,0.1,RMSE,3,forward_fill,356.80820036574426
node_temporal_block,0.1,RMSE,4,topology_function_hybrid,470.33760407649913
node_temporal_block,0.1,RMSE,5,road_topology_neighbor_fill,839.1719188404072
node_temporal_block,0.1,RMSE,6,zero_fill,2719.283959492072
node_temporal_block,0.1,MAE,1,function_curve_fit,135.71906498047284
node_temporal_block,0.1,MAE,2,historical_linear_extrapolation,165.27833376764747
node_temporal_block,0.1,MAE,3,forward_fill,174.17594616529215
node_temporal_block,0.1,MAE,4,topology_function_hybrid,299.6836552219504
node_temporal_block,0.1,MAE,5,road_topology_neighbor_fill,515.7834595535355
node_temporal_block,0.1,MAE,6,zero_fill,2440.308799133897
node_temporal_block,0.1,SMAPE,1,function_curve_fit,0.0755679440213078
node_temporal_block,0.1,SMAPE,2,historical_linear_extrapolation,0.0878388091603447
node_temporal_block,0.1,SMAPE,3,forward_fill,0.0905129474036541
node_temporal_block,0.1,SMAPE,4,topology_function_hybrid,0.1363214062195465
node_temporal_block,0.1,SMAPE,5,road_topology_neighbor_fill,0.2056754057758339
node_temporal_block,0.1,SMAPE,6,zero_fill,2.0
node_temporal_block,0.1,NRMSE,1,function_curve_fit,0.0246474305454769
node_temporal_block,0.1,NRMSE,2,historical_linear_extrapolation,0.0305854481932045
node_temporal_block,0.1,NRMSE,3,forward_fill,0.034082567302867
node_temporal_block,0.1,NRMSE,4,topology_function_hybrid,0.0449269748553276
node_temporal_block,0.1,NRMSE,5,road_topology_neighbor_fill,0.0801582849644061
node_temporal_block,0.1,NRMSE,6,zero_fill,0.2597478938824668
node_temporal_block,0.2,RMSE,1,function_curve_fit,262.50825094933595
node_temporal_block,0.2,RMSE,2,historical_linear_extrapolation,333.77113207306485
node_temporal_block,0.2,RMSE,3,forward_fill,336.3315601288929
node_temporal_block,0.2,RMSE,4,topology_function_hybrid,459.93198686407766
node_temporal_block,0.2,RMSE,5,road_topology_neighbor_fill,812.0092493105105
node_temporal_block,0.2,RMSE,6,zero_fill,2726.114660671772
node_temporal_block,0.2,MAE,1,function_curve_fit,137.64460397316466
node_temporal_block,0.2,MAE,2,forward_fill,162.26340486424914
node_temporal_block,0.2,MAE,3,historical_linear_extrapolation,171.30759376901747
node_temporal_block,0.2,MAE,4,topology_function_hybrid,294.3129556963594
node_temporal_block,0.2,MAE,5,road_topology_neighbor_fill,503.6381653646443
node_temporal_block,0.2,MAE,6,zero_fill,2446.3943179137536
node_temporal_block,0.2,SMAPE,1,function_curve_fit,0.0759563277771993
node_temporal_block,0.2,SMAPE,2,forward_fill,0.085195779909616
node_temporal_block,0.2,SMAPE,3,historical_linear_extrapolation,0.0905695865301663
node_temporal_block,0.2,SMAPE,4,topology_function_hybrid,0.1343711796875781
node_temporal_block,0.2,SMAPE,5,road_topology_neighbor_fill,0.2025252357936629
node_temporal_block,0.2,SMAPE,6,zero_fill,2.0
node_temporal_block,0.2,NRMSE,1,function_curve_fit,0.0250749705902712
node_temporal_block,0.2,NRMSE,2,historical_linear_extrapolation,0.0318820505273524
node_temporal_block,0.2,NRMSE,3,forward_fill,0.0321266243949021
node_temporal_block,0.2,NRMSE,4,topology_function_hybrid,0.0439330230666448
node_temporal_block,0.2,NRMSE,5,road_topology_neighbor_fill,0.0775636878911626
node_temporal_block,0.2,NRMSE,6,zero_fill,0.2604003672069147
