missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,forward_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_000.parquet,201900,2157,True,True,completed,recomputed,0.8394901000010577,57716134,2026-06-15T03:32:14.083465338+00:00
0.05,forward_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_001.parquet,202653,0,True,True,completed,recomputed,1.0273631000000023,57622800,2026-06-15T03:32:24.477307081+00:00
0.05,forward_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_002.parquet,201529,0,True,True,completed,recomputed,0.886494300000777,57495263,2026-06-15T03:32:34.809791327+00:00
0.05,forward_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_003.parquet,202274,0,True,True,completed,recomputed,0.899961600000097,57491865,2026-06-15T03:32:42.842755318+00:00
0.05,forward_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_004.parquet,201974,0,True,True,completed,recomputed,0.9875231000005442,57513587,2026-06-15T03:32:51.901134729+00:00
0.05,forward_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_005.parquet,201147,0,True,True,completed,recomputed,1.1461633999988408,57591116,2026-06-15T03:33:00.806200027+00:00
0.05,forward_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_006.parquet,200908,0,True,True,completed,recomputed,0.8641525999992155,57595291,2026-06-15T03:33:09.789380312+00:00
0.05,forward_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_007.parquet,202506,0,True,True,completed,recomputed,0.8537157999999181,57614211,2026-06-15T03:33:17.900050402+00:00
0.05,forward_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_008.parquet,201177,0,True,True,completed,recomputed,0.9995137000005343,57522200,2026-06-15T03:33:26.252232313+00:00
0.05,forward_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_009.parquet,200987,0,True,True,completed,recomputed,0.8834354000009625,57515840,2026-06-15T03:33:34.325504303+00:00
0.05,forward_fill,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_010.parquet,202117,0,True,True,completed,recomputed,0.8259167999985948,57561693,2026-06-15T03:33:42.337091208+00:00
0.05,forward_fill,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_011.parquet,200960,0,True,True,completed,recomputed,0.8897591999993892,57526781,2026-06-15T03:33:50.360900164+00:00
0.05,forward_fill,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_012.parquet,201190,0,True,True,completed,recomputed,0.8731367999989743,57513552,2026-06-15T03:33:59.618210077+00:00
0.05,forward_fill,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_013.parquet,202581,0,True,True,completed,recomputed,1.194457899999179,57560075,2026-06-15T03:34:09.572487831+00:00
0.05,forward_fill,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_014.parquet,201384,0,True,True,completed,recomputed,1.4418470000000525,57565192,2026-06-15T03:34:20.753413200+00:00
0.05,forward_fill,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_015.parquet,201115,0,True,True,completed,recomputed,1.2004679000001488,57512416,2026-06-15T03:34:30.212549686+00:00
0.05,forward_fill,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_016.parquet,201890,0,True,True,completed,recomputed,0.8818241999997554,57538913,2026-06-15T03:34:39.264991283+00:00
0.05,forward_fill,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_017.parquet,202037,0,True,True,completed,recomputed,0.9872438000002148,57683974,2026-06-15T03:34:47.965361595+00:00
0.05,forward_fill,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_018.parquet,201497,0,True,True,completed,recomputed,0.9665866000013921,57673282,2026-06-15T03:34:58.016769171+00:00
0.05,forward_fill,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_019.parquet,201162,0,True,True,completed,recomputed,1.0324961000005715,57695715,2026-06-15T03:35:07.576184034+00:00
0.05,forward_fill,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_020.parquet,201976,0,True,True,completed,recomputed,0.9537244000002829,57706779,2026-06-15T03:35:15.998752117+00:00
0.05,forward_fill,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_021.parquet,201964,0,True,True,completed,recomputed,0.9452844000006735,57723303,2026-06-15T03:35:24.988808870+00:00
0.05,forward_fill,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_022.parquet,201257,0,True,True,completed,recomputed,1.1589655999996467,57681103,2026-06-15T03:35:34.653422594+00:00
0.05,forward_fill,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_023.parquet,201640,0,True,True,completed,recomputed,1.263508300000467,57660536,2026-06-15T03:35:43.696211338+00:00
0.05,forward_fill,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill\node_flow_chunk_024.parquet,201402,0,True,True,completed,recomputed,0.9372911999998905,57689656,2026-06-15T03:35:54.143623590+00:00
