missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.05,forward_fill,0,0,high_flow,True,66914,66914,610,130.6925048828125,425.6058044433594,0.034348711371421814,0.04408176988363266,0.05763406907784603,8745158.0,12120822784.0,2298.40966796875,66914,2949.6875,66914,2911.891845703125,10296.513671875
0.05,forward_fill,0,0,low_flow,True,68308,68308,745,81.65702056884766,209.11436462402344,0.09283716231584549,0.09656628966331482,0.14047811551931635,5577828.0,2987027968.0,6227.60986328125,67081,6504.22265625,67355,0.0,1488.59033203125
0.05,forward_fill,0,0,mid_flow,True,66678,66678,802,139.09767150878906,328.3553466796875,0.06173407658934593,0.07446317374706268,0.2307018381962578,9274755.0,7189038080.0,4116.3046875,66678,4965.0556640625,66678,1488.595947265625,2911.884765625
0.05,forward_fill,0,0,overall,True,201900,201900,2157,116.87836456298828,332.318115234375,0.06299962103366852,0.0717550665140152,0.03227481901394491,23597742.0,22296891392.0,12642.3232421875,200673,14418.96484375,200947,0.0,10296.513671875
0.05,forward_fill,1,1,high_flow,True,64936,64936,0,84.17180633544922,171.70054626464844,0.022282805293798447,0.022734828293323517,0.023264822393733498,5465780.5,1914383104.0,1446.956298828125,64936,1476.308837890625,64936,2911.892578125,10292.1572265625
0.05,forward_fill,1,1,low_flow,True,67775,67775,0,67.87847137451172,156.45143127441406,0.1049937978386879,0.08119654655456543,0.10510021359536507,4600463.5,1658931968.0,6967.0732421875,66357,5412.80517578125,66663,0.0,1488.5928955078125
0.05,forward_fill,1,1,mid_flow,True,69942,69942,0,102.90396881103516,192.16444396972656,0.04609213024377823,0.0470738410949707,0.13501413899033604,7197309.5,2582760192.0,3223.77587890625,69942,3292.4384765625,69942,1488.594970703125,2911.88623046875
0.05,forward_fill,1,1,overall,True,202653,202653,0,85.18775177001953,174.29119873046875,0.05783191695809364,0.050518520176410675,0.016934370015320943,17263554.0,6156075520.0,11637.8056640625,201235,10181.552734375,201541,0.0,10292.1572265625
0.05,forward_fill,2,2,high_flow,True,63097,63097,0,88.16735076904297,180.51034545898438,0.023456037044525146,0.024013830348849297,0.024871976011339978,5563095.5,2055951488.0,1480.005615234375,63097,1515.20068359375,63097,2911.89111328125,10169.470703125
0.05,forward_fill,2,2,low_flow,True,67536,67536,0,74.15593719482422,175.78762817382812,0.11144640296697617,0.08826495707035065,0.1180898810156411,5008195.5,2086949504.0,7348.330078125,65936,5852.0546875,66301,0.0,1488.591796875
0.05,forward_fill,2,2,mid_flow,True,70896,70896,0,106.7826919555664,197.9490966796875,0.04787061735987663,0.04891994595527649,0.13908032648560711,7570465.5,2777977856.0,3393.835205078125,70896,3468.228515625,70896,1488.595458984375,2911.8671875
0.05,forward_fill,2,2,overall,True,201529,201529,0,90.02057647705078,185.3155517578125,0.061132557690143585,0.05409789830446243,0.018222733234372412,18141756.0,6920879104.0,12222.1708984375,199929,10835.484375,200294,0.0,10169.470703125
