missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,high_flow,61,4093100,4093100,610,368044596.5,153032878976.0,97132.12158203125,4093100,100029.26672363281,4093100,2911.8896484375,10435.140625,89.91830067674867,193.35980379737887,0.02373069839046963,0.02443851035245482,0.025701628777208257,False
0.05,forward_fill,low_flow,61,4101768,4101768,745,274687629.75,101181813632.0,459142.76708984375,4029316,309764.78564453125,4046282,0.0,1488.593017578125,66.96810491232074,157.06003269400983,0.11395054820466892,0.0765554120163971,0.1055090483694056,False
0.05,forward_fill,mid_flow,61,4111809,4111809,802,442511945.0,169861427968.0,196719.65844726562,4111809,200481.84130859375,4111809,1488.5931396484375,2911.889404296875,107.61977149230424,203.25017068129858,0.04784260612476543,0.04875757636324882,0.1428024338499213,False
0.05,forward_fill,overall,61,12306677,12306677,2157,1085244166.0,424076120576.0,752994.5439453125,12234225,610275.88671875,12251191,0.0,10435.140625,88.18336306380675,185.63142905013635,0.06154820137322246,0.049813596630625546,0.017789068276225204,False
0.05,function_curve_fit,high_flow,61,4093100,4093100,66914,630692299.0,320271084288.0,168140.41821289062,4093100,174938.54565429688,4093100,2911.8896484375,10435.140625,154.08670665265936,279.7259049118826,0.0410789910368402,0.04273986603168671,0.03718151976895686,False
0.05,function_curve_fit,low_flow,61,4101768,4101768,68308,422356789.0,229403316480.0,897978.9462890625,4029316,487987.16162109375,4100743,0.0,1488.593017578125,102.96944854023923,236.49082689011212,0.22286138547809664,0.11899969386550041,0.15886869285123495,False
0.05,function_curve_fit,mid_flow,61,4111809,4111809,66678,632713331.0,296349279744.0,287374.0754394531,4111809,282223.412109375,4111809,1488.5931396484375,2911.889404296875,153.87712099467655,268.4636383305292,0.06988993784474258,0.06863728643752057,0.18862105170833232,False
0.05,function_curve_fit,overall,61,12306677,12306677,201900,1685762448.0,846023696384.0,1353493.4287109375,12234225,945149.1328125,12305652,0.0,10435.140625,136.97949885253345,262.1928610240825,0.1106317260562837,0.0768060995721722,0.02512595377928436,False
0.05,historical_linear_extrapolation,high_flow,61,4093100,4093100,131850,763200807.5,538176514816.0,203094.70263671875,4093100,214710.22631835938,4093100,2911.8896484375,10435.140625,186.4603375192397,362.60700803355724,0.04961879813264244,0.05245662855008658,0.048198180435984665,False
0.05,historical_linear_extrapolation,low_flow,61,4101768,4101768,136083,504666417.5,311875849472.0,904785.5307617188,4029316,528591.8525390625,4077918,0.0,1488.593017578125,123.03631446244644,275.74352721710125,0.2245506509694744,0.129622972443061,0.18523768683647582,False
0.05,historical_linear_extrapolation,mid_flow,61,4111809,4111809,136620,796734422.5,490383735552.0,357335.07421875,4111809,359934.2763671875,4111809,1488.5931396484375,2911.889404296875,193.76737161186233,345.3437196341536,0.08690458973623288,0.08753672078814641,0.24263656710955786,False
0.05,historical_linear_extrapolation,overall,61,12306677,12306677,404553,2064601666.0,1340436092416.0,1465215.2841796875,12234225,1103236.3623046875,12282827,0.0,10435.140625,167.76272473877393,330.02941941592456,0.11976363718827204,0.08981941716712998,0.03162673425073508,False
0.05,road_topology_neighbor_fill,high_flow,61,4093100,4093100,66914,2777949278.0,4107767796736.0,717624.3247070312,4093100,736084.9375,4093100,2911.8896484375,10435.140625,678.6907913317534,1001.7901687670933,0.17532538288999322,0.17983556167696857,0.13315921160785574,False
0.05,road_topology_neighbor_fill,low_flow,61,4101768,4101768,68308,1631502574.0,2339512815104.0,2052563.5258789062,4029316,1033950.298828125,4091700,0.0,1488.593017578125,397.75593695206555,755.2264086908328,0.5094074343831326,0.25269455210013564,0.5073424366315736,False
0.05,road_topology_neighbor_fill,mid_flow,61,4111809,4111809,66678,1968750869.0,2455369294848.0,899887.6220703125,4111809,769779.75,4111809,1488.5931396484375,2911.889404296875,478.8040662880985,772.7552136906666,0.21885443172830074,0.1872119424807913,0.5429334938088534,False
0.05,road_topology_neighbor_fill,overall,61,12306677,12306677,201900,6378202702.0,8902650089472.0,3670075.4833984375,12234225,2539814.984375,12296609,0.0,10435.140625,518.2717237155083,850.5292444989763,0.29998430496402,0.20654596599558464,0.08150625612666108,False
0.05,topology_function_hybrid,high_flow,61,4093100,4093100,66914,1546818890.0,1229804913664.0,400346.5224609375,4093100,407555.763671875,4093100,2911.8896484375,10435.140625,377.90889301507417,548.1405539719717,0.09781010052550329,0.09957141620577924,0.07285953315655919,False
0.05,topology_function_hybrid,low_flow,61,4101768,4101768,68308,978178565.0,763444460032.0,1433177.6040039062,4029316,789484.8447265625,4100787,0.0,1488.593017578125,238.4773017391525,431.4228839848687,0.3556875668237255,0.19252032469049538,0.28981923124076897,False
0.05,topology_function_hybrid,mid_flow,61,4111809,4111809,66678,1190069637.0,809082106880.0,543917.0732421875,4111809,497590.69189453125,4111809,1488.5931396484375,2911.889404296875,289.42726595520367,443.58804383197605,0.13228169723890082,0.12101503058496424,0.3116624801523981,False
0.05,topology_function_hybrid,overall,61,12306677,12306677,201900,3715067134.0,2802331455488.0,2377441.2021484375,12234225,1694631.2890625,12305696,0.0,10435.140625,301.87410736464443,477.1878196926058,0.1943270785152666,0.1377111289814489,0.04572893043236835,False
0.05,zero_fill,high_flow,61,4093100,4093100,0,15319312416.0,61206064070656.0,4093100.0,4093100,8186200.0,4093100,2911.8896484375,10435.140625,3742.7163802496884,3866.9721892397883,1.0,2.0,0.5140028162408418,False
0.05,zero_fill,low_flow,61,4101768,4101768,0,5312295240.0,7196163768320.0,4029316.0,4029316,8058632.0,4029316,0.0,1488.593017578125,1295.1232834231482,1324.5396788651824,1.0,2.0,0.8897930214802094,False
0.05,zero_fill,mid_flow,61,4111809,4111809,0,9352024160.0,22337831272448.0,4111809.0,4111809,8223618.0,4111809,1488.5931396484375,2911.889404296875,2274.430587607547,2330.7947795640716,1.0,2.0,1.637603384099228,False
0.05,zero_fill,overall,61,12306677,12306677,0,29983631712.0,90740059930624.0,12234225.0,12234225,24468450.0,12234225,0.0,10435.140625,2436.3710619852945,2715.3707141797386,1.0,2.0,0.26021409885693214,False
0.1,forward_fill,high_flow,61,8184671,8184671,1266,759332262.0,327019322624.0,200415.38305664062,8184671,206799.26025390625,8184671,2911.8896484375,10468.935546875,92.77492791096918,199.88771064356322,0.024486675525093267,0.02526665522094978,0.026450509012376403,False
