missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.05,forward_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_000.parquet,201869,1674,True,True,completed,recomputed,1.1671477,57714891,2026-06-16T00:52:12.502616405+00:00
0.05,forward_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_001.parquet,201903,0,True,True,completed,recomputed,1.1524082,57614794,2026-06-16T00:52:23.279521942+00:00
0.05,forward_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_002.parquet,201683,0,True,True,completed,recomputed,1.0811099000000013,57515177,2026-06-16T00:52:33.933082819+00:00
0.05,forward_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_003.parquet,201423,0,True,True,completed,recomputed,1.171628200000001,57491430,2026-06-16T00:52:44.149490356+00:00
0.05,forward_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_004.parquet,201300,0,True,True,completed,recomputed,1.1192165999999943,57514326,2026-06-16T00:52:54.963684320+00:00
0.05,forward_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_005.parquet,201476,0,True,True,completed,recomputed,1.1589389999999966,57573325,2026-06-16T00:53:06.254131317+00:00
0.05,forward_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_006.parquet,202319,0,True,True,completed,recomputed,1.1087986,57592992,2026-06-16T00:53:17.460377693+00:00
0.05,forward_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_007.parquet,201542,0,True,True,completed,recomputed,1.096049899999997,57618299,2026-06-16T00:53:28.452122927+00:00
0.05,forward_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_008.parquet,201563,0,True,True,completed,recomputed,1.108541300000013,57501337,2026-06-16T00:53:39.236616611+00:00
0.05,forward_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_009.parquet,202239,0,True,True,completed,recomputed,1.1027539000000104,57515153,2026-06-16T00:53:50.104574442+00:00
0.05,forward_fill,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_010.parquet,201258,0,True,True,completed,recomputed,1.1518572000000091,57560559,2026-06-16T00:54:01.362545490+00:00
0.05,forward_fill,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_011.parquet,201819,0,True,True,completed,recomputed,1.142127899999991,57509246,2026-06-16T00:54:12.324136496+00:00
0.05,forward_fill,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_012.parquet,201657,0,True,True,completed,recomputed,1.112235300000009,57506844,2026-06-16T00:54:23.987841368+00:00
0.05,forward_fill,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_013.parquet,201464,0,True,True,completed,recomputed,1.1249116999999842,57547354,2026-06-16T00:54:34.761831999+00:00
0.05,forward_fill,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_014.parquet,201423,0,True,True,completed,recomputed,1.1658154000000138,57573294,2026-06-16T00:54:45.326766253+00:00
0.05,forward_fill,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_015.parquet,202600,0,True,True,completed,recomputed,1.1407983000000002,57505918,2026-06-16T00:54:56.337100267+00:00
0.05,forward_fill,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_016.parquet,202047,0,True,True,completed,recomputed,1.1264008000000274,57550584,2026-06-16T00:55:06.864252567+00:00
0.05,forward_fill,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_017.parquet,201782,0,True,True,completed,recomputed,1.130870700000003,57680808,2026-06-16T00:55:18.064967632+00:00
0.05,forward_fill,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_018.parquet,202340,0,True,True,completed,recomputed,1.143983100000014,57673315,2026-06-16T00:55:29.077622414+00:00
0.05,forward_fill,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_019.parquet,202005,0,True,True,completed,recomputed,1.1237407000000132,57683031,2026-06-16T00:55:40.295629025+00:00
0.05,forward_fill,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_020.parquet,202293,0,True,True,completed,recomputed,1.262144500000005,57705683,2026-06-16T00:55:51.962362766+00:00
0.05,forward_fill,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_021.parquet,201727,0,True,True,completed,recomputed,1.1426864000000023,57725528,2026-06-16T00:56:03.141392231+00:00
0.05,forward_fill,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_022.parquet,201994,0,True,True,completed,recomputed,1.172603500000008,57686006,2026-06-16T00:56:14.807352781+00:00
0.05,forward_fill,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_023.parquet,201680,0,True,True,completed,recomputed,1.1765199999999822,57663445,2026-06-16T00:56:26.623054743+00:00
0.05,forward_fill,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_024.parquet,201799,0,True,True,completed,recomputed,1.166288800000018,57690120,2026-06-16T00:56:38.037844181+00:00
0.05,forward_fill,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_025.parquet,201967,0,True,True,completed,recomputed,1.3173558000000298,57676636,2026-06-16T00:56:49.988129139+00:00
0.05,forward_fill,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_026.parquet,201555,0,True,True,completed,recomputed,1.1978556000000251,57696952,2026-06-16T00:57:01.923735380+00:00
0.05,forward_fill,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_027.parquet,201873,0,True,True,completed,recomputed,1.1516328999999814,57695763,2026-06-16T00:57:13.305191278+00:00
0.05,forward_fill,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_028.parquet,201348,0,True,True,completed,recomputed,1.234969499999977,57681560,2026-06-16T00:57:24.746274233+00:00
0.05,forward_fill,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_029.parquet,202176,0,True,True,completed,recomputed,1.2020823999999948,57641350,2026-06-16T00:57:36.157879114+00:00
0.05,forward_fill,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_030.parquet,201313,0,True,True,completed,recomputed,1.1219697000000224,57589780,2026-06-16T00:57:47.458383799+00:00
0.05,forward_fill,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_031.parquet,201664,0,True,True,completed,recomputed,1.0387505999999576,57590438,2026-06-16T00:58:02.073254108+00:00
0.05,forward_fill,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_032.parquet,201328,0,True,True,completed,recomputed,1.0945164999999974,57653250,2026-06-16T00:58:13.086017370+00:00
0.05,forward_fill,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_033.parquet,201347,0,True,True,completed,recomputed,1.1021757999999977,57651643,2026-06-16T00:58:24.380950689+00:00
0.05,forward_fill,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_034.parquet,200732,0,True,True,completed,recomputed,1.0040692000000035,57681903,2026-06-16T00:58:35.443218708+00:00
0.05,forward_fill,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_035.parquet,201556,0,True,True,completed,recomputed,1.0602782000000277,57694335,2026-06-16T00:58:46.185822725+00:00
0.05,forward_fill,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_036.parquet,201609,0,True,True,completed,recomputed,1.114012799999955,57679473,2026-06-16T00:58:56.810148239+00:00
0.05,forward_fill,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_037.parquet,202455,0,True,True,completed,recomputed,1.123650600000019,58155798,2026-06-16T00:59:08.045999765+00:00
