missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,high_flow,54,3642539,3642539,0,416060756.0,241153631232.0,109943.40454101562,3642539,115841.279296875,3642539,2911.8896484375,10472.572265625,114.22273200094769,257.3029691082121,0.030183178420605965,0.03180234427054179,0.03403171143876507,True
0.05,forward_fill,low_flow,54,3625819,3625819,0,287143500.5,129798836992.0,481627.62158203125,3564190,308950.1689453125,3581167,0.0,1488.593017578125,79.19410773124638,189.20488295116672,0.13512961474613622,0.08627080751758086,0.12710316434171826,True
0.05,forward_fill,mid_flow,54,3626346,3626346,0,466541866.0,223219280896.0,207528.96337890625,3626346,211533.6142578125,3626346,1488.5931396484375,2911.889404296875,128.65343406282798,248.10255278507876,0.05722811981507177,0.058332441046114326,0.1743154668127802,True
0.05,function_curve_fit,high_flow,54,3642539,3642539,0,554935102.0,271261715456.0,147798.4140625,3642539,153205.60961914062,3642539,2911.8896484375,10472.572265625,152.34843113553487,272.8928435826251,0.04057565727161741,0.0420601151062873,0.03609367796530237,True
0.05,function_curve_fit,low_flow,54,3625819,3625819,0,366626262.5,195204375552.0,713770.94921875,3564190,422482.853515625,3625805,0.0,1488.593017578125,101.11543419569482,232.028703805441,0.20026175630893694,0.11652111834906317,0.15587114884022596,True
0.05,function_curve_fit,mid_flow,54,3626346,3626346,0,550572928.0,252302968320.0,250023.06201171875,3626346,244820.66625976562,3626346,1488.5931396484375,2911.889404296875,151.82581253967493,263.770705225673,0.06894627870912448,0.06751166773930718,0.1853238231401007,True
0.05,historical_linear_extrapolation,high_flow,54,3642539,3642539,0,661155554.0,433530446848.0,175894.775390625,3642539,184917.65502929688,3642539,2911.8896484375,10472.572265625,181.50953332277294,344.99094518934663,0.048289057547667984,0.050766142800199775,0.045629602862192344,True
0.05,historical_linear_extrapolation,low_flow,54,3625819,3625819,0,435032289.0,257682210048.0,763057.9643554688,3564190,453481.0390625,3606868,0.0,1488.593017578125,119.9817996982199,266.5871170491489,0.21409014793135853,0.1257270959354487,0.1790866367779115,True
0.05,historical_linear_extrapolation,mid_flow,54,3626346,3626346,0,686140467.0,401506389504.0,307845.98388671875,3626346,306530.89404296875,3626346,1488.5931396484375,2911.889404296875,189.2098732443071,332.7450557113443,0.08489150894225723,0.08452886019231722,0.23378481625786765,True
0.05,road_topology_neighbor_fill,high_flow,54,3642539,3642539,0,2491791312.0,3679853969408.0,643076.4677734375,3642539,658674.2568359375,3642539,2911.8896484375,10472.572265625,684.0808875347662,1005.1090585590074,0.17654621344436874,0.18082833343333798,0.13293893017994426,True
0.05,road_topology_neighbor_fill,low_flow,54,3625819,3625819,0,1453911434.0,2087019376640.0,1748555.09375,3564190,915259.755859375,3618525,0.0,1488.593017578125,400.9884205471922,758.6826987843384,0.4905897535625205,0.2529372481492804,0.509664286897356,True
0.05,road_topology_neighbor_fill,mid_flow,54,3626346,3626346,0,1752573926.0,2189697474560.0,800690.8984375,3626346,683398.40625,3626346,1488.5931396484375,2911.889404296875,483.28921895483774,777.0651628505265,0.22079826316559423,0.18845372345882053,0.5459616399980267,True
0.05,topology_function_hybrid,high_flow,54,3642539,3642539,0,1382542804.0,1090093594624.0,357434.6123046875,3642539,363136.62841796875,3642539,2911.8896484375,10472.572265625,379.55470181650765,547.0534845387888,0.09812787517297344,0.09969327120944176,0.07235503885524655,True
0.05,topology_function_hybrid,low_flow,54,3625819,3625819,0,866743240.0,673663067136.0,1193022.96484375,3564190,693985.708984375,3625816,0.0,1488.593017578125,239.04757518232432,431.040729372959,0.3347248504832094,0.1914012484319047,0.2895625092170882,True
0.05,topology_function_hybrid,mid_flow,54,3626346,3626346,0,1052542570.0,712573119488.0,480860.4375,3626346,438739.529296875,3626346,1488.5931396484375,2911.889404296875,290.2487986529691,443.28200160239135,0.13260191870825344,0.120986670686381,0.3114474565925209,True
0.05,zero_fill,high_flow,54,3642539,3642539,0,13633664672.0,54479192326144.0,3642539.0,3642539,7285078.0,3642539,2911.8896484375,10472.572265625,3742.9014959071133,3867.347746667268,1.0,2.0,0.5115077490325712,True
0.05,zero_fill,low_flow,54,3625819,3625819,0,4702727424.0,6372103274496.0,3564190.0,3564190,7128380.0,3564190,0.0,1488.593017578125,1297.0110819100457,1325.6788963474226,1.0,2.0,0.8905583196300648,True
0.05,zero_fill,mid_flow,54,3626346,3626346,0,8253955728.0,19728626483200.0,3626346.0,3626346,7252692.0,3626346,1488.5931396484375,2911.889404296875,2276.1081617694504,2332.4578576435133,1.0,2.0,1.6387718534620366,True
0.1,forward_fill,high_flow,54,7277947,7277947,0,753343710.0,383821145600.0,198830.73315429688,7277947,207201.48413085938,7277947,2911.8896484375,10468.935546875,103.51046936725426,229.64659177971345,0.027319618177254777,0.028469770957504827,0.030388407701373805,True
0.1,forward_fill,low_flow,54,7258806,7258806,0,537730032.0,226024500224.0,926226.0791015625,7134180,586224.75,7166326,0.0,1488.593017578125,74.07968087313533,176.45954864768433,0.1298293677902103,0.08180269080697697,0.11854116374586804,True
0.1,forward_fill,mid_flow,54,7251176,7251176,0,868914645.0,380509757440.0,386716.1796875,7251176,393491.5751953125,7251176,1488.5931396484375,2911.889404296875,119.83085847040535,229.07551718039846,0.053331511976471124,0.05426589772408124,0.16094717794891528,True
