missing_rate,method,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,54,10894704,10894704,0,1169746134.0,594171747840.0,799099.9736328125,10833075,636325.0556640625,10850052,0.0,10472.572265625,107.36832629872275,233.53301228805321,0.0737648334967507,0.05864718949402846,0.02229948921475559,True
0.05,function_curve_fit,54,10894704,10894704,0,1472134320.0,718769061888.0,1111592.39453125,10833075,820509.1240234375,10894690,0.0,10472.572265625,135.12384732985862,256.85437653031255,0.10261097560307207,0.07531275548211445,0.0245263885524483,True
0.05,historical_linear_extrapolation,54,10894704,10894704,0,1782328298.0,1092719031296.0,1246798.75390625,10833075,944929.5986328125,10875753,0.0,10472.572265625,163.5958441826414,316.6988860854788,0.11509186024339811,0.08688406206290383,0.030240792620262556,True
0.05,road_topology_neighbor_fill,54,10894704,10894704,0,5698276744.0,7956570963968.0,3192322.48828125,10833075,2257332.375,10887410,0.0,10472.572265625,523.0318092166616,854.5849743686517,0.2946829490501312,0.2073341938073426,0.08160220361273872,True
0.05,topology_function_hybrid,54,10894704,10894704,0,3301828660.0,2476329787392.0,2031317.9765625,10833075,1495861.892578125,10894701,0.0,10472.572265625,303.0673123381783,476.7563906310462,0.18751074616971636,0.13730178483816352,0.04552428749486347,True
0.05,zero_fill,54,10894704,10894704,0,26590347488.0,80579921313792.0,10833075.0,10833075,21666150.0,10833075,0.0,10472.572265625,2440.6672717312927,2719.60419134573,1.0,2.0,0.2596882716457842,True
0.1,forward_fill,54,21787929,21787929,0,2159988356.0,990355417088.0,1511772.99609375,21663303,1186917.8046875,21695449,0.0,10468.935546875,99.13692834229448,213.20017902600412,0.0697849721297694,0.0547081466111856,0.020365029287972344,True
0.1,function_curve_fit,54,21787929,21787929,0,2953676968.0,1451066195968.0,2613401.046875,21663303,1648561.61328125,21787806,0.0,10468.935546875,135.56483353695526,258.068879851018,0.1206372383230295,0.07566441583339094,0.024650918777320403,True
0.1,historical_linear_extrapolation,54,21787929,21787929,0,3604507716.0,2240083931136.0,2966265.765625,21663303,1916006.94140625,21751412,0.0,10468.935546875,165.43599513290135,320.64477671096637,0.1369258310067029,0.08808655462947647,0.03062821193952995,True
0.1,road_topology_neighbor_fill,54,21787929,21787929,0,11231816784.0,15331067854848.0,6983191.0859375,21663303,4480138.546875,21776882,0.0,10468.935546875,515.5063973267032,838.8382532454564,0.32235117082272724,0.20572910974468245,0.08012641299485805,True
0.1,topology_function_hybrid,54,21787929,21787929,0,6525863472.0,4815965716480.0,4557496.93359375,21663303,2971637.546875,21787871,0.0,10468.935546875,299.51738285910517,470.14705240065774,0.21037867279951492,0.136389532821954,0.04490877322680601,True
0.1,zero_fill,54,21787929,21787929,0,53152526656.0,161010613747712.0,21663303.0,21663303,43326606.0,21663303,0.0,10468.935546875,2439.540107552214,2718.4370275754914,1.0,2.0,0.25966699435712454,True
0.2,forward_fill,54,43575790,43575790,0,4337811608.0,1939465232384.0,3111551.296875,43328405,2385711.97265625,43392681,0.0,10477.7548828125,99.54636755868339,210.96886415968157,0.07181319729805424,0.05497959373969656,0.020134930289861113,True
0.2,function_curve_fit,54,43575790,43575790,0,5907317512.0,2894923866112.0,4845151.0546875,43328405,3295450.83984375,43575760,0.0,10477.7548828125,135.56420920882903,257.7483766362174,0.11182389600280694,0.0756257800172332,0.024599580684887247,True
0.2,historical_linear_extrapolation,54,43575790,43575790,0,7356949640.0,4676673519616.0,5393195.6796875,43328405,3918374.01171875,43510057,0.0,10477.7548828125,168.83112480576943,327.6015076018783,0.12447251819418462,0.09005674278290994,0.03126638399789914,True
0.2,road_topology_neighbor_fill,54,43575790,43575790,0,21904774272.0,28696418353152.0,12894218.6875,43328405,8829176.84375,43565155,0.0,10477.7548828125,502.6822066105973,811.5050240413524,0.297592738239499,0.2026660261796383,0.07745027757544978,True
0.2,topology_function_hybrid,54,43575790,43575790,0,12770440192.0,9141388001280.0,8383457.40625,43328405,5855520.8046875,43575786,0.0,10477.7548828125,293.06273488099697,458.0189393477627,0.19348640704060074,0.13437556363728012,0.04371346194584947,True
0.2,zero_fill,54,43575790,43575790,0,106320402432.0,322121308831744.0,43328405.0,43328405,86656810.0,43328405,0.0,10477.7548828125,2439.8961540800524,2718.861549184405,1.0,2.0,0.2594889439191187,True
0.3,forward_fill,54,65367312,65367312,0,6801658240.0,3167210983424.0,4839778.078125,64995485,3727407.40625,65096875,0.0,10465.818359375,104.05289787654111,220.11933097390948,0.07446329661398787,0.05725939081177092,0.021032213957423832,True
0.3,function_curve_fit,54,65367312,65367312,0,8875770464.0,4352753893376.0,7076894.2890625,64995485,4948068.2578125,65366783,0.0,10465.818359375,135.78301130081653,258.0487401388489,0.10888285992577022,0.07569698294334753,0.024656336588117427,True
0.3,historical_linear_extrapolation,54,65367312,65367312,0,11403449920.0,7602695143424.0,8070474.640625,64995485,6071029.8125,65276815,0.0,10465.818359375,174.45187160212433,341.0385513697926,0.12416977334079436,0.09300438160930492,0.03258594212695268,True
0.3,road_topology_neighbor_fill,54,65367312,65367312,0,32251971008.0,40741028757504.0,18908139.75,64995485,13115057.890625,65358235,0.0,10465.818359375,493.39601126630384,789.4700926615225,0.29091466507250463,0.20066419924933712,0.07543319266135899,True
0.3,topology_function_hybrid,54,65367312,65367312,0,18853898880.0,13148037332992.0,12257057.140625,64995485,8702075.28125,65367267,0.0,10465.818359375,288.43007771223637,448.4873016215915,0.1885832091356038,0.1331258851811871,0.04285257838627101,True
