day_index,file_name,file_path,rows_used,node_count,time_slot_count,time_slot_min,time_slot_max,warmup
0,node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,4034976,42031,96,0,95,True
1,node_flow_chunk_001.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_001.parquet,4034976,42031,96,0,95,True
2,node_flow_chunk_002.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_002.parquet,4034976,42031,96,0,95,True
3,node_flow_chunk_003.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_003.parquet,4034976,42031,96,0,95,True
4,node_flow_chunk_004.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_004.parquet,4034976,42031,96,0,95,True
5,node_flow_chunk_005.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_005.parquet,4034976,42031,96,0,95,True
6,node_flow_chunk_006.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_006.parquet,4034976,42031,96,0,95,True
7,node_flow_chunk_007.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_007.parquet,4034976,42031,96,0,95,False
8,node_flow_chunk_008.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_008.parquet,4034976,42031,96,0,95,False
9,node_flow_chunk_009.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_009.parquet,4034976,42031,96,0,95,False
10,node_flow_chunk_010.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_010.parquet,4034976,42031,96,0,95,False
11,node_flow_chunk_011.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_011.parquet,4034976,42031,96,0,95,False
12,node_flow_chunk_012.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_012.parquet,4034976,42031,96,0,95,False
13,node_flow_chunk_013.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_013.parquet,4034976,42031,96,0,95,False
14,node_flow_chunk_014.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_014.parquet,4034976,42031,96,0,95,False
15,node_flow_chunk_015.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_015.parquet,4034976,42031,96,0,95,False
16,node_flow_chunk_016.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_016.parquet,4034976,42031,96,0,95,False
17,node_flow_chunk_017.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_017.parquet,4034976,42031,96,0,95,False
18,node_flow_chunk_018.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_018.parquet,4034976,42031,96,0,95,False
19,node_flow_chunk_019.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_019.parquet,4034976,42031,96,0,95,False
20,node_flow_chunk_020.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_020.parquet,4034976,42031,96,0,95,False
21,node_flow_chunk_021.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_021.parquet,4034976,42031,96,0,95,False
22,node_flow_chunk_022.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_022.parquet,4034976,42031,96,0,95,False
23,node_flow_chunk_023.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_023.parquet,4034976,42031,96,0,95,False
24,node_flow_chunk_024.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_024.parquet,4034976,42031,96,0,95,False
25,node_flow_chunk_025.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_025.parquet,4034976,42031,96,0,95,False
26,node_flow_chunk_026.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_026.parquet,4034976,42031,96,0,95,False
27,node_flow_chunk_027.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_027.parquet,4034976,42031,96,0,95,False
28,node_flow_chunk_028.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_028.parquet,4034976,42031,96,0,95,False
29,node_flow_chunk_029.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_029.parquet,4034976,42031,96,0,95,False
30,node_flow_chunk_030.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_030.parquet,4034976,42031,96,0,95,False
31,node_flow_chunk_031.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_031.parquet,4034976,42031,96,0,95,False
32,node_flow_chunk_032.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_032.parquet,4034976,42031,96,0,95,False
33,node_flow_chunk_033.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_033.parquet,4034976,42031,96,0,95,False
34,node_flow_chunk_034.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_034.parquet,4034976,42031,96,0,95,False
35,node_flow_chunk_035.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_035.parquet,4034976,42031,96,0,95,False
36,node_flow_chunk_036.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_036.parquet,4034976,42031,96,0,95,False
37,node_flow_chunk_037.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_037.parquet,4034976,42031,96,0,95,False
38,node_flow_chunk_038.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_038.parquet,4034976,42031,96,0,95,False
39,node_flow_chunk_039.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_039.parquet,4034976,42031,96,0,95,False
