check,result,detail
total_files,61,node_flow_chunk_000 to node_flow_chunk_060
rows_per_chunk_consistent,True,Every chunk: 4034976 rows
nodes_per_chunk_consistent,True,Every chunk: 42031 unique nodes
time_slots_per_chunk_consistent,True,Every chunk: 96 time slots (0-95)
node_time_duplicates,0,No duplicate pairs in any chunk
total_rows_all_chunks,246133536,61 x 4034976
target_nan_count,0,Zero NaN in all 61 chunks
target_negative_count,0,Zero negative values
target_inf_count,0,Zero inf values
input_parquet_total_bytes,3778924989,~3.52 GB
column_names,5 columns,"节点ID,时间段,路口进入流量,路口离开流量,路口车流量"
period,96,15-minute intervals
target_col_used,路口车流量,auto-detected
