missing_rate,mechanism,seed,impute_method,day_index,file_name,imputed_dataset_path,filled_missing_count,residual_missing_count,detail_path
0.05,mcar_point,42,forward_fill,33,node_flow_chunk_033.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_033_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_033_detail.csv
0.05,mcar_point,42,forward_fill,34,node_flow_chunk_034.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_034_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_034_detail.csv
0.05,mcar_point,42,forward_fill,35,node_flow_chunk_035.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_035_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_035_detail.csv
0.05,mcar_point,42,forward_fill,36,node_flow_chunk_036.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_036_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_036_detail.csv
0.05,mcar_point,42,forward_fill,37,node_flow_chunk_037.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_037_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_037_detail.csv
0.05,mcar_point,42,forward_fill,38,node_flow_chunk_038.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_038_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_038_detail.csv
0.05,mcar_point,42,forward_fill,39,node_flow_chunk_039.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_039_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_039_detail.csv
0.05,mcar_point,42,forward_fill,40,node_flow_chunk_040.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_040_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_040_detail.csv
0.05,mcar_point,42,forward_fill,41,node_flow_chunk_041.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_041_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_041_detail.csv
0.05,mcar_point,42,forward_fill,42,node_flow_chunk_042.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_042_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_042_detail.csv
0.05,mcar_point,42,forward_fill,43,node_flow_chunk_043.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_043_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_043_detail.csv
0.05,mcar_point,42,forward_fill,44,node_flow_chunk_044.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_044_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_044_detail.csv
0.05,mcar_point,42,forward_fill,45,node_flow_chunk_045.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_045_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_045_detail.csv
0.05,mcar_point,42,forward_fill,46,node_flow_chunk_046.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_046_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_046_detail.csv
0.05,mcar_point,42,forward_fill,47,node_flow_chunk_047.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_047_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_047_detail.csv
0.05,mcar_point,42,forward_fill,48,node_flow_chunk_048.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_048_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_048_detail.csv
0.05,mcar_point,42,forward_fill,49,node_flow_chunk_049.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_049_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_049_detail.csv
0.05,mcar_point,42,forward_fill,50,node_flow_chunk_050.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_050_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_050_detail.csv
0.05,mcar_point,42,forward_fill,51,node_flow_chunk_051.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_051_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_051_detail.csv
0.05,mcar_point,42,forward_fill,52,node_flow_chunk_052.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_052_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_052_detail.csv
0.05,mcar_point,42,forward_fill,53,node_flow_chunk_053.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_053_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_053_detail.csv
0.05,mcar_point,42,forward_fill,54,node_flow_chunk_054.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_054_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_054_detail.csv
0.05,mcar_point,42,forward_fill,55,node_flow_chunk_055.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_055_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_055_detail.csv
0.05,mcar_point,42,forward_fill,56,node_flow_chunk_056.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_056_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_056_detail.csv
0.05,mcar_point,42,forward_fill,57,node_flow_chunk_057.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_057_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_057_detail.csv
0.05,mcar_point,42,forward_fill,58,node_flow_chunk_058.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_058_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_058_detail.csv
0.05,mcar_point,42,forward_fill,59,node_flow_chunk_059.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_059_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_059_detail.csv
0.05,mcar_point,42,forward_fill,60,node_flow_chunk_060.parquet,results/real_data_missingness_full_intersection_causal_history/imputed_datasets/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_060_imputed.parquet,201749,0,results/real_data_missingness_full_intersection_causal_history/manifests/detail_runs/rate_0p05__mechanism_mcar_point__seed_42__method_forward_fill/node_flow_chunk_060_detail.csv
