stage,missing_rate,mechanism,seed,impute_method,day_index,file_name,status,mask_exists,missing_dataset_exists,imputed_dataset_exists,detail_exists,actual_missing_count,filled_missing_count,residual_missing_count,note
impute,0.05,mcar_point,42,zero_fill,0,node_flow_chunk_000.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,1,node_flow_chunk_001.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,2,node_flow_chunk_002.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,3,node_flow_chunk_003.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,4,node_flow_chunk_004.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,5,node_flow_chunk_005.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,6,node_flow_chunk_006.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,7,node_flow_chunk_007.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,8,node_flow_chunk_008.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,9,node_flow_chunk_009.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,10,node_flow_chunk_010.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,11,node_flow_chunk_011.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,12,node_flow_chunk_012.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
impute,0.05,mcar_point,42,zero_fill,13,node_flow_chunk_013.parquet,skipped_existing,True,False,True,True,201749,201749,0,detail 已存在，按 skip_existing 跳过重复补全
