day_index,file_name,file_path,size_bytes,rows,nodes,time_slots
0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_000.parquet,62061252,4034976,42031,96
1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_001.parquet,61923030,4034976,42031,96
2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_002.parquet,61793269,4034976,42031,96
3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_003.parquet,61770417,4034976,42031,96
4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_004.parquet,61809393,4034976,42031,96
5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_005.parquet,61871315,4034976,42031,96
6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_006.parquet,61894903,4034976,42031,96
7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_007.parquet,61910438,4034976,42031,96
8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_008.parquet,61748844,4034976,42031,96
9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_009.parquet,61762652,4034976,42031,96
10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_010.parquet,61817200,4034976,42031,96
11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_011.parquet,61773798,4034976,42031,96
12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_012.parquet,61763180,4034976,42031,96
13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_013.parquet,61807331,4034976,42031,96
14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_014.parquet,61818290,4034976,42031,96
15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_015.parquet,61740166,4034976,42031,96
16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_016.parquet,61806536,4034976,42031,96
17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_017.parquet,61962430,4034976,42031,96
18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_018.parquet,61956764,4034976,42031,96
19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_019.parquet,61964381,4034976,42031,96
20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_020.parquet,61992346,4034976,42031,96
21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_021.parquet,61998197,4034976,42031,96
22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_022.parquet,61957882,4034976,42031,96
23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_023.parquet,61940342,4034976,42031,96
24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_024.parquet,61973860,4034976,42031,96
25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_025.parquet,61953481,4034976,42031,96
