missing_rate,mechanism,seed,day_index,file_name,mask_path,missing_dataset_path,actual_missing_count,actual_missing_rate
0.05,mcar_point,42,0,node_flow_chunk_000.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_000_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_000_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,1,node_flow_chunk_001.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_001_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_001_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,2,node_flow_chunk_002.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_002_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_002_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,3,node_flow_chunk_003.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_003_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_003_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,4,node_flow_chunk_004.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_004_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_004_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,5,node_flow_chunk_005.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_005_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_005_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,6,node_flow_chunk_006.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_006_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_006_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,7,node_flow_chunk_007.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_007_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_007_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,8,node_flow_chunk_008.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_008_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_008_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,9,node_flow_chunk_009.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_009_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_009_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,10,node_flow_chunk_010.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_010_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_010_missing.parquet,201749,0.05000004956658974
