missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_func_hybrid,26,node_flow_chunk_026.parquet,False,all,201749.0,25525306.88728726,12478927773.451181,1755642.5441228165,200683.0,1394816.0114856842
0.05,mcar_point,42,geo_func_hybrid,26,node_flow_chunk_026.parquet,False,low_flow,61198.0,4835526.257149696,1936417878.3160682,612517.1793398357,60300.0,554649.8788958406
0.05,mcar_point,42,geo_func_hybrid,26,node_flow_chunk_026.parquet,False,mid_flow,80300.0,11002641.553592732,5133161833.217233,729923.3082459045,80155.0,550053.1750335745
0.05,mcar_point,42,geo_func_hybrid,26,node_flow_chunk_026.parquet,False,high_flow,60251.0,9687139.07654483,5409348061.917882,413202.0565370766,60228.0,290112.95755626913
0.05,mcar_point,42,geo_func_hybrid,27,node_flow_chunk_027.parquet,False,all,201749.0,27248188.51372726,14370921108.83815,1836996.4117141473,200664.0,1472378.7462082535
0.05,mcar_point,42,geo_func_hybrid,27,node_flow_chunk_027.parquet,False,low_flow,60418.0,4909097.97148296,1966009698.0680704,662949.0308303414,59525.0,566714.945274448
0.05,mcar_point,42,geo_func_hybrid,27,node_flow_chunk_027.parquet,False,mid_flow,80504.0,11803472.399487898,5967572920.199554,813176.3150217173,80337.0,590166.2399788445
0.05,mcar_point,42,geo_func_hybrid,27,node_flow_chunk_027.parquet,False,high_flow,60827.0,10535618.1427564,6437338490.570526,360871.06586208864,60802.0,315497.5609549612
0.05,mcar_point,42,geo_func_hybrid,28,node_flow_chunk_028.parquet,False,all,201749.0,27844270.554163326,13874497358.597773,1927280.785316159,200528.0,1545238.0395817263
0.05,mcar_point,42,geo_func_hybrid,28,node_flow_chunk_028.parquet,False,low_flow,60504.0,5278822.634006877,1998793614.5898256,746074.0964939457,59511.0,617845.9783835113
0.05,mcar_point,42,geo_func_hybrid,28,node_flow_chunk_028.parquet,False,mid_flow,80891.0,12297767.427949991,6112312368.8135,822500.8891611279,80712.0,620815.071263056
0.05,mcar_point,42,geo_func_hybrid,28,node_flow_chunk_028.parquet,False,high_flow,60354.0,10267680.492206456,5763391375.194445,358705.7996610856,60305.0,306576.9899351591
0.05,mcar_point,42,geo_func_hybrid,29,node_flow_chunk_029.parquet,False,all,201749.0,30994789.244469646,16378315020.409506,3378215.654157713,200368.0,1723077.3677209867
0.05,mcar_point,42,geo_func_hybrid,29,node_flow_chunk_029.parquet,False,low_flow,60867.0,5710761.25910871,2218366990.1137033,919683.6045425524,59731.0,676636.5662873344
0.05,mcar_point,42,geo_func_hybrid,29,node_flow_chunk_029.parquet,False,mid_flow,80895.0,13893826.812445441,7283591186.104247,2069486.0247488732,80675.0,708068.7012581662
0.05,mcar_point,42,geo_func_hybrid,29,node_flow_chunk_029.parquet,False,high_flow,59987.0,11390201.172915498,6876356844.191552,389046.0248662876,59962.0,338372.1001754857
0.05,mcar_point,42,geo_func_hybrid,30,node_flow_chunk_030.parquet,False,all,201749.0,32134380.131918136,17686867714.040054,2392843.8501667567,200347.0,1777677.3896644558
0.05,mcar_point,42,geo_func_hybrid,30,node_flow_chunk_030.parquet,False,low_flow,60717.0,5740073.752258957,2200050401.139868,929229.3257724345,59580.0,684995.9271395366
0.05,mcar_point,42,geo_func_hybrid,30,node_flow_chunk_030.parquet,False,mid_flow,80311.0,14295332.041672902,7876349540.612843,1022959.0853052824,80073.0,730557.848159296
0.05,mcar_point,42,geo_func_hybrid,30,node_flow_chunk_030.parquet,False,high_flow,60721.0,12098974.33798628,7610467772.287348,440655.43908903934,60694.0,362123.6143656234
0.05,mcar_point,42,geo_func_hybrid,31,node_flow_chunk_031.parquet,False,all,201749.0,28154679.005788956,14202586836.813942,4132337.6026647976,200376.0,1596448.9248474992
0.05,mcar_point,42,geo_func_hybrid,31,node_flow_chunk_031.parquet,False,low_flow,60107.0,5054750.757546168,1882160027.4384582,2102953.93972151,59008.0,627462.9990064957
0.05,mcar_point,42,geo_func_hybrid,31,node_flow_chunk_031.parquet,False,mid_flow,81296.0,12468780.27505478,6207535596.409787,1614465.9333222609,81061.0,645623.0413089402
0.05,mcar_point,42,geo_func_hybrid,31,node_flow_chunk_031.parquet,False,high_flow,60346.0,10631147.973188004,6112891212.965695,414917.7296210267,60307.0,323362.884532063
0.05,mcar_point,42,geo_func_hybrid,32,node_flow_chunk_032.parquet,False,all,201749.0,25854254.549839206,12049859908.509607,2029443.4658690651,200480.0,1477013.3316981588
0.05,mcar_point,42,geo_func_hybrid,32,node_flow_chunk_032.parquet,False,low_flow,60434.0,4855366.0805044,1821080477.3067794,702486.9706334815,59375.0,602889.7118543915
0.05,mcar_point,42,geo_func_hybrid,32,node_flow_chunk_032.parquet,False,mid_flow,80859.0,11402217.233229272,5236148530.901167,984379.3006141086,80685.0,583110.2413890109
0.05,mcar_point,42,geo_func_hybrid,32,node_flow_chunk_032.parquet,False,high_flow,60456.0,9596671.236105539,4992630900.301659,342577.1946214749,60420.0,291013.37845475646
0.05,mcar_point,42,geo_func_hybrid,33,node_flow_chunk_033.parquet,False,all,201749.0,26267589.394677244,12461180345.409143,1826119.9110305286,200533.0,1474947.904895661
0.05,mcar_point,42,geo_func_hybrid,33,node_flow_chunk_033.parquet,False,low_flow,60653.0,4896159.832332441,1850459085.8150907,649180.6935583089,59629.0,597372.6767221681
0.05,mcar_point,42,geo_func_hybrid,33,node_flow_chunk_033.parquet,False,mid_flow,80781.0,11530076.35196668,5351989572.929731,828476.0655324212,80609.0,585533.2177090216
0.05,mcar_point,42,geo_func_hybrid,33,node_flow_chunk_033.parquet,False,high_flow,60315.0,9841353.210378127,5258731686.664322,348463.15193979867,60295.0,292042.0104644711
0.05,mcar_point,42,geo_func_hybrid,34,node_flow_chunk_034.parquet,False,all,201749.0,27308904.92877795,13547083715.25075,1761723.3255291309,200661.0,1483516.6960087055
0.05,mcar_point,42,geo_func_hybrid,34,node_flow_chunk_034.parquet,False,low_flow,60676.0,4981760.5496812165,1839417267.7710037,709404.4378761409,59752.0,592309.4262818212
0.05,mcar_point,42,geo_func_hybrid,34,node_flow_chunk_034.parquet,False,mid_flow,80540.0,12002040.287131531,5856622592.03368,715966.4845775191,80398.0,588732.827331071
0.05,mcar_point,42,geo_func_hybrid,34,node_flow_chunk_034.parquet,False,high_flow,60533.0,10325104.091965206,5851043855.446067,336352.4030754709,60511.0,302474.442395813
0.05,mcar_point,42,geo_func_hybrid,35,node_flow_chunk_035.parquet,False,all,201749.0,25802615.311016105,11897584953.706505,1839741.567859654,200679.0,1416702.55538348
0.05,mcar_point,42,geo_func_hybrid,35,node_flow_chunk_035.parquet,False,low_flow,60466.0,4810017.592332059,1613657716.3018425,535474.3861848211,59549.0,569296.1544368735
0.05,mcar_point,42,geo_func_hybrid,35,node_flow_chunk_035.parquet,False,mid_flow,80636.0,11222948.217141928,5054579221.527525,734246.6304077299,80503.0,560135.9525677904
0.05,mcar_point,42,geo_func_hybrid,35,node_flow_chunk_035.parquet,False,high_flow,60647.0,9769649.501542116,5229348015.877139,570020.5512671033,60627.0,287270.44837881613
0.05,mcar_point,42,geo_func_hybrid,36,node_flow_chunk_036.parquet,False,all,201749.0,25421748.02678151,11692192691.702753,1752203.6871515352,200592.0,1426702.3670959375
0.05,mcar_point,42,geo_func_hybrid,36,node_flow_chunk_036.parquet,False,low_flow,60542.0,4702477.374533481,1591498036.1498113,659630.092935795,59587.0,565376.5648545781
0.05,mcar_point,42,geo_func_hybrid,36,node_flow_chunk_036.parquet,False,mid_flow,80741.0,11217650.537889643,5133173937.287212,725623.7130421958,80565.0,575151.2740747866
0.05,mcar_point,42,geo_func_hybrid,36,node_flow_chunk_036.parquet,False,high_flow,60466.0,9501620.114358382,4967520718.265731,366949.88117354386,60440.0,286174.52816657326
0.05,mcar_point,42,geo_func_hybrid,37,node_flow_chunk_037.parquet,False,all,201749.0,22426538.91177237,10456353983.232235,1984059.286212872,200623.0,1264303.1628486847
0.05,mcar_point,42,geo_func_hybrid,37,node_flow_chunk_037.parquet,False,low_flow,60590.0,3938633.091120802,1430652521.4618745,516605.58685052063,59653.0,495877.2874432026
0.05,mcar_point,42,geo_func_hybrid,37,node_flow_chunk_037.parquet,False,mid_flow,80619.0,9864292.358457293,4493759516.573135,1172014.1566111515,80451.0,508768.07362709293
0.05,mcar_point,42,geo_func_hybrid,37,node_flow_chunk_037.parquet,False,high_flow,60540.0,8623613.462194273,4531941945.1972275,295439.54275119986,60519.0,259657.8017783891
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,all,201749.0,25532669.793810796,12737604138.933105,1675370.9654488463,200646.0,1397546.6269192358
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,low_flow,60410.0,4681075.470074189,1807162646.0346,565660.7405561625,59470.0,552797.8134234622
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,mid_flow,80796.0,11129072.058711547,5314785363.978169,788456.3302245261,80645.0,556981.5386785306
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,high_flow,60543.0,9722522.265025059,5615656128.920335,321253.8946681581,60531.0,287767.2748172432
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,all,201749.0,23494340.66141855,10386594058.49266,1601364.750314692,200643.0,1308318.7580043522
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,low_flow,60377.0,4359307.531065272,1450777149.4493608,575103.0429899801,59457.0,520254.4224973619
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,mid_flow,81121.0,10292824.962227657,4381743065.5713215,691459.1627569783,80959.0,523023.1027538895
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,high_flow,60251.0,8842208.168125618,4554073843.471978,334802.5445677338,60227.0,265041.232753101
0.05,mcar_point,42,geo_func_hybrid,40,node_flow_chunk_040.parquet,False,all,201749.0,24133505.883013424,10873122652.272305,2106035.437915822,200690.0,1340349.1396028916
